Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   501 KBytes  4.10 Mbits/sec    0   49.5 KBytes       
[  4]   1.00-2.01   sec   191 KBytes  1.55 Mbits/sec    0   56.6 KBytes       
[  4]   2.01-3.01   sec   191 KBytes  1.57 Mbits/sec    0   65.0 KBytes       
[  4]   3.01-4.01   sec   255 KBytes  2.08 Mbits/sec    0   76.4 KBytes       
[  4]   4.01-5.01   sec   382 KBytes  3.11 Mbits/sec    0   94.7 KBytes       
[  4]   5.01-6.00   sec   382 KBytes  3.17 Mbits/sec    0    129 KBytes       
[  4]   6.00-7.00   sec   700 KBytes  5.74 Mbits/sec    0    192 KBytes       
[  4]   7.00-8.00   sec   573 KBytes  4.70 Mbits/sec    0    249 KBytes       
[  4]   8.00-9.00   sec   764 KBytes  6.26 Mbits/sec    0    328 KBytes       
[  4]   9.00-10.00  sec   891 KBytes  7.29 Mbits/sec    0    431 KBytes       
[  4]  10.00-11.00  sec   954 KBytes  7.82 Mbits/sec    0    549 KBytes       
[  4]  11.00-12.00  sec   191 KBytes  1.56 Mbits/sec   80    409 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   34    409 KBytes       
[  4]  13.00-14.00  sec  1.12 MBytes  9.39 Mbits/sec    0    281 KBytes       
[  4]  14.00-15.00  sec   191 KBytes  1.56 Mbits/sec    0    287 KBytes       
[  4]  15.00-16.00  sec   255 KBytes  2.08 Mbits/sec    0    296 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec   12    216 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    4    211 KBytes       
[  4]  18.00-19.00  sec   636 KBytes  5.21 Mbits/sec    0    215 KBytes       
[  4]  19.00-20.00  sec   255 KBytes  2.08 Mbits/sec    0    229 KBytes       
[  4]  20.00-21.00  sec   191 KBytes  1.56 Mbits/sec    0    242 KBytes       
[  4]  21.00-22.00  sec   127 KBytes  1.04 Mbits/sec    0    247 KBytes       
[  4]  22.00-23.00  sec   191 KBytes  1.56 Mbits/sec    0    252 KBytes       
[  4]  23.00-24.00  sec   255 KBytes  2.08 Mbits/sec    0    301 KBytes       
[  4]  24.00-25.00  sec  63.6 KBytes   522 Kbits/sec    0    301 KBytes       
[  4]  25.00-26.00  sec   191 KBytes  1.56 Mbits/sec    0    301 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec   38    211 KBytes       
[  4]  27.00-28.01  sec  0.00 Bytes  0.00 bits/sec   19    211 KBytes       
[  4]  28.01-29.00  sec  0.00 Bytes  0.00 bits/sec   40    211 KBytes       
[  4]  29.00-30.00  sec  63.6 KBytes   521 Kbits/sec    0    211 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0    219 KBytes       
[  4]  31.00-32.00  sec   127 KBytes  1.04 Mbits/sec    1   1.41 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    6    211 KBytes       
[  4]  33.00-34.00  sec   127 KBytes  1.04 Mbits/sec   29    211 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec   24    211 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0    211 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec   12    187 KBytes       
[  4]  38.00-39.00  sec   636 KBytes  5.21 Mbits/sec   15    201 KBytes       
[  4]  39.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0    201 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-39.00  sec  10.2 MBytes  2.19 Mbits/sec  315             sender
[  4]   0.00-39.00  sec  7.02 MBytes  1.51 Mbits/sec                  receiver

iperf Done.
