Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.41 MBytes  11.8 Mbits/sec    0   86.3 KBytes       
[  4]   1.00-2.00   sec   954 KBytes  7.82 Mbits/sec    0    124 KBytes       
[  4]   2.00-3.00   sec   700 KBytes  5.73 Mbits/sec    0    151 KBytes       
[  4]   3.00-4.00   sec   573 KBytes  4.69 Mbits/sec    2    163 KBytes       
[  4]   4.00-5.00   sec   509 KBytes  4.17 Mbits/sec    0    165 KBytes       
[  4]   5.00-6.00   sec   445 KBytes  3.65 Mbits/sec    0    170 KBytes       
[  4]   6.00-7.00   sec   509 KBytes  4.17 Mbits/sec    0    182 KBytes       
[  4]   7.00-8.00   sec   509 KBytes  4.17 Mbits/sec    0    202 KBytes       
[  4]   8.00-9.00   sec   445 KBytes  3.65 Mbits/sec    0    233 KBytes       
[  4]   9.00-10.00  sec   636 KBytes  5.21 Mbits/sec    0    280 KBytes       
[  4]  10.00-11.00  sec   573 KBytes  4.69 Mbits/sec    0    335 KBytes       
[  4]  11.00-12.00  sec   764 KBytes  6.26 Mbits/sec    0    417 KBytes       
[  4]  12.00-13.00  sec   445 KBytes  3.65 Mbits/sec   13    436 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec   65    328 KBytes       
[  4]  14.00-15.00  sec   445 KBytes  3.65 Mbits/sec    4    328 KBytes       
[  4]  15.00-16.00  sec   255 KBytes  2.09 Mbits/sec    0    469 KBytes       
[  4]  16.00-17.00  sec   382 KBytes  3.13 Mbits/sec   21    390 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec  128    198 KBytes       
[  4]  18.00-19.00  sec   255 KBytes  2.09 Mbits/sec   73    328 KBytes       
[  4]  19.00-20.00  sec  1.86 MBytes  15.6 Mbits/sec    0    469 KBytes       
[  4]  20.00-21.00  sec   827 KBytes  6.76 Mbits/sec    0    472 KBytes       
[  4]  21.00-22.00  sec   954 KBytes  7.84 Mbits/sec    0    478 KBytes       
[  4]  22.00-23.00  sec   954 KBytes  7.81 Mbits/sec    0    491 KBytes       
[  4]  23.00-24.00  sec  1.12 MBytes  9.39 Mbits/sec    0    516 KBytes       
[  4]  24.00-25.00  sec  1.12 MBytes  9.39 Mbits/sec    0    553 KBytes       
[  4]  25.00-26.00  sec  1.30 MBytes  10.9 Mbits/sec    0    609 KBytes       
