Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.38 MBytes  11.5 Mbits/sec    0   80.6 KBytes       
[  4]   1.00-2.01   sec   700 KBytes  5.71 Mbits/sec    0    109 KBytes       
[  4]   2.01-3.00   sec   636 KBytes  5.25 Mbits/sec    0    133 KBytes       
[  4]   3.00-4.00   sec   573 KBytes  4.69 Mbits/sec    0    157 KBytes       
[  4]   4.00-5.00   sec   573 KBytes  4.69 Mbits/sec    0    180 KBytes       
[  4]   5.00-6.00   sec   636 KBytes  5.21 Mbits/sec    0    205 KBytes       
[  4]   6.00-7.00   sec   573 KBytes  4.69 Mbits/sec    0    226 KBytes       
[  4]   7.00-8.00   sec   764 KBytes  6.26 Mbits/sec    0    277 KBytes       
[  4]   8.00-9.00   sec   891 KBytes  7.29 Mbits/sec    0    368 KBytes       
[  4]   9.00-10.00  sec  1.24 MBytes  10.4 Mbits/sec    0    502 KBytes       
[  4]  10.00-11.00  sec   700 KBytes  5.73 Mbits/sec    0    591 KBytes       
[  4]  11.00-12.00  sec   764 KBytes  6.26 Mbits/sec    0    696 KBytes       
[  4]  12.00-13.00  sec   445 KBytes  3.65 Mbits/sec    0    747 KBytes       
[  4]  13.00-14.00  sec  1.25 MBytes  10.5 Mbits/sec   44    846 KBytes       
[  4]  14.00-15.00  sec   184 KBytes  1.50 Mbits/sec   16    761 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec  254    659 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec   40    659 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0    659 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0    659 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec  180    211 KBytes       
[  4]  20.00-21.00  sec  1.25 MBytes  10.5 Mbits/sec  215    704 KBytes       
[  4]  21.00-22.00  sec   884 KBytes  7.24 Mbits/sec    0    728 KBytes       
[  4]  22.00-23.00  sec   382 KBytes  3.13 Mbits/sec    0    747 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    3    653 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec   39    523 KBytes       
[  4]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec  196    523 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0    639 KBytes       
[  4]  27.00-28.00  sec   382 KBytes  3.13 Mbits/sec    0    748 KBytes       
[  4]  28.00-29.00  sec  4.66 MBytes  39.1 Mbits/sec    1    788 KBytes       
[  4]  29.00-30.00  sec  1018 KBytes  8.34 Mbits/sec    0    840 KBytes       
[  4]  30.00-31.00  sec  1018 KBytes  8.34 Mbits/sec    0    894 KBytes       
[  4]  31.00-32.00  sec  1.12 MBytes  9.39 Mbits/sec    0    947 KBytes       
[  4]  32.00-33.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1001 KBytes       
[  4]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.03 MBytes       
[  4]  34.00-35.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.08 MBytes       
[  4]  35.00-36.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.14 MBytes       
[  4]  36.00-37.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.19 MBytes       
[  4]  37.00-38.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.25 MBytes       
[  4]  38.00-39.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.31 MBytes       
[  4]  39.00-40.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.42 MBytes       
[  4]  40.00-41.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.63 MBytes       
[  4]  41.00-42.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.86 MBytes       
[  4]  42.00-43.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.14 MBytes       
[  4]  43.00-44.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.43 MBytes       
[  4]  44.00-45.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.81 MBytes       
[  4]  45.00-46.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.18 MBytes       
[  4]  46.00-47.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.57 MBytes       
[  4]  47.00-48.00  sec  1.25 MBytes  10.5 Mbits/sec    0   4.01 MBytes       
[  4]  48.00-49.00  sec  1.25 MBytes  10.5 Mbits/sec    0   4.55 MBytes       
[  4]  49.00-50.00  sec  1.25 MBytes  10.5 Mbits/sec  214   4.10 MBytes       
[  4]  50.00-51.00  sec  1.25 MBytes  10.5 Mbits/sec  337   3.29 MBytes       
[  4]  51.00-52.00  sec  29.3 KBytes   240 Kbits/sec  336   3.27 MBytes       
[  4]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec  178   3.27 MBytes       
[  4]  53.00-54.00  sec  0.00 Bytes  0.00 bits/sec  383   2.68 MBytes       
[  4]  54.00-55.00  sec   636 KBytes  5.21 Mbits/sec   89   2.55 MBytes       
[  4]  55.00-56.00  sec  1.25 MBytes  10.5 Mbits/sec  486   3.14 MBytes       
[  4]  56.00-57.00  sec  5.00 MBytes  42.0 Mbits/sec    0   3.52 MBytes       
[  4]  57.00-58.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.57 MBytes       
[  4]  58.00-59.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.62 MBytes       
[  4]  59.00-60.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.67 MBytes       
[  4]  60.00-61.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.73 MBytes       
[  4]  61.00-62.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.78 MBytes       
[  4]  62.00-63.00  sec  1.25 MBytes  10.5 Mbits/sec   35   3.66 MBytes       
[  4]  63.00-64.00  sec  1.04 MBytes  8.73 Mbits/sec  431   2.82 MBytes       
[  4]  64.00-65.00  sec  0.00 Bytes  0.00 bits/sec   25   2.68 MBytes       
[  4]  65.00-66.00  sec  0.00 Bytes  0.00 bits/sec    0   2.68 MBytes       
[  4]  66.00-67.00  sec  0.00 Bytes  0.00 bits/sec  214   2.68 MBytes       
[  4]  67.00-68.00  sec  0.00 Bytes  0.00 bits/sec   47   2.68 MBytes       
[  4]  68.00-69.00  sec   827 KBytes  6.78 Mbits/sec  141   2.66 MBytes       
[  4]  69.00-70.00  sec  6.25 MBytes  52.5 Mbits/sec  198   2.95 MBytes       
[  4]  70.00-71.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.98 MBytes       
[  4]  71.00-72.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.03 MBytes       
[  4]  72.00-73.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.08 MBytes       
[  4]  73.00-74.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.13 MBytes       
[  4]  74.00-75.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.18 MBytes       
[  4]  75.00-76.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.24 MBytes       
[  4]  76.00-77.00  sec  1.10 MBytes  9.23 Mbits/sec    0   3.28 MBytes       
[  4]  77.00-78.00  sec  0.00 Bytes  0.00 bits/sec   21   2.98 MBytes       
[  4]  78.00-79.00  sec  0.00 Bytes  0.00 bits/sec    0   2.64 MBytes       
[  4]  79.00-80.00  sec  0.00 Bytes  0.00 bits/sec    0   2.30 MBytes       
[  4]  80.00-81.00  sec  0.00 Bytes  0.00 bits/sec  168   2.30 MBytes       
[  4]  81.00-82.00  sec  0.00 Bytes  0.00 bits/sec   66   2.30 MBytes       
[  4]  82.00-83.00  sec   764 KBytes  6.26 Mbits/sec    0   2.30 MBytes       
[  4]  83.00-84.00  sec  5.00 MBytes  42.0 Mbits/sec    8   2.59 MBytes       
[  4]  84.00-85.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.61 MBytes       
[  4]  85.00-86.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.67 MBytes       
[  4]  86.00-87.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.72 MBytes       
[  4]  87.00-88.00  sec  1.25 MBytes  10.5 Mbits/sec  137   2.16 MBytes       
[  4]  88.00-89.00  sec   641 KBytes  5.25 Mbits/sec  689   1.91 MBytes       
[  4]  89.00-90.00  sec  0.00 Bytes  0.00 bits/sec    4   1.92 MBytes       
[  4]  90.00-91.00  sec  0.00 Bytes  0.00 bits/sec  271   1.86 MBytes       
[  4]  91.00-92.00  sec   382 KBytes  3.13 Mbits/sec  111   1.41 KBytes       
[  4]  92.00-93.00  sec   445 KBytes  3.65 Mbits/sec    0   1.41 KBytes       
[  4]  93.00-94.00  sec   127 KBytes  1.04 Mbits/sec    7   7.07 KBytes       
[  4]  94.00-95.00  sec  0.00 Bytes  0.00 bits/sec   11   15.6 KBytes       
[  4]  95.00-96.00  sec  63.6 KBytes   521 Kbits/sec   32   45.2 KBytes       
[  4]  96.00-97.00  sec   700 KBytes  5.73 Mbits/sec  372    728 KBytes       
