Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   841 KBytes  6.87 Mbits/sec    0   84.8 KBytes       
[  4]   1.00-2.01   sec   509 KBytes  4.15 Mbits/sec    0    105 KBytes       
[  4]   2.01-3.00   sec   445 KBytes  3.68 Mbits/sec    0    120 KBytes       
[  4]   3.00-4.01   sec   255 KBytes  2.07 Mbits/sec    0    132 KBytes       
[  4]   4.01-5.00   sec   191 KBytes  1.57 Mbits/sec    0    139 KBytes       
[  4]   5.00-6.01   sec   191 KBytes  1.55 Mbits/sec    0    153 KBytes       
[  4]   6.01-7.01   sec   255 KBytes  2.08 Mbits/sec    0    185 KBytes       
[  4]   7.01-8.01   sec   382 KBytes  3.14 Mbits/sec    0    230 KBytes       
[  4]   8.01-9.00   sec   509 KBytes  4.19 Mbits/sec    0    303 KBytes       
[  4]   9.00-10.00  sec   318 KBytes  2.61 Mbits/sec    9    313 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec   85    209 KBytes       
[  4]  11.00-12.00  sec   127 KBytes  1.04 Mbits/sec    4    204 KBytes       
[  4]  12.00-13.00  sec   573 KBytes  4.69 Mbits/sec    0    243 KBytes       
[  4]  13.00-14.00  sec   255 KBytes  2.08 Mbits/sec    0    270 KBytes       
[  4]  14.00-15.00  sec   191 KBytes  1.57 Mbits/sec    0    294 KBytes       
[  4]  15.00-16.00  sec   127 KBytes  1.04 Mbits/sec    0    304 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec   27    216 KBytes       
[  4]  17.00-18.00  sec   255 KBytes  2.09 Mbits/sec   10    216 KBytes       
[  4]  18.00-19.00  sec   445 KBytes  3.65 Mbits/sec    0    221 KBytes       
[  4]  19.00-20.00  sec   255 KBytes  2.08 Mbits/sec    0    238 KBytes       
[  4]  20.00-21.00  sec   191 KBytes  1.56 Mbits/sec    0    252 KBytes       
[  4]  21.00-22.00  sec   255 KBytes  2.08 Mbits/sec    0    259 KBytes       
[  4]  22.00-23.00  sec   509 KBytes  4.17 Mbits/sec    0    263 KBytes       
[  4]  23.00-24.00  sec   318 KBytes  2.61 Mbits/sec    0    264 KBytes       
[  4]  24.00-25.00  sec   509 KBytes  4.17 Mbits/sec    0    267 KBytes       
[  4]  25.00-26.00  sec   255 KBytes  2.09 Mbits/sec    0    274 KBytes       
[  4]  26.00-27.00  sec   255 KBytes  2.08 Mbits/sec    0    290 KBytes       
[  4]  27.00-28.00  sec   255 KBytes  2.09 Mbits/sec    0    317 KBytes       
[  4]  28.00-29.00  sec   445 KBytes  3.65 Mbits/sec    0    365 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec   18    313 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec   24    257 KBytes       
[  4]  31.00-32.00  sec   318 KBytes  2.61 Mbits/sec    1    257 KBytes       
[  4]  32.00-33.00  sec   573 KBytes  4.69 Mbits/sec    0    270 KBytes       
[  4]  33.00-34.00  sec   127 KBytes  1.04 Mbits/sec    0    294 KBytes       
[  4]  34.00-35.00  sec   127 KBytes  1.04 Mbits/sec    0    308 KBytes       
[  4]  35.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0    308 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-35.00  sec  10.0 MBytes  2.40 Mbits/sec  178             sender
[  4]   0.00-35.00  sec  8.01 MBytes  1.92 Mbits/sec                  receiver

iperf Done.
