Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.36 MBytes  11.4 Mbits/sec    0   84.8 KBytes       
[  4]   1.00-2.00   sec   891 KBytes  7.30 Mbits/sec    0    120 KBytes       
[  4]   2.00-3.00   sec   827 KBytes  6.78 Mbits/sec    4    140 KBytes       
[  4]   3.00-4.00   sec   700 KBytes  5.73 Mbits/sec    0    156 KBytes       
[  4]   4.00-5.00   sec   636 KBytes  5.22 Mbits/sec    0    158 KBytes       
[  4]   5.00-6.00   sec   573 KBytes  4.69 Mbits/sec    0    164 KBytes       
[  4]   6.00-7.00   sec   636 KBytes  5.21 Mbits/sec    0    181 KBytes       
[  4]   7.00-8.00   sec   636 KBytes  5.21 Mbits/sec    0    208 KBytes       
[  4]   8.00-9.00   sec   827 KBytes  6.77 Mbits/sec    0    252 KBytes       
[  4]   9.00-10.00  sec   827 KBytes  6.77 Mbits/sec    0    307 KBytes       
[  4]  10.00-11.00  sec   764 KBytes  6.26 Mbits/sec    0    382 KBytes       
[  4]  11.00-12.00  sec   954 KBytes  7.83 Mbits/sec    0    469 KBytes       
[  4]  12.00-13.00  sec  1018 KBytes  8.33 Mbits/sec    0    573 KBytes       
[  4]  13.00-14.00  sec  1.25 MBytes  10.5 Mbits/sec    0    717 KBytes       
[  4]  14.00-15.00  sec  1.25 MBytes  10.5 Mbits/sec    0    888 KBytes       
[  4]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.02 MBytes       
[  4]  16.00-17.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.25 MBytes       
[  4]  17.00-18.00  sec  1.21 MBytes  10.2 Mbits/sec   68   1.12 MBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec   66    933 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec   39    933 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec   41    933 KBytes       
