Port number, Flow completion time (sec), transfered (MBytes), bandwidth (Mbps), Retries, Iter
46112, 91.0, 50.8, 4.68, 1898.0, 3
46112, 78.0, 51.2, 5.51, 818.0, 2
46112, 92.0, 50.5, 4.6, 2410.0, 0
46112, 95.0, 50.6, 4.47, 1371.0, 1
46112, 87.0, 50.1, 4.83, 1618.0, 4
5201, 82.55, 41.8, 4.25, -1, 3
46110, 86.0, 50.3, 4.9, 318.0, 0
46110, 77.0, 50.3, 5.48, 1131.0, 1
5201, 61.25, 44.1, 6.04, -1, 2
5202, 88.05, 43.7, 4.16, -1, 4
5201, 87.17, 46.2, 4.44, -1, 0
46110, 81.0, 50.0, 5.18, 2208.0, 3
46110, 60.0, 50.4, 7.04, 243.0, 2
5201, 78.24, 45.0, 4.82, -1, 1
5202, 95.89, 46.4, 4.06, -1, 1
5201, 82.79, 42.7, 4.33, -1, 4
5202, 92.82, 45.5, 4.11, -1, 0
5202, 79.25, 41.6, 4.41, -1, 2
46110, 81.0, 50.5, 5.23, 977.0, 4
5202, 92.3, 42.8, 3.89, -1, 3
