Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   331 KBytes  2.71 Mbits/sec    0   56.6 KBytes       
[  4]   1.00-2.00   sec   262 KBytes  2.14 Mbits/sec    0   76.4 KBytes       
[  4]   2.00-3.00   sec   127 KBytes  1.04 Mbits/sec    0   79.2 KBytes       
[  4]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   83.4 KBytes       
[  4]   4.00-5.00   sec   127 KBytes  1.04 Mbits/sec    0   99.0 KBytes       
[  4]   5.00-6.00   sec  0.00 Bytes  0.00 bits/sec    0   99.0 KBytes       
[  4]   6.00-7.00   sec   318 KBytes  2.61 Mbits/sec    0    137 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec   17    102 KBytes       
[  4]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    9   99.0 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec   26   55.1 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    2   45.2 KBytes       
[  4]  11.00-12.00  sec  63.6 KBytes   522 Kbits/sec   26   76.4 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   23   80.6 KBytes       
[  4]  13.00-14.00  sec  63.6 KBytes   521 Kbits/sec    6   59.4 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0   59.4 KBytes       
[  4]  15.00-16.00  sec   191 KBytes  1.56 Mbits/sec   26   69.3 KBytes       
[  4]  16.00-17.00  sec   127 KBytes  1.04 Mbits/sec    0   73.5 KBytes       
[  4]  17.00-18.01  sec   127 KBytes  1.04 Mbits/sec    0   82.0 KBytes       
[  4]  18.01-19.00  sec   191 KBytes  1.57 Mbits/sec    0   83.4 KBytes       
[  4]  19.00-20.00  sec  63.6 KBytes   521 Kbits/sec    0   83.4 KBytes       
[  4]  20.00-21.00  sec   127 KBytes  1.04 Mbits/sec    0   86.3 KBytes       
[  4]  21.00-22.00  sec   127 KBytes  1.04 Mbits/sec    0   93.3 KBytes       
[  4]  22.00-23.00  sec   127 KBytes  1.04 Mbits/sec    0    103 KBytes       
[  4]  23.00-24.00  sec   191 KBytes  1.56 Mbits/sec    0    139 KBytes       
[  4]  24.00-25.00  sec   318 KBytes  2.61 Mbits/sec    0    171 KBytes       
[  4]  25.00-26.00  sec   382 KBytes  3.13 Mbits/sec    0    216 KBytes       
[  4]  26.00-27.00  sec   573 KBytes  4.69 Mbits/sec    0    281 KBytes       
[  4]  27.00-28.00  sec   827 KBytes  6.78 Mbits/sec    0    378 KBytes       
[  4]  28.00-29.00  sec  1.12 MBytes  9.39 Mbits/sec    0    516 KBytes       
[  4]  29.00-30.00  sec  63.6 KBytes   521 Kbits/sec    0    529 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec   71    370 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec   11    370 KBytes       
[  4]  32.00-33.00  sec   445 KBytes  3.65 Mbits/sec    1    370 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec   43    368 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec   93    370 KBytes       
[  4]  35.00-36.00  sec   318 KBytes  2.60 Mbits/sec   58    259 KBytes       
[  4]  36.00-37.00  sec   382 KBytes  3.13 Mbits/sec    9    259 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec   17    259 KBytes       
[  4]  38.00-39.00  sec   891 KBytes  7.30 Mbits/sec    0    185 KBytes       
[  4]  39.00-40.00  sec  63.6 KBytes   521 Kbits/sec    0    188 KBytes       
[  4]  40.00-41.00  sec   191 KBytes  1.56 Mbits/sec    8    182 KBytes       
[  4]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec   27    139 KBytes       
[  4]  42.00-43.00  sec   191 KBytes  1.56 Mbits/sec    1    137 KBytes       
[  4]  43.00-44.00  sec   255 KBytes  2.09 Mbits/sec    0   97.6 KBytes       
[  4]  44.00-45.00  sec   127 KBytes  1.04 Mbits/sec    0    107 KBytes       
[  4]  45.00-46.00  sec   191 KBytes  1.56 Mbits/sec    0    115 KBytes       
[  4]  46.00-47.00  sec   127 KBytes  1.04 Mbits/sec    0    116 KBytes       
[  4]  47.00-48.00  sec   127 KBytes  1.04 Mbits/sec    0    117 KBytes       
[  4]  48.00-49.00  sec   127 KBytes  1.04 Mbits/sec    0    120 KBytes       
[  4]  49.00-50.00  sec   127 KBytes  1.04 Mbits/sec    0    124 KBytes       
[  4]  50.00-51.00  sec   127 KBytes  1.04 Mbits/sec    0    139 KBytes       
[  4]  51.00-52.00  sec   127 KBytes  1.04 Mbits/sec    0    160 KBytes       
[  4]  52.00-53.00  sec   127 KBytes  1.04 Mbits/sec    0    195 KBytes       
[  4]  53.00-54.00  sec   191 KBytes  1.57 Mbits/sec    0    247 KBytes       
[  4]  54.00-55.00  sec   127 KBytes  1.04 Mbits/sec    0    315 KBytes       
[  4]  55.00-56.00  sec   191 KBytes  1.57 Mbits/sec    0    427 KBytes       
[  4]  56.00-57.00  sec   127 KBytes  1.04 Mbits/sec    0    492 KBytes       
[  4]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec   58    379 KBytes       
[  4]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec   46    366 KBytes       
[  4]  59.00-60.00  sec   191 KBytes  1.56 Mbits/sec    2    366 KBytes       
[  4]  60.00-61.00  sec   636 KBytes  5.21 Mbits/sec    0    376 KBytes       
[  4]  61.00-62.00  sec   191 KBytes  1.56 Mbits/sec    0    402 KBytes       
[  4]  62.00-63.00  sec   318 KBytes  2.61 Mbits/sec    0    438 KBytes       
[  4]  63.00-64.00  sec  0.00 Bytes  0.00 bits/sec   23    359 KBytes       
[  4]  64.00-65.00  sec  0.00 Bytes  0.00 bits/sec   19    310 KBytes       
[  4]  65.00-66.00  sec   318 KBytes  2.61 Mbits/sec    4    310 KBytes       
[  4]  66.00-67.00  sec   445 KBytes  3.65 Mbits/sec    0    315 KBytes       
[  4]  67.00-68.00  sec   255 KBytes  2.09 Mbits/sec    0    328 KBytes       
[  4]  68.00-69.00  sec   318 KBytes  2.61 Mbits/sec    0    351 KBytes       
[  4]  69.00-70.00  sec   191 KBytes  1.56 Mbits/sec    0    361 KBytes       
[  4]  70.00-71.00  sec   191 KBytes  1.56 Mbits/sec    0    366 KBytes       
[  4]  71.00-72.00  sec   191 KBytes  1.56 Mbits/sec    0    370 KBytes       
[  4]  72.00-73.00  sec  0.00 Bytes  0.00 bits/sec    6    324 KBytes       
[  4]  73.00-74.00  sec   127 KBytes  1.04 Mbits/sec    5    259 KBytes       
[  4]  74.00-75.00  sec   445 KBytes  3.65 Mbits/sec    0    264 KBytes       
[  4]  75.00-76.00  sec   318 KBytes  2.61 Mbits/sec    0    281 KBytes       
[  4]  76.00-77.00  sec   127 KBytes  1.04 Mbits/sec    0    293 KBytes       
[  4]  77.00-78.00  sec   255 KBytes  2.08 Mbits/sec    0    305 KBytes       
[  4]  78.00-79.00  sec   191 KBytes  1.56 Mbits/sec    0    308 KBytes       
[  4]  79.00-80.00  sec   127 KBytes  1.04 Mbits/sec    0    311 KBytes       
[  4]  80.00-81.00  sec   318 KBytes  2.61 Mbits/sec    0    315 KBytes       
[  4]  81.00-82.00  sec   191 KBytes  1.56 Mbits/sec    0    321 KBytes       
[  4]  82.00-83.00  sec   127 KBytes  1.04 Mbits/sec    0    328 KBytes       
[  4]  83.00-84.00  sec   255 KBytes  2.09 Mbits/sec    0    355 KBytes       
[  4]  84.00-85.00  sec   191 KBytes  1.56 Mbits/sec    0    383 KBytes       
[  4]  85.00-86.00  sec   191 KBytes  1.56 Mbits/sec    0    431 KBytes       
[  4]  86.00-87.00  sec  0.00 Bytes  0.00 bits/sec   22    351 KBytes       
[  4]  87.00-88.00  sec  0.00 Bytes  0.00 bits/sec   21    304 KBytes       
[  4]  88.00-89.00  sec   382 KBytes  3.13 Mbits/sec    0    304 KBytes       
[  4]  89.00-90.00  sec   445 KBytes  3.65 Mbits/sec    0    328 KBytes       
[  4]  90.00-91.00  sec   191 KBytes  1.56 Mbits/sec    0    351 KBytes       
[  4]  91.00-92.00  sec   318 KBytes  2.60 Mbits/sec    0    393 KBytes       
[  4]  92.00-93.00  sec   318 KBytes  2.61 Mbits/sec    0    411 KBytes       
[  4]  93.00-94.00  sec   191 KBytes  1.56 Mbits/sec    0    421 KBytes       
[  4]  94.00-95.00  sec  0.00 Bytes  0.00 bits/sec    4    356 KBytes       
[  4]  95.00-96.00  sec  63.6 KBytes   521 Kbits/sec    4    296 KBytes       
[  4]  96.00-97.00  sec   573 KBytes  4.69 Mbits/sec    0    298 KBytes       
[  4]  97.00-98.00  sec   318 KBytes  2.61 Mbits/sec    0    314 KBytes       
[  4]  98.00-99.00  sec   318 KBytes  2.61 Mbits/sec    0    334 KBytes       
[  4]  99.00-100.00 sec   191 KBytes  1.56 Mbits/sec    0    345 KBytes       
[  4] 100.00-101.00 sec   191 KBytes  1.56 Mbits/sec    0    351 KBytes       
[  4] 101.00-102.00 sec   255 KBytes  2.09 Mbits/sec    0    355 KBytes       
[  4] 102.00-103.00 sec   191 KBytes  1.56 Mbits/sec    0    358 KBytes       
[  4] 103.00-104.00 sec   191 KBytes  1.57 Mbits/sec    0    361 KBytes       
[  4] 104.00-105.00 sec   255 KBytes  2.08 Mbits/sec    0    369 KBytes       
[  4] 105.00-106.00 sec   127 KBytes  1.04 Mbits/sec    0    380 KBytes       
[  4] 106.00-107.00 sec   318 KBytes  2.61 Mbits/sec    0    414 KBytes       
[  4] 107.00-108.00 sec  63.6 KBytes   521 Kbits/sec    5    411 KBytes       
[  4] 108.00-109.00 sec  0.00 Bytes  0.00 bits/sec   19    314 KBytes       
[  4] 109.00-110.00 sec   127 KBytes  1.04 Mbits/sec   11    303 KBytes       
[  4] 110.00-111.00 sec   573 KBytes  4.70 Mbits/sec    0    308 KBytes       
[  4] 111.00-112.00 sec   255 KBytes  2.08 Mbits/sec    0    331 KBytes       
[  4] 112.00-113.00 sec   318 KBytes  2.61 Mbits/sec    0    372 KBytes       
[  4] 113.00-114.00 sec   255 KBytes  2.08 Mbits/sec    0    396 KBytes       
[  4] 114.00-115.00 sec   127 KBytes  1.04 Mbits/sec    0    406 KBytes       
[  4] 115.00-116.00 sec   318 KBytes  2.60 Mbits/sec    0    421 KBytes       
[  4] 116.00-117.00 sec   191 KBytes  1.56 Mbits/sec    0    426 KBytes       
[  4] 117.00-118.00 sec   318 KBytes  2.61 Mbits/sec    0    430 KBytes       
[  4] 118.00-119.00 sec   255 KBytes  2.08 Mbits/sec    0    436 KBytes       
[  4] 119.00-120.00 sec  0.00 Bytes  0.00 bits/sec    3    390 KBytes       
[  4] 120.00-121.00 sec   191 KBytes  1.56 Mbits/sec    3    304 KBytes       
[  4] 121.00-122.00 sec   445 KBytes  3.65 Mbits/sec    0    308 KBytes       
[  4] 122.00-123.00 sec   318 KBytes  2.61 Mbits/sec    0    335 KBytes       
[  4] 123.00-124.00 sec   255 KBytes  2.08 Mbits/sec    0    365 KBytes       
[  4] 124.00-125.00 sec   318 KBytes  2.61 Mbits/sec    0    399 KBytes       
