Connecting to host 10.0.0.2, port 5203
[  4] local 10.0.0.1 port 46114 connected to 10.0.0.2 port 5203
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.01   sec   337 KBytes  2.74 Mbits/sec    0   42.4 KBytes       
[  4]   1.01-2.00   sec   191 KBytes  1.57 Mbits/sec    0   50.9 KBytes       
[  4]   2.00-3.00   sec   191 KBytes  1.57 Mbits/sec    0   58.0 KBytes       
[  4]   3.00-4.00   sec   191 KBytes  1.56 Mbits/sec    0   66.5 KBytes       
[  4]   4.00-5.00   sec   191 KBytes  1.56 Mbits/sec    0   79.2 KBytes       
[  4]   5.00-6.01   sec   318 KBytes  2.59 Mbits/sec    0    110 KBytes       
[  4]   6.01-7.00   sec   318 KBytes  2.63 Mbits/sec    0    147 KBytes       
[  4]   7.00-8.00   sec   445 KBytes  3.65 Mbits/sec    0    195 KBytes       
[  4]   8.00-9.00   sec   509 KBytes  4.17 Mbits/sec    0    264 KBytes       
[  4]   9.00-10.00  sec   255 KBytes  2.08 Mbits/sec    0    297 KBytes       
[  4]  10.00-11.00  sec   445 KBytes  3.65 Mbits/sec    0    369 KBytes       
[  4]  11.00-12.00  sec  63.6 KBytes   521 Kbits/sec    4    400 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   41    314 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec   43    288 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec   14    277 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec   30    228 KBytes       
[  4]  16.00-17.00  sec   445 KBytes  3.65 Mbits/sec    0    228 KBytes       
[  4]  17.00-18.00  sec   382 KBytes  3.12 Mbits/sec    0    202 KBytes       
[  4]  18.00-19.00  sec   191 KBytes  1.57 Mbits/sec    0    219 KBytes       
[  4]  19.00-20.00  sec   191 KBytes  1.56 Mbits/sec    0    232 KBytes       
[  4]  20.00-21.00  sec   445 KBytes  3.65 Mbits/sec    0    242 KBytes       
[  4]  21.00-22.00  sec   255 KBytes  2.08 Mbits/sec    0    243 KBytes       
[  4]  22.00-23.00  sec   191 KBytes  1.56 Mbits/sec    0    245 KBytes       
[  4]  23.00-24.00  sec   127 KBytes  1.04 Mbits/sec    0    246 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    7    171 KBytes       
[  4]  25.00-26.00  sec   191 KBytes  1.56 Mbits/sec    1    171 KBytes       
[  4]  26.00-27.00  sec   382 KBytes  3.13 Mbits/sec    0    181 KBytes       
[  4]  27.00-28.00  sec   191 KBytes  1.57 Mbits/sec    0    204 KBytes       
[  4]  28.00-29.00  sec   191 KBytes  1.56 Mbits/sec    0    223 KBytes       
[  4]  29.00-30.00  sec   191 KBytes  1.56 Mbits/sec    0    238 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec   14    181 KBytes       
[  4]  31.00-32.00  sec   127 KBytes  1.04 Mbits/sec    2    167 KBytes       
[  4]  32.00-33.00  sec   382 KBytes  3.13 Mbits/sec    0    171 KBytes       
[  4]  33.00-34.00  sec   127 KBytes  1.04 Mbits/sec    0    180 KBytes       
[  4]  34.00-35.00  sec   318 KBytes  2.61 Mbits/sec    0    194 KBytes       
[  4]  35.00-36.00  sec   191 KBytes  1.56 Mbits/sec    0    199 KBytes       
[  4]  36.00-37.00  sec   127 KBytes  1.04 Mbits/sec    0    239 KBytes       
[  4]  37.00-38.00  sec   191 KBytes  1.57 Mbits/sec    0    239 KBytes       
[  4]  38.00-39.00  sec   255 KBytes  2.08 Mbits/sec    0    239 KBytes       
[  4]  39.00-40.00  sec   191 KBytes  1.56 Mbits/sec    6    221 KBytes       
[  4]  40.00-41.00  sec  63.6 KBytes   520 Kbits/sec   22    167 KBytes       
[  4]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec   16    167 KBytes       
[  4]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec    4    167 KBytes       
[  4]  43.00-44.00  sec   318 KBytes  2.61 Mbits/sec    0    133 KBytes       
[  4]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec    0    116 KBytes       
[  4]  45.00-46.00  sec   191 KBytes  1.56 Mbits/sec   26    117 KBytes       
[  4]  46.00-47.00  sec   509 KBytes  4.17 Mbits/sec    0    144 KBytes       
[  4]  47.00-48.00  sec   318 KBytes  2.61 Mbits/sec    0    158 KBytes       
[  4]  48.00-49.00  sec   318 KBytes  2.61 Mbits/sec    0    175 KBytes       
[  4]  49.00-49.00  sec  0.00 Bytes  0.00 bits/sec    0    175 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-49.00  sec  10.2 MBytes  1.75 Mbits/sec  230             sender
[  4]   0.00-49.00  sec  8.39 MBytes  1.44 Mbits/sec                  receiver

iperf Done.
