Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.01   sec   305 KBytes  2.49 Mbits/sec    0   42.4 KBytes       
[  4]   1.01-2.00   sec   134 KBytes  1.11 Mbits/sec    0   48.1 KBytes       
[  4]   2.00-3.00   sec   191 KBytes  1.57 Mbits/sec    0   53.7 KBytes       
[  4]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   60.8 KBytes       
[  4]   4.00-5.00   sec   127 KBytes  1.04 Mbits/sec    0   72.1 KBytes       
[  4]   5.00-6.00   sec   318 KBytes  2.61 Mbits/sec    0    107 KBytes       
[  4]   6.00-7.00   sec   255 KBytes  2.09 Mbits/sec    0    143 KBytes       
[  4]   7.00-8.00   sec   255 KBytes  2.08 Mbits/sec    6    157 KBytes       
[  4]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec   22    119 KBytes       
[  4]   9.00-10.00  sec   127 KBytes  1.04 Mbits/sec    3    119 KBytes       
[  4]  10.00-11.00  sec   191 KBytes  1.56 Mbits/sec    0    133 KBytes       
[  4]  11.00-12.00  sec   127 KBytes  1.04 Mbits/sec    0    147 KBytes       
[  4]  12.00-13.00  sec  63.6 KBytes   523 Kbits/sec    0    158 KBytes       
[  4]  13.00-14.00  sec  63.6 KBytes   520 Kbits/sec   13    120 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0    112 KBytes       
[  4]  15.00-16.00  sec   127 KBytes  1.04 Mbits/sec    1    112 KBytes       
[  4]  16.00-17.00  sec   191 KBytes  1.57 Mbits/sec    0    117 KBytes       
[  4]  17.00-18.00  sec  63.6 KBytes   521 Kbits/sec    0    123 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec   23   84.8 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    2   84.8 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec   11   83.4 KBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    5   84.8 KBytes       
[  4]  22.00-23.00  sec   191 KBytes  1.56 Mbits/sec    9   62.2 KBytes       
[  4]  23.00-24.00  sec   127 KBytes  1.04 Mbits/sec    9   59.4 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    2   59.4 KBytes       
[  4]  25.00-26.00  sec   127 KBytes  1.04 Mbits/sec    1   45.2 KBytes       
[  4]  26.00-27.00  sec  63.6 KBytes   521 Kbits/sec    1   38.2 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    2   28.3 KBytes       
[  4]  28.00-29.00  sec  63.6 KBytes   521 Kbits/sec    0   31.1 KBytes       
[  4]  29.00-30.00  sec   191 KBytes  1.56 Mbits/sec    0   33.9 KBytes       
[  4]  30.00-31.00  sec   127 KBytes  1.04 Mbits/sec    0   35.4 KBytes       
[  4]  31.00-32.00  sec   127 KBytes  1.04 Mbits/sec    0   38.2 KBytes       
[  4]  32.00-33.00  sec  63.6 KBytes   522 Kbits/sec    0   42.4 KBytes       
[  4]  33.00-34.00  sec  63.6 KBytes   521 Kbits/sec    0   56.6 KBytes       
[  4]  34.00-35.00  sec   127 KBytes  1.04 Mbits/sec    0   79.2 KBytes       
[  4]  35.00-36.00  sec   127 KBytes  1.04 Mbits/sec    0    120 KBytes       
[  4]  36.00-37.00  sec  63.6 KBytes   521 Kbits/sec    0    167 KBytes       
[  4]  37.00-38.00  sec   318 KBytes  2.60 Mbits/sec    0    211 KBytes       
[  4]  38.00-39.00  sec  63.6 KBytes   522 Kbits/sec   31    153 KBytes       
[  4]  39.00-40.00  sec  63.6 KBytes   522 Kbits/sec   12    153 KBytes       
[  4]  40.00-41.00  sec   318 KBytes  2.61 Mbits/sec    0    157 KBytes       
[  4]  41.00-42.00  sec  63.6 KBytes   520 Kbits/sec    0    173 KBytes       
[  4]  42.00-43.00  sec   191 KBytes  1.57 Mbits/sec    0    194 KBytes       
[  4]  43.00-44.00  sec   127 KBytes  1.04 Mbits/sec    0    205 KBytes       
[  4]  44.00-45.00  sec   127 KBytes  1.04 Mbits/sec    0    214 KBytes       
[  4]  45.00-46.00  sec   191 KBytes  1.56 Mbits/sec    0    216 KBytes       
[  4]  46.00-47.00  sec   127 KBytes  1.04 Mbits/sec    0    218 KBytes       
[  4]  47.00-48.00  sec   127 KBytes  1.04 Mbits/sec    0    222 KBytes       
[  4]  48.00-49.00  sec   255 KBytes  2.08 Mbits/sec    0    232 KBytes       
[  4]  49.00-50.00  sec   255 KBytes  2.09 Mbits/sec    0    249 KBytes       
[  4]  50.00-51.00  sec   255 KBytes  2.08 Mbits/sec    0    274 KBytes       
[  4]  51.00-52.00  sec   318 KBytes  2.61 Mbits/sec    1    303 KBytes       
[  4]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec    0    246 KBytes       
[  4]  53.00-54.00  sec   445 KBytes  3.64 Mbits/sec    0    226 KBytes       
[  4]  54.00-55.00  sec   255 KBytes  2.09 Mbits/sec    0    252 KBytes       
[  4]  55.00-56.00  sec   191 KBytes  1.56 Mbits/sec    0    277 KBytes       
[  4]  56.00-57.01  sec   191 KBytes  1.55 Mbits/sec    0    293 KBytes       
[  4]  57.01-58.00  sec  63.6 KBytes   525 Kbits/sec    0    297 KBytes       
[  4]  58.00-59.00  sec  63.6 KBytes   521 Kbits/sec   15    208 KBytes       
[  4]  59.00-60.00  sec   191 KBytes  1.56 Mbits/sec    5    208 KBytes       
[  4]  60.00-61.00  sec   509 KBytes  4.17 Mbits/sec    0    219 KBytes       
[  4]  61.00-62.00  sec   382 KBytes  3.13 Mbits/sec    0    238 KBytes       
[  4]  62.00-63.00  sec   382 KBytes  3.13 Mbits/sec    0    247 KBytes       
[  4]  63.00-64.00  sec   382 KBytes  3.13 Mbits/sec    0    252 KBytes       
[  4]  64.00-65.00  sec   318 KBytes  2.60 Mbits/sec    0    253 KBytes       
[  4]  65.00-65.00  sec  0.00 Bytes  0.00 bits/sec    0    253 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-65.00  sec  10.1 MBytes  1.30 Mbits/sec  174             sender
