Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1005 KBytes  8.23 Mbits/sec    0   69.3 KBytes       
[  4]   1.00-2.00   sec   764 KBytes  6.26 Mbits/sec    0   99.0 KBytes       
[  4]   2.00-3.00   sec   700 KBytes  5.73 Mbits/sec    0    129 KBytes       
[  4]   3.00-4.00   sec   764 KBytes  6.26 Mbits/sec    0    157 KBytes       
[  4]   4.00-5.09   sec   764 KBytes  5.76 Mbits/sec    0    188 KBytes       
[  4]   5.09-6.00   sec   700 KBytes  6.27 Mbits/sec    0    215 KBytes       
[  4]   6.00-7.00   sec   636 KBytes  5.21 Mbits/sec    0    240 KBytes       
[  4]   7.00-8.00   sec   509 KBytes  4.17 Mbits/sec    0    274 KBytes       
[  4]   8.00-9.00   sec   764 KBytes  6.26 Mbits/sec    0    359 KBytes       
[  4]   9.00-10.00  sec   700 KBytes  5.73 Mbits/sec    0    448 KBytes       
[  4]  10.00-11.00  sec   764 KBytes  6.25 Mbits/sec  290    283 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    2    229 KBytes       
[  4]  12.00-13.00  sec   573 KBytes  4.69 Mbits/sec    0    329 KBytes       
[  4]  13.00-14.00  sec   318 KBytes  2.61 Mbits/sec    0    329 KBytes       
[  4]  14.00-15.00  sec   318 KBytes  2.61 Mbits/sec    0    329 KBytes       
[  4]  15.00-16.00  sec   700 KBytes  5.74 Mbits/sec    0    329 KBytes       
[  4]  16.00-17.00  sec   636 KBytes  5.21 Mbits/sec    0    329 KBytes       
[  4]  17.00-18.00  sec   636 KBytes  5.21 Mbits/sec    0    329 KBytes       
[  4]  18.00-19.00  sec   636 KBytes  5.21 Mbits/sec    0    329 KBytes       
[  4]  19.00-20.00  sec   573 KBytes  4.70 Mbits/sec    0    329 KBytes       
[  4]  20.00-21.00  sec   636 KBytes  5.21 Mbits/sec    0    329 KBytes       
[  4]  21.00-22.00  sec   636 KBytes  5.22 Mbits/sec    0    337 KBytes       
[  4]  22.00-23.00  sec   636 KBytes  5.21 Mbits/sec    0    373 KBytes       
[  4]  23.00-24.00  sec   636 KBytes  5.21 Mbits/sec    0    434 KBytes       
[  4]  24.00-25.00  sec   764 KBytes  6.26 Mbits/sec    0    503 KBytes       
[  4]  25.00-26.00  sec  1018 KBytes  8.34 Mbits/sec    0    592 KBytes       
[  4]  26.00-27.00  sec  1.25 MBytes  10.5 Mbits/sec    0    711 KBytes       
