Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.53 MBytes  12.9 Mbits/sec    0   90.5 KBytes       
[  4]   1.00-2.00   sec   954 KBytes  7.82 Mbits/sec    0    130 KBytes       
[  4]   2.00-3.00   sec  1.06 MBytes  8.86 Mbits/sec    0    171 KBytes       
[  4]   3.00-4.00   sec   827 KBytes  6.77 Mbits/sec    7    194 KBytes       
[  4]   4.00-5.00   sec   827 KBytes  6.78 Mbits/sec    0    197 KBytes       
[  4]   5.00-6.00   sec   700 KBytes  5.73 Mbits/sec    0    201 KBytes       
[  4]   6.00-7.00   sec   764 KBytes  6.26 Mbits/sec    0    211 KBytes       
[  4]   7.00-8.00   sec   700 KBytes  5.73 Mbits/sec    0    230 KBytes       
[  4]   8.00-9.00   sec   764 KBytes  6.25 Mbits/sec    0    262 KBytes       
[  4]   9.00-10.00  sec   764 KBytes  6.26 Mbits/sec    0    307 KBytes       
[  4]  10.00-11.00  sec   891 KBytes  7.30 Mbits/sec    0    368 KBytes       
[  4]  11.00-12.00  sec   764 KBytes  6.25 Mbits/sec    0    437 KBytes       
[  4]  12.00-13.00  sec  1018 KBytes  8.34 Mbits/sec    0    533 KBytes       
[  4]  13.00-14.00  sec   954 KBytes  7.82 Mbits/sec    0    631 KBytes       
[  4]  14.00-15.00  sec   954 KBytes  7.83 Mbits/sec   24    670 KBytes       
[  4]  15.00-16.00  sec   191 KBytes  1.56 Mbits/sec   97    523 KBytes       
[  4]  16.00-17.00  sec   891 KBytes  7.30 Mbits/sec    0    525 KBytes       
[  4]  17.00-18.00  sec   509 KBytes  4.17 Mbits/sec    0    573 KBytes       
[  4]  18.00-19.00  sec   318 KBytes  2.61 Mbits/sec    0    618 KBytes       
[  4]  19.00-20.00  sec   318 KBytes  2.61 Mbits/sec    0    645 KBytes       
[  4]  20.00-21.00  sec   573 KBytes  4.69 Mbits/sec    0    690 KBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec   37    484 KBytes       
[  4]  22.00-23.00  sec   255 KBytes  2.09 Mbits/sec    3    484 KBytes       
[  4]  23.00-24.00  sec  1.06 MBytes  8.87 Mbits/sec    0    486 KBytes       
[  4]  24.00-25.00  sec   509 KBytes  4.17 Mbits/sec    0    505 KBytes       
[  4]  25.00-26.00  sec   382 KBytes  3.12 Mbits/sec    0    527 KBytes       
[  4]  26.00-27.00  sec   445 KBytes  3.65 Mbits/sec    0    551 KBytes       
[  4]  27.00-28.00  sec   573 KBytes  4.69 Mbits/sec    0    571 KBytes       
[  4]  28.00-29.00  sec   509 KBytes  4.17 Mbits/sec    0    581 KBytes       
[  4]  29.00-30.00  sec   445 KBytes  3.65 Mbits/sec    0    584 KBytes       
[  4]  30.00-31.00  sec   318 KBytes  2.61 Mbits/sec    0    585 KBytes       
[  4]  31.00-32.00  sec   445 KBytes  3.65 Mbits/sec    0    588 KBytes       
[  4]  32.00-33.00  sec   573 KBytes  4.69 Mbits/sec    0    597 KBytes       
[  4]  33.00-34.00  sec   573 KBytes  4.69 Mbits/sec    0    618 KBytes       
[  4]  34.00-35.00  sec   318 KBytes  2.61 Mbits/sec    0    641 KBytes       
[  4]  35.00-36.00  sec   318 KBytes  2.61 Mbits/sec    0    662 KBytes       
[  4]  36.00-37.00  sec   636 KBytes  5.21 Mbits/sec    0    732 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec   31    574 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec   23    526 KBytes       
[  4]  39.00-40.00  sec   636 KBytes  5.21 Mbits/sec    0    526 KBytes       
[  4]  40.00-41.00  sec  1.06 MBytes  8.86 Mbits/sec    0    539 KBytes       
[  4]  41.00-42.00  sec   573 KBytes  4.69 Mbits/sec    0    592 KBytes       
[  4]  42.00-43.00  sec   573 KBytes  4.69 Mbits/sec    0    650 KBytes       
[  4]  43.00-44.00  sec   509 KBytes  4.17 Mbits/sec    0    691 KBytes       
[  4]  44.00-45.00  sec   318 KBytes  2.61 Mbits/sec    0    708 KBytes       
[  4]  45.00-46.00  sec   509 KBytes  4.17 Mbits/sec    1   1.41 KBytes       
[  4]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec   25    509 KBytes       
[  4]  47.00-48.00  sec  1.06 MBytes  8.86 Mbits/sec    0    513 KBytes       
[  4]  48.00-49.00  sec   636 KBytes  5.22 Mbits/sec    0    591 KBytes       
[  4]  49.00-50.00  sec   573 KBytes  4.69 Mbits/sec    0    643 KBytes       
[  4]  50.00-51.00  sec   636 KBytes  5.22 Mbits/sec    0    680 KBytes       
[  4]  51.00-52.00  sec   700 KBytes  5.73 Mbits/sec    0    704 KBytes       
[  4]  52.00-53.00  sec   636 KBytes  5.21 Mbits/sec    0    718 KBytes       
[  4]  53.00-54.00  sec   573 KBytes  4.69 Mbits/sec    0    724 KBytes       
[  4]  54.00-55.00  sec   573 KBytes  4.70 Mbits/sec    0    727 KBytes       
[  4]  55.00-56.00  sec   636 KBytes  5.21 Mbits/sec    0    728 KBytes       
[  4]  56.00-57.00  sec   573 KBytes  4.69 Mbits/sec    0    731 KBytes       
[  4]  57.00-58.00  sec   636 KBytes  5.21 Mbits/sec    0    740 KBytes       
[  4]  58.00-59.00  sec   764 KBytes  6.25 Mbits/sec    0    758 KBytes       
[  4]  59.00-60.00  sec   891 KBytes  7.30 Mbits/sec    0    792 KBytes       
[  4]  60.00-61.00  sec   891 KBytes  7.29 Mbits/sec    0    839 KBytes       
[  4]  61.00-62.00  sec   891 KBytes  7.30 Mbits/sec    0    894 KBytes       
[  4]  62.00-63.00  sec   764 KBytes  6.26 Mbits/sec    0    947 KBytes       
[  4]  63.00-64.00  sec   891 KBytes  7.29 Mbits/sec   34    882 KBytes       
[  4]  64.00-65.00  sec  0.00 Bytes  0.00 bits/sec   62    720 KBytes       
[  4]  65.00-66.00  sec   764 KBytes  6.26 Mbits/sec    1    720 KBytes       
[  4]  66.00-67.00  sec  1.25 MBytes  10.5 Mbits/sec    0    781 KBytes       
[  4]  67.00-68.00  sec   756 KBytes  6.20 Mbits/sec    0    844 KBytes       
[  4]  68.00-69.00  sec   764 KBytes  6.26 Mbits/sec    0    915 KBytes       
[  4]  69.00-70.00  sec   700 KBytes  5.73 Mbits/sec    0    960 KBytes       
[  4]  70.00-71.00  sec   191 KBytes  1.57 Mbits/sec   14    877 KBytes       
[  4]  71.00-72.00  sec  0.00 Bytes  0.00 bits/sec   28    680 KBytes       
[  4]  72.00-73.00  sec   827 KBytes  6.77 Mbits/sec    0    680 KBytes       
[  4]  73.00-74.00  sec  1.25 MBytes  10.5 Mbits/sec    0    730 KBytes       
[  4]  74.00-75.00  sec   947 KBytes  7.76 Mbits/sec    0    769 KBytes       
[  4]  75.00-76.00  sec   636 KBytes  5.22 Mbits/sec    0    796 KBytes       
[  4]  76.00-77.00  sec   636 KBytes  5.21 Mbits/sec    0    810 KBytes       
[  4]  77.00-78.01  sec   509 KBytes  4.15 Mbits/sec    0    817 KBytes       
[  4]  78.01-79.00  sec   636 KBytes  5.23 Mbits/sec    0    822 KBytes       
[  4]  79.00-80.00  sec   764 KBytes  6.26 Mbits/sec    0    824 KBytes       
[  4]  80.00-81.00  sec   700 KBytes  5.73 Mbits/sec    0    829 KBytes       
[  4]  81.00-82.00  sec   509 KBytes  4.17 Mbits/sec    0    837 KBytes       
[  4]  82.00-83.00  sec   573 KBytes  4.69 Mbits/sec    0    848 KBytes       
[  4]  83.00-84.00  sec   764 KBytes  6.25 Mbits/sec    0    878 KBytes       
[  4]  84.00-85.00  sec   700 KBytes  5.74 Mbits/sec    0    925 KBytes       
[  4]  85.00-86.00  sec   445 KBytes  3.65 Mbits/sec    0    973 KBytes       
[  4]  86.00-87.00  sec   255 KBytes  2.08 Mbits/sec   14    895 KBytes       
[  4]  87.00-88.00  sec  63.6 KBytes   521 Kbits/sec   51    700 KBytes       
[  4]  88.00-89.00  sec  1.25 MBytes  10.5 Mbits/sec    0    718 KBytes       
[  4]  89.00-90.00  sec  1.11 MBytes  9.32 Mbits/sec    0    796 KBytes       
[  4]  90.00-91.00  sec   573 KBytes  4.69 Mbits/sec    0    858 KBytes       
