Connecting to host 10.0.0.2, port 5208
[  4] local 10.0.0.1 port 46124 connected to 10.0.0.2 port 5208
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  82.0 KBytes   672 Kbits/sec    0   14.1 KBytes       
[  4]   1.00-2.00   sec   222 KBytes  1.82 Mbits/sec    0   42.4 KBytes       
[  4]   2.00-3.00   sec  70.7 KBytes   579 Kbits/sec    0   46.7 KBytes       
[  4]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   52.3 KBytes       
[  4]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    0   52.3 KBytes       
[  4]   5.00-6.00   sec   127 KBytes  1.04 Mbits/sec    0   67.9 KBytes       
[  4]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec   12   46.7 KBytes       
[  4]   7.00-8.00   sec  63.6 KBytes   521 Kbits/sec    1   46.7 KBytes       
[  4]   8.00-9.00   sec  63.6 KBytes   522 Kbits/sec    0   53.7 KBytes       
[  4]   9.00-10.00  sec  63.6 KBytes   521 Kbits/sec    0   62.2 KBytes       
[  4]  10.00-11.00  sec  63.6 KBytes   521 Kbits/sec    0   65.0 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0   65.0 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    3   50.9 KBytes       
[  4]  13.00-14.00  sec   127 KBytes  1.04 Mbits/sec    0   48.1 KBytes       
[  4]  14.00-15.00  sec  63.6 KBytes   521 Kbits/sec    0   52.3 KBytes       
[  4]  15.00-16.00  sec  63.6 KBytes   522 Kbits/sec    0   55.1 KBytes       
[  4]  16.00-17.00  sec  63.6 KBytes   521 Kbits/sec    0   56.6 KBytes       
[  4]  17.00-18.00  sec  63.6 KBytes   521 Kbits/sec    0   62.2 KBytes       
[  4]  18.00-19.00  sec   191 KBytes  1.57 Mbits/sec    0   74.9 KBytes       
[  4]  19.00-20.01  sec   127 KBytes  1.04 Mbits/sec    0   91.9 KBytes       
[  4]  20.01-21.00  sec   255 KBytes  2.10 Mbits/sec    0    119 KBytes       
[  4]  21.00-22.00  sec   318 KBytes  2.61 Mbits/sec    0    157 KBytes       
[  4]  22.00-23.00  sec   445 KBytes  3.64 Mbits/sec    0    215 KBytes       
[  4]  23.00-24.00  sec   764 KBytes  6.26 Mbits/sec    0    305 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec   66    219 KBytes       
[  4]  25.00-26.00  sec   255 KBytes  2.09 Mbits/sec    1    219 KBytes       
[  4]  26.00-27.00  sec   382 KBytes  3.13 Mbits/sec    0    238 KBytes       
[  4]  27.00-28.00  sec   191 KBytes  1.56 Mbits/sec    0    257 KBytes       
[  4]  28.00-29.00  sec  63.6 KBytes   521 Kbits/sec    1    257 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec   13    187 KBytes       
[  4]  30.00-31.00  sec   445 KBytes  3.65 Mbits/sec    0    191 KBytes       
[  4]  31.00-32.00  sec   255 KBytes  2.09 Mbits/sec    0    208 KBytes       
[  4]  32.00-33.00  sec   191 KBytes  1.56 Mbits/sec    0    219 KBytes       
[  4]  33.00-34.00  sec   191 KBytes  1.57 Mbits/sec    0    223 KBytes       
[  4]  34.00-35.00  sec   255 KBytes  2.09 Mbits/sec    0    225 KBytes       
[  4]  35.00-36.00  sec   191 KBytes  1.56 Mbits/sec    0    228 KBytes       
[  4]  36.00-37.00  sec   255 KBytes  2.09 Mbits/sec    0    235 KBytes       
[  4]  37.00-38.00  sec   191 KBytes  1.56 Mbits/sec    0    249 KBytes       
[  4]  38.00-39.00  sec   191 KBytes  1.57 Mbits/sec    0    274 KBytes       
[  4]  39.00-40.00  sec   127 KBytes  1.04 Mbits/sec    0    291 KBytes       
[  4]  40.00-41.00  sec   255 KBytes  2.08 Mbits/sec    9    301 KBytes       
[  4]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec   38    228 KBytes       
[  4]  42.00-43.00  sec   445 KBytes  3.65 Mbits/sec    0    233 KBytes       
[  4]  43.00-44.00  sec   318 KBytes  2.60 Mbits/sec    0    267 KBytes       
[  4]  44.00-45.00  sec   255 KBytes  2.09 Mbits/sec    0    294 KBytes       
[  4]  45.00-46.00  sec   255 KBytes  2.09 Mbits/sec    0    311 KBytes       
[  4]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec   11    263 KBytes       
[  4]  47.00-48.00  sec  63.6 KBytes   521 Kbits/sec    6    218 KBytes       
[  4]  48.00-49.00  sec   573 KBytes  4.69 Mbits/sec    0    233 KBytes       
[  4]  49.00-50.00  sec   255 KBytes  2.09 Mbits/sec    0    249 KBytes       
[  4]  50.00-51.00  sec   191 KBytes  1.56 Mbits/sec    0    256 KBytes       
[  4]  51.00-52.00  sec   318 KBytes  2.61 Mbits/sec    0    262 KBytes       
[  4]  52.00-53.00  sec   318 KBytes  2.61 Mbits/sec    0    264 KBytes       
[  4]  53.00-54.00  sec   318 KBytes  2.61 Mbits/sec    0    266 KBytes       
[  4]  54.00-55.00  sec   318 KBytes  2.61 Mbits/sec    0    272 KBytes       
[  4]  55.00-55.00  sec  0.00 Bytes  0.00 bits/sec    0    272 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-55.00  sec  10.2 MBytes  1.55 Mbits/sec  161             sender
[  4]   0.00-55.00  sec  8.61 MBytes  1.31 Mbits/sec                  receiver

iperf Done.
