Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   740 KBytes  6.05 Mbits/sec   17   31.1 KBytes       
[  4]   1.00-2.00   sec   509 KBytes  4.17 Mbits/sec    0   35.4 KBytes       
[  4]   2.00-3.00   sec   255 KBytes  2.09 Mbits/sec    0   41.0 KBytes       
[  4]   3.00-4.00   sec   255 KBytes  2.09 Mbits/sec    0   45.2 KBytes       
[  4]   4.00-5.00   sec   255 KBytes  2.08 Mbits/sec    0   48.1 KBytes       
[  4]   5.00-6.00   sec   191 KBytes  1.56 Mbits/sec    0   50.9 KBytes       
[  4]   6.00-7.00   sec   127 KBytes  1.04 Mbits/sec    0   55.1 KBytes       
[  4]   7.00-8.00   sec   255 KBytes  2.09 Mbits/sec    0   73.5 KBytes       
[  4]   8.00-9.00   sec   255 KBytes  2.09 Mbits/sec    0    105 KBytes       
[  4]   9.00-10.00  sec   318 KBytes  2.61 Mbits/sec    0    148 KBytes       
[  4]  10.00-11.00  sec   382 KBytes  3.13 Mbits/sec    0    195 KBytes       
[  4]  11.00-12.00  sec   382 KBytes  3.13 Mbits/sec    0    246 KBytes       
[  4]  12.00-13.00  sec   318 KBytes  2.60 Mbits/sec    0    293 KBytes       
[  4]  13.00-14.00  sec   318 KBytes  2.61 Mbits/sec    0    334 KBytes       
[  4]  14.00-15.00  sec   255 KBytes  2.09 Mbits/sec   29    303 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec   33    260 KBytes       
[  4]  16.00-17.00  sec  63.6 KBytes   521 Kbits/sec   29    260 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec   11    260 KBytes       
[  4]  18.00-19.00  sec  63.6 KBytes   522 Kbits/sec   78    141 KBytes       
[  4]  19.00-20.00  sec  63.6 KBytes   521 Kbits/sec   24   84.8 KBytes       
[  4]  20.00-21.00  sec   509 KBytes  4.17 Mbits/sec    0    181 KBytes       
[  4]  21.00-22.00  sec   191 KBytes  1.56 Mbits/sec    0    185 KBytes       
[  4]  22.00-23.00  sec   127 KBytes  1.04 Mbits/sec    0    197 KBytes       
[  4]  23.00-24.00  sec  63.6 KBytes   521 Kbits/sec    0    202 KBytes       
[  4]  24.00-25.00  sec   191 KBytes  1.56 Mbits/sec    0    214 KBytes       
[  4]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    0    214 KBytes       
[  4]  26.00-27.00  sec  63.6 KBytes   522 Kbits/sec    0    216 KBytes       
[  4]  27.00-28.00  sec   127 KBytes  1.04 Mbits/sec    0    219 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0    219 KBytes       
[  4]  29.00-30.00  sec   255 KBytes  2.09 Mbits/sec    0    239 KBytes       
[  4]  30.00-31.00  sec  63.6 KBytes   522 Kbits/sec    0    260 KBytes       
[  4]  31.00-32.00  sec   127 KBytes  1.04 Mbits/sec    0    284 KBytes       
[  4]  32.00-33.00  sec   191 KBytes  1.56 Mbits/sec    0    362 KBytes       
[  4]  33.00-34.00  sec   127 KBytes  1.04 Mbits/sec    0    383 KBytes       
[  4]  34.00-35.00  sec   636 KBytes  5.22 Mbits/sec    0    464 KBytes       
[  4]  35.00-36.00  sec   764 KBytes  6.25 Mbits/sec    0    568 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0    568 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec   58    434 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec   63    399 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    0    399 KBytes       
[  4]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec  112    349 KBytes       
[  4]  41.00-42.00  sec   573 KBytes  4.69 Mbits/sec    5    399 KBytes       
[  4]  42.00-43.00  sec   191 KBytes  1.56 Mbits/sec    8    379 KBytes       
[  4]  43.00-44.00  sec  63.6 KBytes   521 Kbits/sec   11    279 KBytes       
[  4]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec    5    279 KBytes       
[  4]  45.00-46.00  sec   827 KBytes  6.77 Mbits/sec    8    263 KBytes       
[  4]  46.00-47.00  sec  63.6 KBytes   522 Kbits/sec    7    204 KBytes       
[  4]  47.00-48.00  sec   445 KBytes  3.65 Mbits/sec    0    195 KBytes       
[  4]  48.00-48.00  sec  0.00 Bytes  0.00 bits/sec    0    195 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-48.00  sec  10.4 MBytes  1.81 Mbits/sec  498             sender
[  4]   0.00-48.00  sec  7.39 MBytes  1.29 Mbits/sec                  receiver

iperf Done.
