Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.53 MBytes  12.8 Mbits/sec    0   70.7 KBytes       
[  4]   1.00-2.00   sec  1.43 MBytes  12.0 Mbits/sec    0    127 KBytes       
[  4]   2.00-3.02   sec  1.37 MBytes  11.3 Mbits/sec    0    184 KBytes       
[  4]   3.02-4.00   sec  1.24 MBytes  10.6 Mbits/sec    0    233 KBytes       
[  4]   4.00-5.00   sec  1.43 MBytes  12.0 Mbits/sec    0    290 KBytes       
[  4]   5.00-6.00   sec  1.43 MBytes  12.0 Mbits/sec    0    348 KBytes       
[  4]   6.00-7.00   sec  1.43 MBytes  12.0 Mbits/sec    0    406 KBytes       
[  4]   7.00-8.00   sec  1.49 MBytes  12.5 Mbits/sec    0    464 KBytes       
[  4]   8.00-9.00   sec  1.43 MBytes  12.0 Mbits/sec    0    522 KBytes       
[  4]   9.00-10.00  sec  1.43 MBytes  12.0 Mbits/sec    0    580 KBytes       
[  4]  10.00-11.00  sec  1.68 MBytes  14.1 Mbits/sec    0    682 KBytes       
[  4]  11.00-12.00  sec  2.05 MBytes  17.2 Mbits/sec    0    861 KBytes       
[  4]  12.00-13.00  sec  2.30 MBytes  19.3 Mbits/sec    0   1.05 MBytes       
[  4]  13.00-14.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.28 MBytes       
[  4]  14.00-15.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.55 MBytes       
[  4]  15.00-16.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.84 MBytes       
[  4]  16.00-17.00  sec  1.25 MBytes  10.5 Mbits/sec  183   1.31 MBytes       
[  4]  17.00-18.00  sec   656 KBytes  5.37 Mbits/sec   95   1.31 MBytes       
[  4]  18.00-19.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.31 MBytes       
[  4]  19.00-20.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.37 MBytes       
[  4]  20.00-21.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.47 MBytes       
[  4]  21.00-22.00  sec  1.25 MBytes  10.5 Mbits/sec   16   1.45 MBytes       
[  4]  22.00-23.00  sec  26.9 KBytes   221 Kbits/sec   71   1.08 MBytes       
[  4]  23.00-24.00  sec  1.25 MBytes  10.5 Mbits/sec    4   1.08 MBytes       
[  4]  24.00-25.00  sec  1.25 MBytes  10.5 Mbits/sec   13   1.09 MBytes       
[  4]  25.00-26.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.09 MBytes       
[  4]  26.00-27.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.10 MBytes       
[  4]  27.00-28.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.10 MBytes       
[  4]  28.00-29.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.12 MBytes       
[  4]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.14 MBytes       
[  4]  30.00-31.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.19 MBytes       
[  4]  31.00-32.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.24 MBytes       
[  4]  32.00-33.00  sec  1.24 MBytes  10.4 Mbits/sec   17   1.30 MBytes       
[  4]  33.00-34.00  sec  1.06 MBytes  8.86 Mbits/sec    0   1.30 MBytes       
[  4]  34.00-35.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.30 MBytes       
[  4]  35.00-36.00  sec   891 KBytes  7.30 Mbits/sec    0   1.31 MBytes       
[  4]  36.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0   1.31 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-36.00  sec  50.2 MBytes  11.7 Mbits/sec  399             sender
[  4]   0.00-36.00  sec  40.7 MBytes  9.49 Mbits/sec                  receiver

iperf Done.
