Connecting to host 10.0.0.2, port 5205
[  4] local 10.0.0.1 port 46118 connected to 10.0.0.2 port 5205
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   314 KBytes  2.57 Mbits/sec    0   55.1 KBytes       
[  4]   1.00-2.00   sec   198 KBytes  1.62 Mbits/sec    0   60.8 KBytes       
[  4]   2.00-3.00   sec   127 KBytes  1.04 Mbits/sec    0   66.5 KBytes       
[  4]   3.00-4.00   sec   191 KBytes  1.56 Mbits/sec    0   73.5 KBytes       
[  4]   4.00-5.00   sec   255 KBytes  2.09 Mbits/sec    0   89.1 KBytes       
[  4]   5.00-6.00   sec   191 KBytes  1.56 Mbits/sec    0    109 KBytes       
[  4]   6.00-7.00   sec   255 KBytes  2.08 Mbits/sec    0    140 KBytes       
[  4]   7.00-8.00   sec   445 KBytes  3.65 Mbits/sec    0    192 KBytes       
[  4]   8.00-9.00   sec   636 KBytes  5.21 Mbits/sec    0    277 KBytes       
[  4]   9.00-10.00  sec  63.6 KBytes   521 Kbits/sec    0    281 KBytes       
[  4]  10.00-11.00  sec  1018 KBytes  8.35 Mbits/sec    0    417 KBytes       
[  4]  11.00-12.00  sec  63.6 KBytes   521 Kbits/sec    0    423 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   83    297 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    8    297 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec   55    259 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec   15    272 KBytes       
[  4]  16.00-17.00  sec   445 KBytes  3.65 Mbits/sec   29    270 KBytes       
[  4]  17.00-18.00  sec  63.6 KBytes   521 Kbits/sec   11    208 KBytes       
[  4]  18.00-19.00  sec   700 KBytes  5.74 Mbits/sec    0    215 KBytes       
[  4]  19.00-20.00  sec   191 KBytes  1.56 Mbits/sec    0    230 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0    232 KBytes       
[  4]  21.00-22.00  sec   255 KBytes  2.08 Mbits/sec    0    243 KBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0    243 KBytes       
[  4]  23.00-24.00  sec   191 KBytes  1.56 Mbits/sec    0    249 KBytes       
[  4]  24.00-25.00  sec  63.6 KBytes   521 Kbits/sec    0    250 KBytes       
[  4]  25.00-26.00  sec   191 KBytes  1.57 Mbits/sec    0    263 KBytes       
[  4]  26.00-27.00  sec   191 KBytes  1.56 Mbits/sec    0    281 KBytes       
[  4]  27.00-28.00  sec   127 KBytes  1.04 Mbits/sec    0    290 KBytes       
[  4]  28.00-29.00  sec   255 KBytes  2.08 Mbits/sec    0    329 KBytes       
[  4]  29.00-30.00  sec   255 KBytes  2.09 Mbits/sec    0    400 KBytes       
[  4]  30.00-31.00  sec   191 KBytes  1.56 Mbits/sec    0    444 KBytes       
[  4]  31.00-32.00  sec   891 KBytes  7.30 Mbits/sec    0    537 KBytes       
[  4]  32.00-33.00  sec   318 KBytes  2.60 Mbits/sec    0    587 KBytes       
[  4]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec    0    762 KBytes       
[  4]  34.00-35.00  sec   247 KBytes  2.03 Mbits/sec    0    778 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec  148    546 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec   13    546 KBytes       
[  4]  37.00-38.00  sec  63.6 KBytes   521 Kbits/sec  131    510 KBytes       
[  4]  38.00-39.00  sec  63.6 KBytes   521 Kbits/sec   96    522 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec   33    543 KBytes       
[  4]  40.00-41.00  sec   509 KBytes  4.17 Mbits/sec  102    539 KBytes       
[  4]  41.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0    539 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-41.00  sec  10.0 MBytes  2.05 Mbits/sec  724             sender
[  4]   0.00-41.00  sec  5.92 MBytes  1.21 Mbits/sec                  receiver

iperf Done.
