Connecting to host 10.0.0.2, port 5206
[  4] local 10.0.0.1 port 46120 connected to 10.0.0.2 port 5206
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  96.2 KBytes   786 Kbits/sec    0   28.3 KBytes       
[  4]   1.00-2.01   sec   369 KBytes  3.01 Mbits/sec    0   58.0 KBytes       
[  4]   2.01-3.00   sec   191 KBytes  1.57 Mbits/sec    0   66.5 KBytes       
[  4]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   69.3 KBytes       
[  4]   4.00-5.00   sec   191 KBytes  1.56 Mbits/sec    0   82.0 KBytes       
[  4]   5.00-6.00   sec   191 KBytes  1.56 Mbits/sec    0   99.0 KBytes       
[  4]   6.00-7.00   sec   255 KBytes  2.09 Mbits/sec    0    129 KBytes       
[  4]   7.00-8.00   sec   382 KBytes  3.13 Mbits/sec    0    180 KBytes       
[  4]   8.00-9.00   sec   636 KBytes  5.21 Mbits/sec    0    262 KBytes       
[  4]   9.00-10.00  sec  63.6 KBytes   521 Kbits/sec    0    270 KBytes       
[  4]  10.00-11.00  sec   891 KBytes  7.30 Mbits/sec    0    392 KBytes       
[  4]  11.00-12.00  sec  63.6 KBytes   521 Kbits/sec    0    404 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    0    404 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec   97    283 KBytes       
[  4]  14.00-15.00  sec  63.6 KBytes   521 Kbits/sec    2    284 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec   67    239 KBytes       
[  4]  16.00-17.00  sec   318 KBytes  2.61 Mbits/sec   32    284 KBytes       
[  4]  17.00-18.00  sec   573 KBytes  4.69 Mbits/sec    0    201 KBytes       
[  4]  18.00-19.00  sec   255 KBytes  2.09 Mbits/sec    0    206 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0    208 KBytes       
[  4]  20.00-21.00  sec   191 KBytes  1.56 Mbits/sec    0    223 KBytes       
[  4]  21.00-22.00  sec   255 KBytes  2.08 Mbits/sec    0    233 KBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0    233 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0    233 KBytes       
[  4]  24.00-25.00  sec   255 KBytes  2.09 Mbits/sec    0    239 KBytes       
[  4]  25.00-26.00  sec   191 KBytes  1.56 Mbits/sec    0    250 KBytes       
[  4]  26.00-27.00  sec  63.6 KBytes   521 Kbits/sec    0    256 KBytes       
[  4]  27.00-28.00  sec   191 KBytes  1.56 Mbits/sec    0    276 KBytes       
[  4]  28.00-29.00  sec   255 KBytes  2.09 Mbits/sec    0    318 KBytes       
[  4]  29.00-30.00  sec   318 KBytes  2.61 Mbits/sec    0    396 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0    396 KBytes       
[  4]  31.00-32.00  sec  1.06 MBytes  8.87 Mbits/sec    0    539 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0    539 KBytes       
[  4]  33.00-34.00  sec  1.93 MBytes  16.2 Mbits/sec    0    799 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0    802 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec   48    694 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec  127    561 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec  163    471 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec   10    477 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec   65    561 KBytes       
[  4]  40.00-41.00  sec   509 KBytes  4.17 Mbits/sec  115    561 KBytes       
[  4]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec    1    561 KBytes       
[  4]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec   63    522 KBytes       
[  4]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec   73    561 KBytes       
[  4]  44.00-45.00  sec   255 KBytes  2.08 Mbits/sec  109    392 KBytes       
[  4]  45.00-45.56  sec  1.25 MBytes  18.7 Mbits/sec    0    392 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-45.56  sec  11.2 MBytes  2.06 Mbits/sec  972             sender
[  4]   0.00-45.56  sec  7.78 MBytes  1.43 Mbits/sec                  receiver

iperf Done.
