Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.22 MBytes  10.2 Mbits/sec    0   66.5 KBytes       
[  4]   1.00-2.00   sec   891 KBytes  7.30 Mbits/sec    0    100 KBytes       
[  4]   2.00-3.00   sec   827 KBytes  6.78 Mbits/sec    0    133 KBytes       
[  4]   3.00-4.00   sec   764 KBytes  6.25 Mbits/sec    0    164 KBytes       
[  4]   4.00-5.00   sec   891 KBytes  7.30 Mbits/sec    0    198 KBytes       
[  4]   5.00-6.00   sec   827 KBytes  6.77 Mbits/sec    0    230 KBytes       
[  4]   6.00-7.00   sec   827 KBytes  6.77 Mbits/sec    0    262 KBytes       
[  4]   7.00-8.00   sec   700 KBytes  5.73 Mbits/sec    0    293 KBytes       
[  4]   8.00-9.00   sec  1.12 MBytes  9.39 Mbits/sec    0    382 KBytes       
[  4]   9.00-10.00  sec  1.12 MBytes  9.38 Mbits/sec    0    486 KBytes       
[  4]  10.00-11.00  sec  1.18 MBytes  9.90 Mbits/sec    0    619 KBytes       
[  4]  11.00-12.00  sec  1018 KBytes  8.34 Mbits/sec    0    741 KBytes       
[  4]  12.00-13.00  sec  1.24 MBytes  10.4 Mbits/sec    0    909 KBytes       
[  4]  13.00-14.00  sec   573 KBytes  4.69 Mbits/sec   65    830 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec  269    602 KBytes       
[  4]  15.00-16.00  sec   127 KBytes  1.04 Mbits/sec   55    519 KBytes       
[  4]  16.00-17.00  sec  63.6 KBytes   521 Kbits/sec   15    519 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    3   1.41 KBytes       
[  4]  18.00-19.00  sec   127 KBytes  1.04 Mbits/sec    2   2.83 KBytes       
[  4]  19.00-20.00  sec  1.12 MBytes  9.38 Mbits/sec  112    717 KBytes       
[  4]  20.00-21.00  sec   700 KBytes  5.74 Mbits/sec    0   1021 KBytes       
[  4]  21.00-22.00  sec  1018 KBytes  8.34 Mbits/sec    0   1.04 MBytes       
[  4]  22.00-23.00  sec  1.06 MBytes  8.86 Mbits/sec    0   1.08 MBytes       
[  4]  23.00-24.00  sec   954 KBytes  7.82 Mbits/sec    0   1.12 MBytes       
[  4]  24.00-25.00  sec   954 KBytes  7.82 Mbits/sec    0   1.15 MBytes       
[  4]  25.00-26.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.20 MBytes       
[  4]  26.00-27.00  sec  56.3 KBytes   461 Kbits/sec  374    853 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec  170    858 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec   11    858 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    4   1.41 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4]  32.00-33.00  sec  1.25 MBytes  10.5 Mbits/sec  369    921 KBytes       
[  4]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec    0    973 KBytes       
[  4]  34.00-35.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.23 MBytes       
[  4]  35.00-36.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.28 MBytes       
[  4]  36.00-37.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.33 MBytes       
[  4]  37.00-38.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.39 MBytes       
[  4]  38.00-39.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.44 MBytes       
[  4]  39.00-40.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.50 MBytes       
[  4]  40.00-41.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.55 MBytes       
[  4]  41.00-42.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.61 MBytes       
[  4]  42.00-43.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.66 MBytes       
[  4]  43.00-44.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.72 MBytes       
[  4]  44.00-45.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.78 MBytes       
[  4]  45.00-46.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.90 MBytes       
[  4]  46.00-47.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.11 MBytes       
[  4]  47.00-48.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.36 MBytes       
[  4]  48.00-49.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.65 MBytes       
[  4]  49.00-50.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.00 MBytes       
[  4]  50.00-51.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.37 MBytes       
[  4]  51.00-52.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.76 MBytes       
[  4]  52.00-53.00  sec  1.25 MBytes  10.5 Mbits/sec    0   4.14 MBytes       
[  4]  53.00-54.00  sec  1.25 MBytes  10.5 Mbits/sec    0   4.68 MBytes       
[  4]  54.00-54.00  sec  0.00 Bytes  0.00 bits/sec    0   4.68 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-54.00  sec  50.4 MBytes  7.82 Mbits/sec  1449             sender
[  4]   0.00-54.00  sec  39.0 MBytes  6.06 Mbits/sec                  receiver

iperf Done.
