Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   298 KBytes  2.44 Mbits/sec    0   42.4 KBytes       
[  4]   1.00-2.01   sec  79.2 KBytes   644 Kbits/sec    0   45.2 KBytes       
[  4]   2.01-3.00   sec   127 KBytes  1.05 Mbits/sec    0   49.5 KBytes       
[  4]   3.00-4.00   sec  63.6 KBytes   521 Kbits/sec    0   52.3 KBytes       
[  4]   4.00-5.00   sec  63.6 KBytes   521 Kbits/sec    0   63.6 KBytes       
[  4]   5.00-6.00   sec   191 KBytes  1.56 Mbits/sec    0   86.3 KBytes       
[  4]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec   21   60.8 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    6   60.8 KBytes       
[  4]   8.00-9.00   sec   191 KBytes  1.56 Mbits/sec    1   42.4 KBytes       
[  4]   9.00-10.00  sec   127 KBytes  1.04 Mbits/sec    0   48.1 KBytes       
[  4]  10.00-11.00  sec   127 KBytes  1.04 Mbits/sec    0   50.9 KBytes       
[  4]  11.00-12.00  sec   127 KBytes  1.04 Mbits/sec    0   50.9 KBytes       
[  4]  12.00-13.00  sec   127 KBytes  1.04 Mbits/sec    0   52.3 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0   55.1 KBytes       
[  4]  14.00-15.00  sec   127 KBytes  1.04 Mbits/sec    0   66.5 KBytes       
[  4]  15.00-16.00  sec   191 KBytes  1.56 Mbits/sec    0   93.3 KBytes       
[  4]  16.00-17.00  sec   255 KBytes  2.08 Mbits/sec    0    122 KBytes       
[  4]  17.00-18.00  sec   318 KBytes  2.61 Mbits/sec    0    160 KBytes       
[  4]  18.00-19.00  sec   509 KBytes  4.18 Mbits/sec    0    221 KBytes       
[  4]  19.00-20.00  sec   700 KBytes  5.73 Mbits/sec    0    311 KBytes       
[  4]  20.00-21.01  sec  63.6 KBytes   519 Kbits/sec    0    320 KBytes       
[  4]  21.01-22.00  sec  0.00 Bytes  0.00 bits/sec   97    223 KBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    2    223 KBytes       
[  4]  23.00-24.00  sec  63.6 KBytes   521 Kbits/sec   51    223 KBytes       
[  4]  24.00-25.00  sec   700 KBytes  5.74 Mbits/sec    0    249 KBytes       
[  4]  25.00-26.00  sec   191 KBytes  1.56 Mbits/sec    0    276 KBytes       
[  4]  26.00-27.00  sec   127 KBytes  1.04 Mbits/sec    0    290 KBytes       
[  4]  27.00-28.00  sec   255 KBytes  2.08 Mbits/sec    0    304 KBytes       
[  4]  28.00-29.00  sec   191 KBytes  1.56 Mbits/sec    0    313 KBytes       
[  4]  29.00-30.00  sec   318 KBytes  2.61 Mbits/sec    0    317 KBytes       
[  4]  30.00-31.00  sec  63.6 KBytes   521 Kbits/sec    0    318 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec   31    222 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec   10    222 KBytes       
[  4]  33.00-34.00  sec   255 KBytes  2.09 Mbits/sec    0    222 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec   29    222 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    8    222 KBytes       
[  4]  36.00-37.00  sec   255 KBytes  2.09 Mbits/sec   33    154 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec   10    154 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    1    154 KBytes       
[  4]  39.00-40.00  sec   255 KBytes  2.09 Mbits/sec    8    154 KBytes       
[  4]  40.00-41.00  sec   255 KBytes  2.08 Mbits/sec    7    134 KBytes       
[  4]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec    2    119 KBytes       
[  4]  42.00-43.00  sec   318 KBytes  2.61 Mbits/sec    8    107 KBytes       
[  4]  43.00-44.00  sec   127 KBytes  1.04 Mbits/sec    3   94.7 KBytes       
[  4]  44.00-45.00  sec   255 KBytes  2.09 Mbits/sec    0   80.6 KBytes       
[  4]  45.00-46.00  sec   255 KBytes  2.08 Mbits/sec    0   89.1 KBytes       
[  4]  46.00-47.00  sec   191 KBytes  1.56 Mbits/sec    0   91.9 KBytes       
[  4]  47.00-48.00  sec   255 KBytes  2.08 Mbits/sec    0   91.9 KBytes       
[  4]  48.00-49.00  sec   191 KBytes  1.57 Mbits/sec    0   93.3 KBytes       
[  4]  49.00-50.00  sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  4]  50.00-51.00  sec   191 KBytes  1.56 Mbits/sec    0    112 KBytes       
[  4]  51.00-52.00  sec   255 KBytes  2.09 Mbits/sec    0    133 KBytes       
[  4]  52.00-53.00  sec   318 KBytes  2.61 Mbits/sec    0    174 KBytes       
[  4]  53.00-54.00  sec   827 KBytes  6.78 Mbits/sec    0    229 KBytes       
[  4]  54.00-54.60  sec   636 KBytes  8.69 Mbits/sec    0    270 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-54.60  sec  10.4 MBytes  1.60 Mbits/sec  328             sender
[  4]   0.00-54.60  sec  8.96 MBytes  1.38 Mbits/sec                  receiver

iperf Done.
