Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.01   sec   423 KBytes  3.43 Mbits/sec    0   48.1 KBytes       
[  4]   1.01-2.00   sec   255 KBytes  2.10 Mbits/sec    0   56.6 KBytes       
[  4]   2.00-3.00   sec   191 KBytes  1.57 Mbits/sec    0   65.0 KBytes       
[  4]   3.00-4.01   sec   191 KBytes  1.56 Mbits/sec    0   72.1 KBytes       
[  4]   4.01-5.00   sec   318 KBytes  2.62 Mbits/sec    0   90.5 KBytes       
[  4]   5.00-6.00   sec   509 KBytes  4.17 Mbits/sec    0    133 KBytes       
[  4]   6.00-7.00   sec   636 KBytes  5.21 Mbits/sec    0    189 KBytes       
[  4]   7.00-8.00   sec   509 KBytes  4.17 Mbits/sec    0    243 KBytes       
[  4]   8.00-9.00   sec  1.06 MBytes  8.85 Mbits/sec    0    358 KBytes       
[  4]   9.00-10.00  sec   954 KBytes  7.82 Mbits/sec    0    462 KBytes       
[  4]  10.00-11.00  sec   700 KBytes  5.73 Mbits/sec    0    556 KBytes       
[  4]  11.00-12.00  sec  1018 KBytes  8.34 Mbits/sec    0    679 KBytes       
[  4]  12.00-13.00  sec   827 KBytes  6.78 Mbits/sec    0    785 KBytes       
[  4]  13.00-14.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1001 KBytes       
[  4]  14.00-15.00  sec   565 KBytes  4.63 Mbits/sec    0   1.00 MBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec  245    723 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec   49    723 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec   79    626 KBytes       
[  4]  18.00-19.00  sec  63.6 KBytes   521 Kbits/sec   32    462 KBytes       
[  4]  19.00-20.00  sec   700 KBytes  5.73 Mbits/sec   37    410 KBytes       
[  4]  20.00-21.00  sec  1.25 MBytes  10.5 Mbits/sec    0    134 KBytes       
[  4]  21.00-22.00  sec  56.3 KBytes   462 Kbits/sec    0    506 KBytes       
[  4]  22.00-23.00  sec   255 KBytes  2.09 Mbits/sec    0    526 KBytes       
[  4]  23.00-24.00  sec   255 KBytes  2.08 Mbits/sec    0    543 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec   12    485 KBytes       
[  4]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec   56    379 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec   18    379 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec   19    379 KBytes       
[  4]  28.00-29.00  sec   191 KBytes  1.56 Mbits/sec    1   1.41 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0   4.24 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    3   4.24 KBytes       
[  4]  34.00-35.00  sec   509 KBytes  4.17 Mbits/sec   32    393 KBytes       
[  4]  35.00-36.00  sec   827 KBytes  6.77 Mbits/sec    0    434 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    7    393 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec   41    303 KBytes       
[  4]  38.00-39.00  sec   191 KBytes  1.56 Mbits/sec   27    303 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec   19    303 KBytes       
[  4]  40.00-41.00  sec   127 KBytes  1.04 Mbits/sec    1   1.41 KBytes       
[  4]  41.00-42.00  sec  63.6 KBytes   521 Kbits/sec   10   14.1 KBytes       
[  4]  42.00-43.00  sec   191 KBytes  1.56 Mbits/sec   52    249 KBytes       
[  4]  43.00-44.00  sec   318 KBytes  2.61 Mbits/sec    0    317 KBytes       
[  4]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec    0    317 KBytes       
[  4]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4]  47.00-48.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec    1   33.9 KBytes       
[  4]  49.00-50.00  sec   445 KBytes  3.65 Mbits/sec  128    236 KBytes       
[  4]  50.00-51.00  sec  1.06 MBytes  8.86 Mbits/sec    0    281 KBytes       
[  4]  51.00-52.00  sec   255 KBytes  2.09 Mbits/sec    0    297 KBytes       
[  4]  52.00-53.00  sec   318 KBytes  2.60 Mbits/sec    0    311 KBytes       
[  4]  53.00-54.00  sec   318 KBytes  2.61 Mbits/sec    0    327 KBytes       
[  4]  54.00-55.00  sec   318 KBytes  2.60 Mbits/sec    0    344 KBytes       
[  4]  55.00-56.00  sec   318 KBytes  2.61 Mbits/sec    0    361 KBytes       
[  4]  56.00-57.00  sec   318 KBytes  2.61 Mbits/sec    0    424 KBytes       
[  4]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec    0    431 KBytes       
[  4]  58.00-59.00  sec   318 KBytes  2.61 Mbits/sec    0    556 KBytes       
[  4]  59.00-60.00  sec  0.00 Bytes  0.00 bits/sec   12    485 KBytes       
[  4]  60.00-61.00  sec  0.00 Bytes  0.00 bits/sec    9    440 KBytes       
[  4]  61.00-62.00  sec   191 KBytes  1.57 Mbits/sec   63    389 KBytes       
