Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.60 MBytes  13.4 Mbits/sec    0   90.5 KBytes       
[  4]   1.00-2.00   sec  1.49 MBytes  12.5 Mbits/sec    0    148 KBytes       
[  4]   2.00-3.00   sec  1.37 MBytes  11.5 Mbits/sec    0    205 KBytes       
[  4]   3.00-4.00   sec  1.43 MBytes  12.0 Mbits/sec    0    262 KBytes       
[  4]   4.00-5.00   sec  1.43 MBytes  12.0 Mbits/sec    0    320 KBytes       
[  4]   5.00-6.00   sec  1.49 MBytes  12.5 Mbits/sec    0    379 KBytes       
[  4]   6.00-7.00   sec  1.43 MBytes  12.0 Mbits/sec    0    437 KBytes       
[  4]   7.00-8.00   sec  1.43 MBytes  12.0 Mbits/sec    0    495 KBytes       
[  4]   8.00-9.00   sec  1.49 MBytes  12.5 Mbits/sec    0    553 KBytes       
[  4]   9.00-10.00  sec  1018 KBytes  8.33 Mbits/sec    0    592 KBytes       
[  4]  10.00-11.00  sec  1.43 MBytes  12.0 Mbits/sec    0    696 KBytes       
[  4]  11.00-12.00  sec  2.05 MBytes  17.2 Mbits/sec    0    875 KBytes       
[  4]  12.00-13.00  sec  2.30 MBytes  19.3 Mbits/sec    0   1.06 MBytes       
[  4]  13.00-14.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.29 MBytes       
[  4]  14.00-15.01  sec  2.50 MBytes  20.8 Mbits/sec    0   1.56 MBytes       
[  4]  15.01-16.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.83 MBytes       
[  4]  16.00-17.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.14 MBytes       
[  4]  17.00-18.01  sec  2.50 MBytes  20.8 Mbits/sec    0   2.49 MBytes       
[  4]  18.01-19.00  sec  1.25 MBytes  10.6 Mbits/sec  136   1.92 MBytes       
[  4]  19.00-20.00  sec  1.25 MBytes  10.5 Mbits/sec  387   1.79 MBytes       
[  4]  20.00-21.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.79 MBytes       
[  4]  21.00-22.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.81 MBytes       
[  4]  22.00-23.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.90 MBytes       
[  4]  23.00-24.00  sec  1.25 MBytes  10.5 Mbits/sec   15   1.89 MBytes       
[  4]  24.00-25.00  sec  1.25 MBytes  10.5 Mbits/sec   77   1.45 MBytes       
[  4]  25.00-26.00  sec  1.25 MBytes  10.5 Mbits/sec   34   1.39 MBytes       
[  4]  26.00-27.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.40 MBytes       
[  4]  27.00-28.01  sec  1.25 MBytes  10.4 Mbits/sec    0   1.45 MBytes       
[  4]  28.01-29.00  sec  1.25 MBytes  10.6 Mbits/sec    0   1.48 MBytes       
[  4]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  4]  30.00-31.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.59 MBytes       
[  4]  31.00-32.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.63 MBytes       
[  4]  32.00-33.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.66 MBytes       
[  4]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.67 MBytes       
[  4]  34.00-35.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.68 MBytes       
[  4]  35.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0   1.68 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-35.00  sec  51.2 MBytes  12.3 Mbits/sec  649             sender
[  4]   0.00-35.00  sec  39.2 MBytes  9.40 Mbits/sec                  receiver

iperf Done.
