Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  82.0 KBytes   672 Kbits/sec    1   14.1 KBytes       
[  4]   1.00-2.00   sec  94.7 KBytes   776 Kbits/sec    0   28.3 KBytes       
[  4]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[  4]   3.00-4.00   sec   119 KBytes   971 Kbits/sec    0   42.4 KBytes       
[  4]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    0   42.4 KBytes       
[  4]   5.00-6.00   sec   134 KBytes  1.10 Mbits/sec    0   52.3 KBytes       
[  4]   6.00-7.01   sec   191 KBytes  1.56 Mbits/sec    0   79.2 KBytes       
[  4]   7.01-8.01   sec  0.00 Bytes  0.00 bits/sec    0   79.2 KBytes       
[  4]   8.01-9.00   sec  0.00 Bytes  0.00 bits/sec    0   79.2 KBytes       
[  4]   9.00-10.00  sec   255 KBytes  2.08 Mbits/sec    0    119 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    0    119 KBytes       
[  4]  11.00-12.00  sec   445 KBytes  3.65 Mbits/sec    0    178 KBytes       
[  4]  12.00-13.00  sec   636 KBytes  5.20 Mbits/sec    0    257 KBytes       
[  4]  13.00-14.00  sec  63.6 KBytes   522 Kbits/sec    0    262 KBytes       
[  4]  14.00-15.00  sec   764 KBytes  6.26 Mbits/sec    0    369 KBytes       
[  4]  15.00-16.00  sec   255 KBytes  2.08 Mbits/sec    0    397 KBytes       
[  4]  16.00-17.00  sec  1.06 MBytes  8.87 Mbits/sec    0    539 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec   19    478 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec   93    376 KBytes       
[  4]  19.00-20.01  sec   191 KBytes  1.55 Mbits/sec    3    376 KBytes       
[  4]  20.01-21.00  sec   255 KBytes  2.10 Mbits/sec    0    376 KBytes       
[  4]  21.00-22.00  sec   636 KBytes  5.21 Mbits/sec    0    421 KBytes       
[  4]  22.00-23.00  sec  63.6 KBytes   522 Kbits/sec    0    431 KBytes       
[  4]  23.00-24.00  sec   318 KBytes  2.61 Mbits/sec    0    481 KBytes       
[  4]  24.00-25.00  sec   127 KBytes  1.04 Mbits/sec    0    489 KBytes       
[  4]  25.00-26.00  sec   382 KBytes  3.13 Mbits/sec    0    516 KBytes       
[  4]  26.00-27.00  sec   127 KBytes  1.04 Mbits/sec    0    520 KBytes       
[  4]  27.00-28.00  sec   509 KBytes  4.17 Mbits/sec    0    532 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0    532 KBytes       
[  4]  29.00-30.00  sec   382 KBytes  3.13 Mbits/sec    2    516 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0    515 KBytes       
[  4]  31.00-32.00  sec  63.6 KBytes   521 Kbits/sec   24    379 KBytes       
[  4]  32.00-33.00  sec   127 KBytes  1.04 Mbits/sec    0    379 KBytes       
[  4]  33.00-34.00  sec   764 KBytes  6.25 Mbits/sec    0    407 KBytes       
[  4]  34.00-35.00  sec   445 KBytes  3.65 Mbits/sec    0    469 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0    474 KBytes       
[  4]  36.00-37.00  sec   509 KBytes  4.17 Mbits/sec    0    513 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    0    515 KBytes       
[  4]  38.00-39.00  sec   127 KBytes  1.04 Mbits/sec   27    406 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    0    404 KBytes       
[  4]  40.00-41.00  sec   636 KBytes  5.22 Mbits/sec    0    368 KBytes       
[  4]  41.00-42.00  sec   255 KBytes  2.08 Mbits/sec    0    393 KBytes       
[  4]  42.00-43.00  sec   255 KBytes  2.09 Mbits/sec    0    410 KBytes       
[  4]  43.00-44.00  sec   382 KBytes  3.13 Mbits/sec    0    431 KBytes       
[  4]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec    0    431 KBytes       
[  4]  45.00-46.00  sec   445 KBytes  3.65 Mbits/sec    0    440 KBytes       
[  4]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec    0    440 KBytes       
[  4]  47.00-48.00  sec  0.00 Bytes  0.00 bits/sec   12    313 KBytes       
[  4]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec    0    311 KBytes       
[  4]  49.00-50.00  sec   636 KBytes  5.21 Mbits/sec    0    313 KBytes       
[  4]  50.00-51.00  sec   382 KBytes  3.13 Mbits/sec    0    344 KBytes       
[  4]  51.00-52.00  sec  63.6 KBytes   521 Kbits/sec    0    348 KBytes       
[  4]  52.00-53.00  sec   318 KBytes  2.61 Mbits/sec    0    365 KBytes       
[  4]  53.00-54.00  sec   318 KBytes  2.60 Mbits/sec    0    370 KBytes       
[  4]  54.00-55.00  sec  63.6 KBytes   521 Kbits/sec    0    372 KBytes       
[  4]  55.00-56.00  sec   318 KBytes  2.61 Mbits/sec    0    378 KBytes       
[  4]  56.00-57.00  sec  63.6 KBytes   521 Kbits/sec    0    380 KBytes       
[  4]  57.00-58.00  sec   382 KBytes  3.12 Mbits/sec    0    406 KBytes       
[  4]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec    0    407 KBytes       
[  4]  59.00-60.00  sec   318 KBytes  2.60 Mbits/sec    0    472 KBytes       
[  4]  60.00-61.00  sec  63.6 KBytes   521 Kbits/sec    0    475 KBytes       
[  4]  61.00-62.00  sec  0.00 Bytes  0.00 bits/sec   47    339 KBytes       
[  4]  62.00-63.00  sec   191 KBytes  1.56 Mbits/sec    0    339 KBytes       
[  4]  63.00-64.00  sec   445 KBytes  3.65 Mbits/sec    0    341 KBytes       
[  4]  64.00-65.00  sec   445 KBytes  3.65 Mbits/sec    0    410 KBytes       
[  4]  65.00-66.00  sec  0.00 Bytes  0.00 bits/sec    0    414 KBytes       
[  4]  66.00-67.05  sec   382 KBytes  2.99 Mbits/sec    0    454 KBytes       
[  4]  67.05-68.00  sec  0.00 Bytes  0.00 bits/sec    0    455 KBytes       
[  4]  68.00-69.00  sec   445 KBytes  3.64 Mbits/sec    0    474 KBytes       
