Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   581 KBytes  4.74 Mbits/sec    0   55.1 KBytes       
[  4]   1.00-2.00   sec   382 KBytes  3.13 Mbits/sec    0   69.3 KBytes       
[  4]   2.00-3.00   sec   509 KBytes  4.18 Mbits/sec    0   90.5 KBytes       
[  4]   3.00-4.00   sec   636 KBytes  5.20 Mbits/sec    0    115 KBytes       
[  4]   4.00-5.00   sec   700 KBytes  5.76 Mbits/sec    0    143 KBytes       
[  4]   5.00-6.00   sec   827 KBytes  6.78 Mbits/sec    0    175 KBytes       
[  4]   6.00-7.00   sec   636 KBytes  5.21 Mbits/sec    0    204 KBytes       
[  4]   7.00-8.00   sec  1018 KBytes  8.33 Mbits/sec    0    281 KBytes       
[  4]   8.00-9.01   sec  1.43 MBytes  11.9 Mbits/sec    0    392 KBytes       
[  4]   9.01-10.00  sec  1.62 MBytes  13.6 Mbits/sec    0    520 KBytes       
[  4]  10.00-11.00  sec  1.93 MBytes  16.2 Mbits/sec    0    676 KBytes       
[  4]  11.00-12.00  sec  1.93 MBytes  16.1 Mbits/sec    0    846 KBytes       
[  4]  12.00-13.00  sec  2.11 MBytes  17.8 Mbits/sec    0   1.03 MBytes       
[  4]  13.00-14.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.26 MBytes       
[  4]  14.00-15.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.52 MBytes       
[  4]  15.00-16.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.80 MBytes       
[  4]  16.00-17.00  sec  1.25 MBytes  10.5 Mbits/sec   63   1.87 MBytes       
[  4]  17.00-18.00  sec  1.25 MBytes  10.5 Mbits/sec  211   1.43 MBytes       
[  4]  18.00-19.00  sec  1.25 MBytes  10.5 Mbits/sec   63   1.43 MBytes       
[  4]  19.00-20.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.43 MBytes       
[  4]  20.00-21.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.51 MBytes       
[  4]  21.00-22.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.60 MBytes       
[  4]  22.00-23.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.71 MBytes       
[  4]  23.00-24.00  sec  1.25 MBytes  10.5 Mbits/sec   35   1.55 MBytes       
[  4]  24.00-25.00  sec  31.8 KBytes   260 Kbits/sec   69   1.23 MBytes       
[  4]  25.00-26.01  sec  1.25 MBytes  10.4 Mbits/sec    0   1.23 MBytes       
[  4]  26.01-27.01  sec  1.25 MBytes  10.5 Mbits/sec    0   1.25 MBytes       
[  4]  27.01-28.00  sec  1.25 MBytes  10.6 Mbits/sec    0   1.30 MBytes       
[  4]  28.00-29.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.35 MBytes       
[  4]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.40 MBytes       
[  4]  30.00-31.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.44 MBytes       
[  4]  31.00-32.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.46 MBytes       
[  4]  32.00-33.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.48 MBytes       
[  4]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.48 MBytes       
[  4]  34.00-35.01  sec  1.25 MBytes  10.4 Mbits/sec    0   1.49 MBytes       
[  4]  35.01-36.00  sec  1.05 MBytes  8.86 Mbits/sec    0   1.49 MBytes       
[  4]  36.00-37.00  sec   700 KBytes  5.72 Mbits/sec   14   1.41 MBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec   10   1.10 MBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec   12   1.05 MBytes       
[  4]  39.00-40.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.06 MBytes       
[  4]  40.00-41.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.13 MBytes       
[  4]  41.00-42.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.21 MBytes       
[  4]  42.00-43.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.28 MBytes       
[  4]  43.00-44.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.35 MBytes       
[  4]  44.00-44.00  sec  0.00 Bytes  0.00 bits/sec    0   1.35 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-44.00  sec  50.9 MBytes  9.71 Mbits/sec  477             sender
[  4]   0.00-44.00  sec  41.3 MBytes  7.87 Mbits/sec                  receiver

iperf Done.
