Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  82.0 KBytes   672 Kbits/sec    1   14.1 KBytes       
[  4]   1.00-2.00   sec  14.1 KBytes   116 Kbits/sec    0   28.3 KBytes       
[  4]   2.00-3.00   sec   187 KBytes  1.53 Mbits/sec    0   42.4 KBytes       
[  4]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    0   42.4 KBytes       
[  4]   4.00-5.00   sec  70.7 KBytes   579 Kbits/sec    0   46.7 KBytes       
[  4]   5.00-6.00   sec   127 KBytes  1.04 Mbits/sec    0   60.8 KBytes       
[  4]   6.00-7.00   sec   255 KBytes  2.09 Mbits/sec    0   90.5 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    0   90.5 KBytes       
[  4]   8.00-9.00   sec   318 KBytes  2.61 Mbits/sec    0    136 KBytes       
[  4]   9.00-10.00  sec   509 KBytes  4.16 Mbits/sec    0    204 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    0    204 KBytes       
[  4]  11.00-12.00  sec   764 KBytes  6.26 Mbits/sec    0    305 KBytes       
[  4]  12.00-13.00  sec  1.12 MBytes  9.39 Mbits/sec    0    458 KBytes       
[  4]  13.00-14.00  sec  1.86 MBytes  15.6 Mbits/sec    0    710 KBytes       
[  4]  14.00-15.00  sec  2.49 MBytes  20.9 Mbits/sec    0    959 KBytes       
[  4]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.16 MBytes       
[  4]  16.00-17.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.41 MBytes       
[  4]  17.00-18.00  sec  2.50 MBytes  20.9 Mbits/sec    0   1.69 MBytes       
[  4]  18.00-19.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.00 MBytes       
[  4]  19.00-20.00  sec  1.25 MBytes  10.5 Mbits/sec  110   1.76 MBytes       
[  4]  20.00-21.00  sec   832 KBytes  6.81 Mbits/sec  244   1.49 MBytes       
[  4]  21.00-22.00  sec   191 KBytes  1.56 Mbits/sec    0   1.49 MBytes       
[  4]  22.00-23.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.56 MBytes       
[  4]  23.00-24.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.66 MBytes       
[  4]  24.00-25.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.76 MBytes       
[  4]  25.00-26.00  sec  1.25 MBytes  10.5 Mbits/sec   53   1.49 MBytes       
[  4]  26.00-27.00  sec   791 KBytes  6.47 Mbits/sec   33   1.25 MBytes       
[  4]  27.00-28.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.27 MBytes       
[  4]  28.00-29.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.33 MBytes       
[  4]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.39 MBytes       
[  4]  30.00-31.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.43 MBytes       
[  4]  31.00-32.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.47 MBytes       
[  4]  32.00-33.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.49 MBytes       
[  4]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.51 MBytes       
[  4]  34.00-35.00  sec  1.07 MBytes  8.96 Mbits/sec   15   1.36 MBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    9   1.06 MBytes       
[  4]  36.00-37.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.06 MBytes       
[  4]  37.00-38.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.11 MBytes       
