Connecting to host 10.0.0.2, port 5203
[  4] local 10.0.0.1 port 46114 connected to 10.0.0.2 port 5203
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.01   sec  82.0 KBytes   666 Kbits/sec    1   14.1 KBytes       
[  4]   1.01-2.00   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]   2.00-3.00   sec  14.1 KBytes   116 Kbits/sec    0   28.3 KBytes       
[  4]   3.00-4.00   sec   187 KBytes  1.53 Mbits/sec    0   42.4 KBytes       
[  4]   4.00-5.00   sec  70.7 KBytes   580 Kbits/sec    0   46.7 KBytes       
[  4]   5.00-6.00   sec   127 KBytes  1.04 Mbits/sec    0   58.0 KBytes       
[  4]   6.00-7.00   sec   191 KBytes  1.56 Mbits/sec    0   80.6 KBytes       
[  4]   7.00-8.01   sec  0.00 Bytes  0.00 bits/sec    0   80.6 KBytes       
[  4]   8.01-9.00   sec   318 KBytes  2.63 Mbits/sec    0    120 KBytes       
[  4]   9.00-10.00  sec   382 KBytes  3.13 Mbits/sec    0    173 KBytes       
[  4]  10.00-11.01  sec   573 KBytes  4.67 Mbits/sec    0    252 KBytes       
[  4]  11.01-12.01  sec  0.00 Bytes  0.00 bits/sec    0    252 KBytes       
[  4]  12.01-13.00  sec   636 KBytes  5.22 Mbits/sec    0    313 KBytes       
[  4]  13.00-14.00  sec  1.06 MBytes  8.88 Mbits/sec    0    462 KBytes       
[  4]  14.00-15.00  sec   127 KBytes  1.04 Mbits/sec   60    334 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    0    334 KBytes       
[  4]  16.00-17.00  sec   700 KBytes  5.72 Mbits/sec    0    354 KBytes       
[  4]  17.00-18.00  sec   382 KBytes  3.12 Mbits/sec    0    396 KBytes       
[  4]  18.00-19.00  sec   255 KBytes  2.09 Mbits/sec    0    430 KBytes       
[  4]  19.00-20.00  sec   127 KBytes  1.04 Mbits/sec    0    444 KBytes       
[  4]  20.00-21.00  sec   445 KBytes  3.64 Mbits/sec    0    464 KBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec   45    324 KBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0    324 KBytes       
[  4]  23.00-24.00  sec   764 KBytes  6.25 Mbits/sec    0    345 KBytes       
[  4]  24.00-25.01  sec   318 KBytes  2.60 Mbits/sec    0    370 KBytes       
[  4]  25.01-26.00  sec  0.00 Bytes  0.00 bits/sec   16    264 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    2    260 KBytes       
[  4]  27.00-28.00  sec   573 KBytes  4.69 Mbits/sec    0    262 KBytes       
[  4]  28.00-29.00  sec   382 KBytes  3.13 Mbits/sec    0    286 KBytes       
[  4]  29.00-30.00  sec   255 KBytes  2.09 Mbits/sec    0    303 KBytes       
[  4]  30.00-31.01  sec   255 KBytes  2.08 Mbits/sec    0    310 KBytes       
[  4]  31.01-32.00  sec   255 KBytes  2.09 Mbits/sec    0    313 KBytes       
[  4]  32.00-33.00  sec   127 KBytes  1.04 Mbits/sec    0    314 KBytes       
[  4]  33.00-34.00  sec  63.6 KBytes   521 Kbits/sec   12    247 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec   10    221 KBytes       
[  4]  35.00-36.00  sec   573 KBytes  4.69 Mbits/sec    0    230 KBytes       
[  4]  36.00-37.00  sec  63.6 KBytes   521 Kbits/sec    0    243 KBytes       
[  4]  37.00-38.00  sec   255 KBytes  2.09 Mbits/sec    0    276 KBytes       
[  4]  38.00-39.00  sec   191 KBytes  1.56 Mbits/sec   18    252 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    1    204 KBytes       
[  4]  40.00-41.00  sec   445 KBytes  3.65 Mbits/sec    0    219 KBytes       
[  4]  41.00-42.00  sec   127 KBytes  1.04 Mbits/sec    0    226 KBytes       
[  4]  42.00-43.00  sec   191 KBytes  1.56 Mbits/sec    0    239 KBytes       
[  4]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec   38    168 KBytes       
[  4]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec    2    168 KBytes       
[  4]  45.00-46.00  sec   318 KBytes  2.61 Mbits/sec    0    171 KBytes       
[  4]  46.00-47.00  sec   191 KBytes  1.56 Mbits/sec    0    188 KBytes       
[  4]  47.00-48.00  sec   191 KBytes  1.56 Mbits/sec    3    191 KBytes       
[  4]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec    0    181 KBytes       
[  4]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec   28    137 KBytes       
[  4]  50.00-51.00  sec   255 KBytes  2.09 Mbits/sec    0    134 KBytes       
[  4]  51.00-52.00  sec   191 KBytes  1.56 Mbits/sec    0   94.7 KBytes       
[  4]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec    0   97.6 KBytes       
[  4]  53.00-54.00  sec   127 KBytes  1.04 Mbits/sec    0    109 KBytes       
[  4]  54.00-55.00  sec  63.6 KBytes   521 Kbits/sec    5    100 KBytes       
[  4]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec   15   79.2 KBytes       
[  4]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec    2   79.2 KBytes       
[  4]  57.00-58.00  sec   191 KBytes  1.56 Mbits/sec    0   80.6 KBytes       
[  4]  58.00-59.00  sec  63.6 KBytes   523 Kbits/sec    0   90.5 KBytes       
[  4]  59.00-60.00  sec   127 KBytes  1.04 Mbits/sec    0   93.3 KBytes       
[  4]  60.00-61.00  sec  63.6 KBytes   521 Kbits/sec    0   94.7 KBytes       
[  4]  61.00-62.00  sec  63.6 KBytes   521 Kbits/sec    0   99.0 KBytes       
[  4]  62.00-63.00  sec  63.6 KBytes   521 Kbits/sec    0    102 KBytes       
[  4]  63.00-64.00  sec  63.6 KBytes   521 Kbits/sec    0    115 KBytes       
[  4]  64.00-65.00  sec  0.00 Bytes  0.00 bits/sec   13   84.8 KBytes       
[  4]  65.00-66.00  sec  63.6 KBytes   521 Kbits/sec    3   84.8 KBytes       
[  4]  66.00-67.00  sec  63.6 KBytes   521 Kbits/sec    0   84.8 KBytes       
[  4]  67.00-68.00  sec   127 KBytes  1.04 Mbits/sec    0   99.0 KBytes       
[  4]  68.00-69.00  sec   127 KBytes  1.04 Mbits/sec    0    110 KBytes       
[  4]  69.00-70.00  sec  63.6 KBytes   521 Kbits/sec    0    117 KBytes       
[  4]  70.00-71.00  sec   127 KBytes  1.04 Mbits/sec    0    120 KBytes       
[  4]  71.00-72.00  sec  0.00 Bytes  0.00 bits/sec    0    120 KBytes       
[  4]  72.00-73.00  sec  0.00 Bytes  0.00 bits/sec    6   87.7 KBytes       
[  4]  73.00-74.00  sec   191 KBytes  1.56 Mbits/sec    0   93.3 KBytes       
[  4]  74.00-75.00  sec   127 KBytes  1.04 Mbits/sec    0    109 KBytes       
[  4]  75.00-76.00  sec  63.6 KBytes   522 Kbits/sec    0    116 KBytes       
[  4]  76.00-77.00  sec   127 KBytes  1.04 Mbits/sec    0    119 KBytes       
[  4]  77.00-78.00  sec  63.6 KBytes   522 Kbits/sec    0    120 KBytes       
[  4]  78.00-79.00  sec  63.6 KBytes   521 Kbits/sec    0    123 KBytes       
[  4]  79.00-80.00  sec   127 KBytes  1.04 Mbits/sec    0    132 KBytes       
[  4]  80.00-81.00  sec  63.6 KBytes   521 Kbits/sec    0    144 KBytes       
[  4]  81.00-82.00  sec  63.6 KBytes   522 Kbits/sec    0    160 KBytes       
[  4]  82.00-83.00  sec  0.00 Bytes  0.00 bits/sec   25    117 KBytes       
[  4]  83.00-84.00  sec  63.6 KBytes   521 Kbits/sec    0    117 KBytes       
[  4]  84.00-85.00  sec   191 KBytes  1.56 Mbits/sec    0    132 KBytes       
[  4]  85.00-86.00  sec   127 KBytes  1.04 Mbits/sec    0    147 KBytes       
[  4]  86.00-87.00  sec  63.6 KBytes   521 Kbits/sec    0    157 KBytes       
[  4]  87.00-88.00  sec  63.6 KBytes   521 Kbits/sec   13    129 KBytes       
[  4]  88.00-89.00  sec  0.00 Bytes  0.00 bits/sec    5    112 KBytes       
