Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   540 KBytes  4.42 Mbits/sec    5   46.7 KBytes       
[  4]   1.00-2.00   sec   191 KBytes  1.56 Mbits/sec    0   53.7 KBytes       
[  4]   2.00-3.00   sec   127 KBytes  1.04 Mbits/sec    0   60.8 KBytes       
[  4]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   66.5 KBytes       
[  4]   4.00-5.00   sec   127 KBytes  1.04 Mbits/sec    0   79.2 KBytes       
[  4]   5.00-6.00   sec   191 KBytes  1.56 Mbits/sec    0    100 KBytes       
[  4]   6.00-7.00   sec   318 KBytes  2.61 Mbits/sec    0    140 KBytes       
[  4]   7.00-8.00   sec   255 KBytes  2.08 Mbits/sec    0    174 KBytes       
[  4]   8.00-9.00   sec   255 KBytes  2.09 Mbits/sec    0    212 KBytes       
[  4]   9.00-10.00  sec   445 KBytes  3.65 Mbits/sec    0    267 KBytes       
[  4]  10.00-11.00  sec   382 KBytes  3.13 Mbits/sec    0    322 KBytes       
[  4]  11.00-12.00  sec   573 KBytes  4.68 Mbits/sec    0    400 KBytes       
[  4]  12.00-13.00  sec   509 KBytes  4.18 Mbits/sec    0    468 KBytes       
[  4]  13.00-14.00  sec   445 KBytes  3.65 Mbits/sec    0    526 KBytes       
[  4]  14.00-15.01  sec   573 KBytes  4.66 Mbits/sec    0    602 KBytes       
[  4]  15.01-16.00  sec   700 KBytes  5.76 Mbits/sec    0    696 KBytes       
[  4]  16.00-17.00  sec   700 KBytes  5.75 Mbits/sec   27    725 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec   57    607 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec   90    550 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec   38    550 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    3    515 KBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec   58    486 KBytes       
[  4]  22.00-23.00  sec  63.6 KBytes   522 Kbits/sec   15    486 KBytes       
[  4]  23.00-24.00  sec  63.6 KBytes   521 Kbits/sec    5    474 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0    448 KBytes       
[  4]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  26.00-27.00  sec  63.6 KBytes   522 Kbits/sec    0   1.41 KBytes       
[  4]  27.00-28.00  sec  63.6 KBytes   521 Kbits/sec   45   77.8 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0   77.8 KBytes       
[  4]  29.00-30.00  sec  1.18 MBytes  9.90 Mbits/sec    0    218 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0    786 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0    786 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec   37    687 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    0    687 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec   45    550 KBytes       
[  4]  35.00-36.00  sec   318 KBytes  2.61 Mbits/sec    5    550 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0    561 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    0    550 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec   22   31.1 KBytes       
[  4]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec    0   31.1 KBytes       
[  4]  42.00-43.00  sec   827 KBytes  6.77 Mbits/sec  112    567 KBytes       
[  4]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    0    567 KBytes       
[  4]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec    0    567 KBytes       
[  4]  45.00-46.00  sec   700 KBytes  5.73 Mbits/sec    0    550 KBytes       
[  4]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec    0    550 KBytes       
[  4]  47.00-48.00  sec  0.00 Bytes  0.00 bits/sec    0    786 KBytes       
[  4]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec   34    680 KBytes       
[  4]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec   66    568 KBytes       
[  4]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec   22    550 KBytes       
[  4]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec    0    550 KBytes       
[  4]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec   51    550 KBytes       
[  4]  53.00-54.00  sec  0.00 Bytes  0.00 bits/sec    6   1.41 KBytes       
[  4]  54.00-55.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4]  55.00-55.54  sec  1.25 MBytes  19.5 Mbits/sec   94    583 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-55.54  sec  10.8 MBytes  1.63 Mbits/sec  839             sender
[  4]   0.00-55.54  sec  7.61 MBytes  1.15 Mbits/sec                  receiver

iperf Done.
