-----------------------------------------------------------
Server listening on 5206
-----------------------------------------------------------
Accepted connection from 10.0.0.1, port 40406
[  5] local 10.0.0.2 port 5206 connected to 10.0.0.1 port 46120
[ ID] Interval           Transfer     Bandwidth
[  5]   0.00-1.00   sec  14.1 KBytes   116 Kbits/sec                  
[  5]   1.00-2.00   sec  70.7 KBytes   579 Kbits/sec                  
[  5]   2.00-3.00   sec  43.8 KBytes   359 Kbits/sec                  
[  5]   3.00-4.00   sec  46.7 KBytes   382 Kbits/sec                  
[  5]   4.00-5.00   sec  50.9 KBytes   416 Kbits/sec                  
[  5]   5.00-6.00   sec  0.00 Bytes  0.00 bits/sec                  
[  5]   6.00-7.00   sec  66.5 KBytes   545 Kbits/sec                  
[  5]   7.00-8.00   sec   100 KBytes   823 Kbits/sec                  
[  5]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec                  
[  5]   9.00-10.00  sec   124 KBytes  1.02 Mbits/sec                  
[  5]  10.00-11.01  sec  22.6 KBytes   184 Kbits/sec                  
[  5]  11.01-12.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  12.00-13.00  sec   206 KBytes  1.69 Mbits/sec                  
[  5]  13.00-14.00  sec  8.48 KBytes  69.5 Kbits/sec                  
[  5]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  15.00-16.00  sec   247 KBytes  2.03 Mbits/sec                  
[  5]  16.00-17.00  sec   228 KBytes  1.86 Mbits/sec                  
[  5]  17.00-18.00  sec  1.79 KBytes  14.7 Kbits/sec                  
[  5]  18.00-19.00  sec  2.83 KBytes  23.2 Kbits/sec                  
[  5]  19.00-20.00  sec  90.1 KBytes   736 Kbits/sec                  
[  5]  20.00-21.00  sec  22.6 KBytes   186 Kbits/sec                  
[  5]  21.00-22.00  sec   605 KBytes  4.96 Mbits/sec                  
[  5]  22.00-23.00  sec  4.24 KBytes  34.8 Kbits/sec                  
[  5]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  25.00-26.00  sec   188 KBytes  1.54 Mbits/sec                  
[  5]  26.00-27.00  sec   103 KBytes   846 Kbits/sec                  
[  5]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  28.00-29.00  sec  9.90 KBytes  81.1 Kbits/sec                  
[  5]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  31.00-32.00  sec  2.83 KBytes  23.2 Kbits/sec                  
[  5]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  33.00-34.00  sec  36.8 KBytes   302 Kbits/sec                  
[  5]  34.00-35.00  sec  1.16 MBytes  9.77 Mbits/sec                  
[  5]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  40.00-41.00  sec  5.66 KBytes  46.4 Kbits/sec                  
[  5]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  42.00-43.00  sec  49.5 KBytes   406 Kbits/sec                  
[  5]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  44.00-45.00  sec   348 KBytes  2.85 Mbits/sec                  
[  5]  45.00-46.00  sec   291 KBytes  2.39 Mbits/sec                  
[  5]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  47.00-48.00  sec   290 KBytes  2.38 Mbits/sec                  
[  5]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  49.00-50.00  sec   304 KBytes  2.49 Mbits/sec                  
[  5]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  51.00-52.00  sec  19.8 KBytes   162 Kbits/sec                  
[  5]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  53.00-54.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  54.00-55.00  sec  4.24 KBytes  34.8 Kbits/sec                  
[  5]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  59.00-60.00  sec  50.9 KBytes   418 Kbits/sec                  
[  5]  60.00-61.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  61.00-62.00  sec   952 KBytes  7.83 Mbits/sec                  
[  5]  62.00-63.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  63.00-64.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  64.00-65.00  sec  26.9 KBytes   220 Kbits/sec                  
[  5]  65.00-66.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  66.00-67.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  67.00-68.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  68.00-69.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  69.00-70.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  70.00-71.00  sec  36.8 KBytes   302 Kbits/sec                  
[  5]  71.00-72.00  sec   691 KBytes  5.66 Mbits/sec                  
[  5]  72.00-73.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  73.00-74.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  74.00-75.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  75.00-76.00  sec  0.00 Bytes  0.00 bits/sec                  
[  5]  76.00-77.00  sec  1.42 MBytes  11.9 Mbits/sec                  
[  5]  77.00-78.00  sec   641 KBytes  5.24 Mbits/sec                  
[  5]  78.00-79.00  sec   598 KBytes  4.90 Mbits/sec                  
[  5]  79.00-79.12  sec  55.1 KBytes  3.76 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth
[  5]   0.00-79.12  sec  0.00 Bytes  0.00 bits/sec                  sender
[  5]   0.00-79.12  sec  9.09 MBytes   963 Kbits/sec                  receiver
