Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.23 MBytes  10.3 Mbits/sec    0   56.6 KBytes       
[  4]   1.00-2.00   sec  1.12 MBytes  9.38 Mbits/sec    0    100 KBytes       
[  4]   2.00-3.00   sec  1.06 MBytes  8.86 Mbits/sec    0    143 KBytes       
[  4]   3.00-4.00   sec  1.06 MBytes  8.86 Mbits/sec    0    187 KBytes       
[  4]   4.00-5.00   sec  1.06 MBytes  8.86 Mbits/sec    0    229 KBytes       
[  4]   5.00-6.00   sec  1.12 MBytes  9.38 Mbits/sec    0    273 KBytes       
[  4]   6.00-7.00   sec  1018 KBytes  8.34 Mbits/sec    0    314 KBytes       
[  4]   7.00-8.00   sec  1018 KBytes  8.34 Mbits/sec    0    354 KBytes       
[  4]   8.00-9.00   sec   891 KBytes  7.29 Mbits/sec    0    392 KBytes       
[  4]   9.00-10.00  sec  1.18 MBytes  9.92 Mbits/sec    0    491 KBytes       
[  4]  10.00-11.00  sec  1.43 MBytes  12.0 Mbits/sec    0    641 KBytes       
[  4]  11.00-12.00  sec  1.25 MBytes  10.5 Mbits/sec    0    803 KBytes       
[  4]  12.00-13.00  sec  1.25 MBytes  10.5 Mbits/sec    0    976 KBytes       
[  4]  13.00-14.00  sec   558 KBytes  4.57 Mbits/sec   99    723 KBytes       
[  4]  14.00-15.00  sec   255 KBytes  2.08 Mbits/sec   75    703 KBytes       
[  4]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0    706 KBytes       
[  4]  16.00-17.00  sec   756 KBytes  6.19 Mbits/sec    0    742 KBytes       
[  4]  17.00-18.00  sec   700 KBytes  5.73 Mbits/sec    2    814 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec   32    626 KBytes       
[  4]  19.00-20.00  sec   445 KBytes  3.65 Mbits/sec   23    570 KBytes       
[  4]  20.00-21.00  sec  1.25 MBytes  10.5 Mbits/sec    0    584 KBytes       
[  4]  21.00-22.00  sec   756 KBytes  6.19 Mbits/sec    0    636 KBytes       
[  4]  22.00-23.00  sec   573 KBytes  4.69 Mbits/sec    0    690 KBytes       
[  4]  23.00-24.00  sec   573 KBytes  4.69 Mbits/sec    0    734 KBytes       
[  4]  24.00-25.00  sec   509 KBytes  4.17 Mbits/sec    0    764 KBytes       
[  4]  25.00-26.00  sec   573 KBytes  4.69 Mbits/sec    0    786 KBytes       
[  4]  26.00-27.00  sec   382 KBytes  3.13 Mbits/sec    1    727 KBytes       
[  4]  27.00-28.00  sec   127 KBytes  1.04 Mbits/sec    7    557 KBytes       
[  4]  28.00-29.00  sec  1.25 MBytes  10.5 Mbits/sec    0    561 KBytes       
[  4]  29.00-30.00  sec   884 KBytes  7.24 Mbits/sec    0    592 KBytes       
[  4]  30.00-31.00  sec   636 KBytes  5.21 Mbits/sec    0    625 KBytes       
[  4]  31.00-32.00  sec   636 KBytes  5.21 Mbits/sec    0    649 KBytes       
[  4]  32.00-33.00  sec   636 KBytes  5.21 Mbits/sec    0    665 KBytes       
[  4]  33.00-34.00  sec   573 KBytes  4.69 Mbits/sec    0    672 KBytes       
[  4]  34.00-35.00  sec   636 KBytes  5.21 Mbits/sec    0    676 KBytes       
[  4]  35.00-36.00  sec   636 KBytes  5.22 Mbits/sec    0    677 KBytes       
[  4]  36.00-37.00  sec   636 KBytes  5.21 Mbits/sec    0    680 KBytes       
[  4]  37.00-38.00  sec   700 KBytes  5.74 Mbits/sec    0    689 KBytes       
[  4]  38.00-39.00  sec   636 KBytes  5.21 Mbits/sec    0    707 KBytes       
[  4]  39.00-40.00  sec   573 KBytes  4.70 Mbits/sec    0    735 KBytes       
[  4]  40.00-41.00  sec   573 KBytes  4.69 Mbits/sec    0    775 KBytes       
[  4]  41.00-42.00  sec   445 KBytes  3.65 Mbits/sec    4    799 KBytes       
[  4]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec   24    573 KBytes       
[  4]  43.00-44.00  sec   700 KBytes  5.73 Mbits/sec    4    571 KBytes       
[  4]  44.00-45.00  sec  1.25 MBytes  10.5 Mbits/sec    0    601 KBytes       
[  4]  45.00-46.00  sec   693 KBytes  5.67 Mbits/sec    0    656 KBytes       
[  4]  46.00-47.00  sec   573 KBytes  4.70 Mbits/sec    0    708 KBytes       
[  4]  47.00-48.00  sec   509 KBytes  4.17 Mbits/sec    0    747 KBytes       
[  4]  48.00-49.00  sec   700 KBytes  5.74 Mbits/sec    0    779 KBytes       
[  4]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec    8    578 KBytes       
[  4]  50.00-51.00  sec   636 KBytes  5.21 Mbits/sec    2    546 KBytes       
[  4]  51.00-52.00  sec  1.25 MBytes  10.5 Mbits/sec    0    567 KBytes       
[  4]  52.00-53.00  sec   629 KBytes  5.16 Mbits/sec    0    597 KBytes       
[  4]  53.00-54.00  sec   445 KBytes  3.65 Mbits/sec    0    781 KBytes       
[  4]  54.00-55.00  sec   445 KBytes  3.65 Mbits/sec    0    781 KBytes       
[  4]  55.00-56.00  sec   509 KBytes  4.17 Mbits/sec    0    781 KBytes       
[  4]  56.00-57.00  sec   700 KBytes  5.73 Mbits/sec    0    781 KBytes       
[  4]  57.00-58.00  sec   700 KBytes  5.74 Mbits/sec    0    781 KBytes       
[  4]  58.00-59.00  sec   636 KBytes  5.21 Mbits/sec    0    781 KBytes       
[  4]  59.00-60.00  sec   573 KBytes  4.69 Mbits/sec    0    781 KBytes       
[  4]  60.00-61.00  sec   700 KBytes  5.73 Mbits/sec    0    781 KBytes       
[  4]  61.00-62.00  sec   636 KBytes  5.22 Mbits/sec    0    781 KBytes       
[  4]  62.00-63.00  sec   700 KBytes  5.73 Mbits/sec    0    782 KBytes       
[  4]  63.00-64.00  sec   636 KBytes  5.19 Mbits/sec    0    810 KBytes       
[  4]  64.00-65.00  sec   573 KBytes  4.71 Mbits/sec    0    863 KBytes       
[  4]  65.00-66.00  sec   573 KBytes  4.69 Mbits/sec    0    943 KBytes       
[  4]  66.00-67.00  sec   954 KBytes  7.81 Mbits/sec    0   1.03 MBytes       
[  4]  67.00-68.00  sec  1.18 MBytes  9.91 Mbits/sec    0   1.15 MBytes       
[  4]  68.00-69.00  sec  1.18 MBytes  9.90 Mbits/sec   25   1.21 MBytes       
[  4]  69.00-69.00  sec  0.00 Bytes  0.00 bits/sec    0   1.21 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-69.00  sec  50.2 MBytes  6.10 Mbits/sec  306             sender
[  4]   0.00-69.00  sec  43.4 MBytes  5.27 Mbits/sec                  receiver

iperf Done.
