Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.14 MBytes  9.55 Mbits/sec    0   65.0 KBytes       
[  4]   1.00-2.02   sec   573 KBytes  4.62 Mbits/sec    0   86.3 KBytes       
[  4]   2.02-3.00   sec   509 KBytes  4.23 Mbits/sec    0    106 KBytes       
[  4]   3.00-4.00   sec   445 KBytes  3.66 Mbits/sec    8    123 KBytes       
[  4]   4.00-5.01   sec   255 KBytes  2.07 Mbits/sec    0    123 KBytes       
[  4]   5.01-6.00   sec   318 KBytes  2.62 Mbits/sec    0    126 KBytes       
[  4]   6.00-7.00   sec   255 KBytes  2.08 Mbits/sec    0    133 KBytes       
[  4]   7.00-8.00   sec   382 KBytes  3.12 Mbits/sec    0    150 KBytes       
[  4]   8.00-9.00   sec   255 KBytes  2.09 Mbits/sec    0    165 KBytes       
[  4]   9.00-10.00  sec   318 KBytes  2.60 Mbits/sec    0    194 KBytes       
[  4]  10.00-11.00  sec   382 KBytes  3.12 Mbits/sec    0    236 KBytes       
[  4]  11.00-12.00  sec   573 KBytes  4.70 Mbits/sec    1    296 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   54    211 KBytes       
[  4]  13.00-14.00  sec   445 KBytes  3.65 Mbits/sec    0    211 KBytes       
[  4]  14.00-15.00  sec   127 KBytes  1.04 Mbits/sec    0    215 KBytes       
[  4]  15.00-16.00  sec  63.6 KBytes   521 Kbits/sec    0    221 KBytes       
[  4]  16.00-17.00  sec   191 KBytes  1.56 Mbits/sec    0    247 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec   20    174 KBytes       
[  4]  18.00-19.00  sec   382 KBytes  3.13 Mbits/sec    0    175 KBytes       
[  4]  19.00-20.00  sec   255 KBytes  2.09 Mbits/sec    0    188 KBytes       
[  4]  20.00-21.00  sec   191 KBytes  1.56 Mbits/sec    0    199 KBytes       
[  4]  21.00-22.00  sec   191 KBytes  1.56 Mbits/sec    0    206 KBytes       
[  4]  22.00-23.00  sec   191 KBytes  1.56 Mbits/sec    0    209 KBytes       
[  4]  23.00-24.00  sec   191 KBytes  1.56 Mbits/sec    0    211 KBytes       
[  4]  24.00-25.00  sec   191 KBytes  1.56 Mbits/sec    0    215 KBytes       
[  4]  25.00-26.00  sec   127 KBytes  1.04 Mbits/sec    0    221 KBytes       
[  4]  26.00-27.00  sec   127 KBytes  1.04 Mbits/sec    0    229 KBytes       
[  4]  27.00-28.00  sec   191 KBytes  1.57 Mbits/sec    0    256 KBytes       
[  4]  28.00-29.00  sec   255 KBytes  2.08 Mbits/sec    0    300 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec   44    211 KBytes       
[  4]  30.00-31.00  sec   191 KBytes  1.56 Mbits/sec    3    211 KBytes       
[  4]  31.00-32.00  sec   445 KBytes  3.65 Mbits/sec    0    218 KBytes       
[  4]  32.00-33.00  sec   127 KBytes  1.04 Mbits/sec    0    230 KBytes       
[  4]  33.00-34.00  sec   127 KBytes  1.04 Mbits/sec    0    249 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec   20    174 KBytes       
[  4]  35.00-36.00  sec   191 KBytes  1.56 Mbits/sec    2    174 KBytes       
[  4]  36.00-37.00  sec   382 KBytes  3.13 Mbits/sec    0    180 KBytes       
[  4]  37.00-38.00  sec   191 KBytes  1.56 Mbits/sec    0    194 KBytes       
[  4]  38.00-39.00  sec   191 KBytes  1.56 Mbits/sec    0    204 KBytes       
[  4]  39.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0    204 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-39.00  sec  10.2 MBytes  2.18 Mbits/sec  152             sender
[  4]   0.00-39.00  sec  8.67 MBytes  1.87 Mbits/sec                  receiver

iperf Done.
