Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.01   sec  1.10 MBytes  9.21 Mbits/sec    0   69.3 KBytes       
[  4]   1.01-2.00   sec   700 KBytes  5.76 Mbits/sec    0   96.2 KBytes       
[  4]   2.00-3.00   sec   509 KBytes  4.16 Mbits/sec    0    116 KBytes       
[  4]   3.00-4.01   sec   445 KBytes  3.62 Mbits/sec    0    133 KBytes       
[  4]   4.01-5.01   sec   445 KBytes  3.66 Mbits/sec    0    150 KBytes       
[  4]   5.01-6.00   sec   382 KBytes  3.16 Mbits/sec    0    165 KBytes       
[  4]   6.00-7.00   sec   509 KBytes  4.17 Mbits/sec    0    198 KBytes       
[  4]   7.00-8.00   sec   636 KBytes  5.21 Mbits/sec    0    259 KBytes       
[  4]   8.00-9.00   sec   636 KBytes  5.21 Mbits/sec    0    339 KBytes       
[  4]   9.00-10.00  sec   954 KBytes  7.83 Mbits/sec    0    451 KBytes       
[  4]  10.00-11.00  sec  1.06 MBytes  8.85 Mbits/sec    0    581 KBytes       
[  4]  11.00-12.00  sec   382 KBytes  3.13 Mbits/sec   54    496 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   73    448 KBytes       
[  4]  13.00-14.00  sec   509 KBytes  4.17 Mbits/sec    0    448 KBytes       
[  4]  14.00-15.00  sec   509 KBytes  4.17 Mbits/sec    2    389 KBytes       
[  4]  15.00-16.00  sec   382 KBytes  3.13 Mbits/sec    6    317 KBytes       
[  4]  16.00-17.00  sec   445 KBytes  3.65 Mbits/sec    0    318 KBytes       
[  4]  17.00-18.00  sec   382 KBytes  3.13 Mbits/sec    2    322 KBytes       
[  4]  18.00-19.00  sec   255 KBytes  2.08 Mbits/sec    5    332 KBytes       
[  4]  19.00-20.00  sec   318 KBytes  2.61 Mbits/sec    0    332 KBytes       
[  4]  20.00-21.00  sec   318 KBytes  2.61 Mbits/sec    0    334 KBytes       
[  4]  21.00-22.00  sec   255 KBytes  2.08 Mbits/sec    0    338 KBytes       
[  4]  22.00-23.00  sec   318 KBytes  2.61 Mbits/sec    0    349 KBytes       
[  4]  23.00-24.00  sec   191 KBytes  1.56 Mbits/sec    0    365 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    9    276 KBytes       
[  4]  25.00-26.00  sec   191 KBytes  1.57 Mbits/sec    2    255 KBytes       
[  4]  26.00-27.00  sec   573 KBytes  4.69 Mbits/sec    0    266 KBytes       
[  4]  27.00-28.00  sec   318 KBytes  2.61 Mbits/sec    0    294 KBytes       
[  4]  28.00-29.00  sec   191 KBytes  1.56 Mbits/sec    0    318 KBytes       
[  4]  29.00-30.00  sec   318 KBytes  2.61 Mbits/sec    0    341 KBytes       
[  4]  30.00-31.00  sec   191 KBytes  1.56 Mbits/sec    0    352 KBytes       
[  4]  31.00-32.00  sec  63.6 KBytes   521 Kbits/sec    5    310 KBytes       
