Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   423 KBytes  3.46 Mbits/sec    0   25.5 KBytes       
[  4]   1.00-2.00   sec   255 KBytes  2.08 Mbits/sec    0   36.8 KBytes       
[  4]   2.00-3.00   sec   318 KBytes  2.61 Mbits/sec    0   48.1 KBytes       
[  4]   3.00-4.00   sec   382 KBytes  3.13 Mbits/sec    0   62.2 KBytes       
[  4]   4.00-5.00   sec   382 KBytes  3.13 Mbits/sec    0   77.8 KBytes       
[  4]   5.00-6.00   sec   636 KBytes  5.21 Mbits/sec    0    120 KBytes       
[  4]   6.00-7.00   sec   827 KBytes  6.78 Mbits/sec    0    181 KBytes       
[  4]   7.00-8.00   sec  1018 KBytes  8.34 Mbits/sec    0    263 KBytes       
[  4]   8.00-9.00   sec  1.12 MBytes  9.38 Mbits/sec    0    365 KBytes       
[  4]   9.00-10.00  sec  1.37 MBytes  11.5 Mbits/sec    0    489 KBytes       
[  4]  10.00-11.00  sec  1.43 MBytes  12.0 Mbits/sec    0    632 KBytes       
[  4]  11.00-12.00  sec  1.25 MBytes  10.5 Mbits/sec    0    795 KBytes       
[  4]  12.00-13.00  sec  1.25 MBytes  10.5 Mbits/sec    0    979 KBytes       
[  4]  13.00-14.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.20 MBytes       
[  4]  14.00-15.00  sec   798 KBytes  6.53 Mbits/sec  100   1.02 MBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec  134    921 KBytes       
[  4]  16.00-17.00  sec  1.12 MBytes  9.37 Mbits/sec    0    921 KBytes       
[  4]  17.00-18.00  sec  1.25 MBytes  10.5 Mbits/sec    0    956 KBytes       
[  4]  18.00-19.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.03 MBytes       
[  4]  19.00-20.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.11 MBytes       
[  4]  20.00-21.00  sec  1.16 MBytes  9.72 Mbits/sec    0   1.17 MBytes       
[  4]  21.00-22.00  sec  1.12 MBytes  9.39 Mbits/sec    0   1.21 MBytes       
[  4]  22.00-23.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.25 MBytes       
[  4]  23.00-24.00  sec  1.06 MBytes  8.87 Mbits/sec    0   1.26 MBytes       
[  4]  24.00-25.00  sec  1.18 MBytes  9.91 Mbits/sec    0   1.28 MBytes       
[  4]  25.00-26.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.28 MBytes       
[  4]  26.00-27.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.28 MBytes       
[  4]  27.00-28.00  sec  1.18 MBytes  9.92 Mbits/sec    0   1.29 MBytes       
[  4]  28.00-29.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.29 MBytes       
[  4]  29.00-30.00  sec  1.24 MBytes  10.4 Mbits/sec    0   1.30 MBytes       
[  4]  30.00-31.00  sec  1.24 MBytes  10.4 Mbits/sec    0   1.33 MBytes       
[  4]  31.00-32.00  sec  1.12 MBytes  9.39 Mbits/sec    1   1.33 MBytes       
[  4]  32.00-33.00  sec  1.18 MBytes  9.90 Mbits/sec    0   1.34 MBytes       
[  4]  33.00-34.00  sec  1.06 MBytes  8.87 Mbits/sec    0   1.34 MBytes       
[  4]  34.00-35.00  sec  1.18 MBytes  9.90 Mbits/sec    0   1.35 MBytes       
[  4]  35.00-36.00  sec  1.24 MBytes  10.4 Mbits/sec    0   1.37 MBytes       
[  4]  36.00-37.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.40 MBytes       
[  4]  37.00-38.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.44 MBytes       
[  4]  38.00-39.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.50 MBytes       
[  4]  39.00-40.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.58 MBytes       
[  4]  40.00-41.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.69 MBytes       
[  4]  41.00-42.00  sec   981 KBytes  8.05 Mbits/sec   68   1.26 MBytes       
[  4]  42.00-43.00  sec   954 KBytes  7.82 Mbits/sec   33   1.18 MBytes       
[  4]  43.00-44.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.20 MBytes       
[  4]  44.00-45.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.29 MBytes       
[  4]  45.00-46.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.38 MBytes       
[  4]  46.00-47.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.47 MBytes       
[  4]  47.00-48.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  4]  48.00-49.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.59 MBytes       
[  4]  49.00-50.00  sec  1.25 MBytes  10.5 Mbits/sec   16   1.13 MBytes       
[  4]  50.00-51.00  sec   521 KBytes  4.27 Mbits/sec   17   1.13 MBytes       
[  4]  51.00-52.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.14 MBytes       
[  4]  52.00-53.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.19 MBytes       
[  4]  53.00-54.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.24 MBytes       
[  4]  54.00-55.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.29 MBytes       
[  4]  55.00-56.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.32 MBytes       
[  4]  56.00-57.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.35 MBytes       
[  4]  57.00-58.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.36 MBytes       
[  4]  58.00-59.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.36 MBytes       
[  4]  59.00-60.00  sec  1.25 MBytes  10.5 Mbits/sec    2   1.37 MBytes       
[  4]  60.00-61.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.37 MBytes       
[  4]  61.00-62.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.37 MBytes       
[  4]  62.00-63.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.38 MBytes       
[  4]  63.00-64.00  sec   994 KBytes  8.13 Mbits/sec    0   1.39 MBytes       
[  4]  64.00-65.00  sec  1.06 MBytes  8.85 Mbits/sec    0   1.42 MBytes       
[  4]  65.00-66.00  sec  1.06 MBytes  8.88 Mbits/sec    0   1.46 MBytes       
[  4]  66.00-67.00  sec  1.06 MBytes  8.86 Mbits/sec    0   1.51 MBytes       
[  4]  67.00-68.00  sec  1018 KBytes  8.34 Mbits/sec    0   1.58 MBytes       
[  4]  68.00-69.00  sec  1018 KBytes  8.34 Mbits/sec    0   1.68 MBytes       
[  4]  69.00-70.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.80 MBytes       
[  4]  70.00-71.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.94 MBytes       
[  4]  71.00-72.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.12 MBytes       
[  4]  72.00-73.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.32 MBytes       
[  4]  73.00-74.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.54 MBytes       
[  4]  74.00-75.00  sec  1.25 MBytes  10.5 Mbits/sec  131   2.10 MBytes       
[  4]  75.00-76.00  sec  1.19 MBytes  10.0 Mbits/sec  166   1.80 MBytes       
[  4]  76.00-77.00  sec   255 KBytes  2.09 Mbits/sec   28   1.80 MBytes       
[  4]  77.00-78.00  sec   318 KBytes  2.61 Mbits/sec    0   1.80 MBytes       
[  4]  78.00-79.00  sec   636 KBytes  5.22 Mbits/sec    1   1.41 KBytes       
[  4]  79.00-80.00  sec   509 KBytes  4.17 Mbits/sec    8   11.3 KBytes       
[  4]  80.00-81.00  sec  63.6 KBytes   521 Kbits/sec    1   49.5 KBytes       
[  4]  81.00-82.00  sec  0.00 Bytes  0.00 bits/sec    0   49.5 KBytes       
[  4]  82.00-83.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.02 MBytes       
[  4]  83.00-84.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.04 MBytes       
[  4]  84.00-85.00  sec  1.25 MBytes  10.5 Mbits/sec  943   1.35 MBytes       
[  4]  85.00-86.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.35 MBytes       
[  4]  86.00-87.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.46 MBytes       
[  4]  87.00-88.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.54 MBytes       
[  4]  88.00-89.00  sec  1.07 MBytes  8.96 Mbits/sec  128   1.30 MBytes       
[  4]  89.00-90.00  sec  0.00 Bytes  0.00 bits/sec  140   1.09 MBytes       
[  4]  90.00-91.00  sec   382 KBytes  3.13 Mbits/sec   45   1.09 MBytes       
[  4]  91.00-92.00  sec   827 KBytes  6.77 Mbits/sec   11   1.09 MBytes       
[  4]  92.00-93.00  sec  0.00 Bytes  0.00 bits/sec   25   1.09 MBytes       
[  4]  93.00-94.00  sec  0.00 Bytes  0.00 bits/sec    3   1.09 MBytes       
