Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.36 MBytes  11.4 Mbits/sec    0    158 KBytes       
[  4]   1.00-2.01   sec   764 KBytes  6.19 Mbits/sec    0    189 KBytes       
[  4]   2.01-3.00   sec   636 KBytes  5.27 Mbits/sec    0    215 KBytes       
[  4]   3.00-4.00   sec   827 KBytes  6.77 Mbits/sec    0    246 KBytes       
[  4]   4.00-5.00   sec   636 KBytes  5.22 Mbits/sec    0    272 KBytes       
[  4]   5.00-6.00   sec   764 KBytes  6.26 Mbits/sec    0    300 KBytes       
[  4]   6.00-7.00   sec   764 KBytes  6.25 Mbits/sec    0    331 KBytes       
[  4]   7.00-8.00   sec   700 KBytes  5.73 Mbits/sec    0    361 KBytes       
[  4]   8.00-9.00   sec   827 KBytes  6.78 Mbits/sec    0    421 KBytes       
[  4]   9.00-10.00  sec  1018 KBytes  8.34 Mbits/sec    0    518 KBytes       
[  4]  10.00-11.00  sec  1018 KBytes  8.34 Mbits/sec    0    621 KBytes       
[  4]  11.00-12.00  sec  1.25 MBytes  10.5 Mbits/sec    0    810 KBytes       
[  4]  12.00-13.00  sec  1.25 MBytes  10.5 Mbits/sec    0    964 KBytes       
[  4]  13.00-14.00  sec  1.17 MBytes  9.78 Mbits/sec   64    872 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec  106    745 KBytes       
[  4]  15.00-16.00  sec   764 KBytes  6.25 Mbits/sec    0    745 KBytes       
[  4]  16.00-17.01  sec  1.18 MBytes  9.82 Mbits/sec    0    771 KBytes       
[  4]  17.01-18.00  sec   509 KBytes  4.20 Mbits/sec    0    822 KBytes       
[  4]  18.00-19.00  sec   636 KBytes  5.22 Mbits/sec   18    844 KBytes       
[  4]  19.00-20.00  sec   445 KBytes  3.65 Mbits/sec    0    892 KBytes       
[  4]  20.00-21.00  sec   573 KBytes  4.69 Mbits/sec    0    894 KBytes       
[  4]  21.00-22.00  sec   573 KBytes  4.69 Mbits/sec    0    898 KBytes       
[  4]  22.00-23.00  sec   573 KBytes  4.69 Mbits/sec    0    908 KBytes       
[  4]  23.00-24.00  sec   573 KBytes  4.69 Mbits/sec    0    928 KBytes       
[  4]  24.00-25.00  sec   445 KBytes  3.65 Mbits/sec    0    956 KBytes       
[  4]  25.00-26.00  sec   573 KBytes  4.69 Mbits/sec    0   1001 KBytes       
[  4]  26.00-27.00  sec   382 KBytes  3.13 Mbits/sec    0   1.02 MBytes       
[  4]  27.00-28.00  sec  1018 KBytes  8.34 Mbits/sec    0   1.11 MBytes       
[  4]  28.00-29.00  sec   827 KBytes  6.77 Mbits/sec    0   1.18 MBytes       
[  4]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.33 MBytes       
[  4]  30.00-31.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.45 MBytes       
[  4]  31.00-32.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.67 MBytes       
[  4]  32.00-33.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.84 MBytes       
[  4]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec   26   1.82 MBytes       
[  4]  34.00-35.00  sec   409 KBytes  3.35 Mbits/sec   18   1.59 MBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec   59   1.36 MBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec   56   1.36 MBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    2   1.36 MBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec   47   1.41 KBytes       
[  4]  39.00-40.00  sec   573 KBytes  4.69 Mbits/sec    0   1.41 KBytes       
[  4]  40.00-41.00  sec   382 KBytes  3.13 Mbits/sec   17   24.0 KBytes       
[  4]  41.00-42.00  sec  2.50 MBytes  21.0 Mbits/sec   21   1.53 MBytes       
[  4]  42.00-43.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.56 MBytes       
[  4]  43.00-44.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.59 MBytes       
[  4]  44.00-45.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.63 MBytes       
[  4]  45.00-46.00  sec  1.14 MBytes  9.58 Mbits/sec    0   1.68 MBytes       
[  4]  46.00-47.01  sec   255 KBytes  2.08 Mbits/sec   16   1.51 MBytes       
[  4]  47.01-48.00  sec  0.00 Bytes  0.00 bits/sec    0   1.35 MBytes       
[  4]  48.00-49.00  sec   573 KBytes  4.70 Mbits/sec  216   1.18 MBytes       
[  4]  49.00-50.00  sec   509 KBytes  4.17 Mbits/sec    0   1.18 MBytes       
[  4]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec   79   1.18 MBytes       
[  4]  51.00-52.00  sec   127 KBytes  1.04 Mbits/sec   19   1.18 MBytes       
[  4]  52.00-53.00  sec   509 KBytes  4.17 Mbits/sec    1   1.41 KBytes       
[  4]  53.00-54.00  sec   255 KBytes  2.09 Mbits/sec   15   15.6 KBytes       
[  4]  54.00-55.00  sec  1.25 MBytes  10.5 Mbits/sec  109   1.29 MBytes       
[  4]  55.00-56.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.35 MBytes       
[  4]  56.00-57.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.39 MBytes       
[  4]  57.00-58.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.43 MBytes       
[  4]  58.00-59.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.47 MBytes       
[  4]  59.00-60.00  sec   918 KBytes  7.52 Mbits/sec    0   1.51 MBytes       
[  4]  60.00-61.00  sec   827 KBytes  6.78 Mbits/sec    0   1.55 MBytes       
[  4]  61.00-62.00  sec   764 KBytes  6.25 Mbits/sec    0   1.59 MBytes       
[  4]  62.00-63.00  sec   954 KBytes  7.82 Mbits/sec    0   1.64 MBytes       
[  4]  63.00-64.00  sec   764 KBytes  6.26 Mbits/sec    0   1.68 MBytes       
[  4]  64.00-65.00  sec   954 KBytes  7.82 Mbits/sec    0   1.76 MBytes       
[  4]  65.00-65.00  sec  0.00 Bytes  0.00 bits/sec    0   1.76 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-65.00  sec  50.1 MBytes  6.47 Mbits/sec  889             sender
[  4]   0.00-65.00  sec  40.0 MBytes  5.16 Mbits/sec                  receiver

iperf Done.
