Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.44 MBytes  12.0 Mbits/sec    0   87.7 KBytes       
[  4]   1.00-2.00   sec   891 KBytes  7.30 Mbits/sec    0    124 KBytes       
[  4]   2.00-3.00   sec   954 KBytes  7.82 Mbits/sec    0    161 KBytes       
[  4]   3.00-4.00   sec  1018 KBytes  8.34 Mbits/sec    0    199 KBytes       
[  4]   4.00-5.00   sec   827 KBytes  6.78 Mbits/sec    0    233 KBytes       
[  4]   5.00-6.00   sec  1018 KBytes  8.34 Mbits/sec    0    272 KBytes       
[  4]   6.00-7.00   sec  1018 KBytes  8.34 Mbits/sec    0    311 KBytes       
[  4]   7.00-8.00   sec   827 KBytes  6.78 Mbits/sec    0    346 KBytes       
[  4]   8.00-9.00   sec   954 KBytes  7.82 Mbits/sec    0    393 KBytes       
[  4]   9.00-10.00  sec  1.37 MBytes  11.5 Mbits/sec    0    519 KBytes       
[  4]  10.00-11.00  sec  1.37 MBytes  11.5 Mbits/sec    0    656 KBytes       
[  4]  11.00-12.00  sec  1.25 MBytes  10.5 Mbits/sec    0    830 KBytes       
[  4]  12.00-13.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1022 KBytes       
[  4]  13.00-14.00  sec  1.04 MBytes  8.74 Mbits/sec   89    829 KBytes       
[  4]  14.00-15.00  sec   573 KBytes  4.69 Mbits/sec   93    749 KBytes       
[  4]  15.00-16.00  sec  1.18 MBytes  9.90 Mbits/sec    0    764 KBytes       
[  4]  16.00-17.00  sec   573 KBytes  4.70 Mbits/sec    0    813 KBytes       
[  4]  17.00-18.00  sec   764 KBytes  6.25 Mbits/sec    0    899 KBytes       
[  4]  18.00-19.00  sec   445 KBytes  3.64 Mbits/sec    8    915 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec   36    710 KBytes       
[  4]  20.00-21.00  sec   382 KBytes  3.13 Mbits/sec    6    658 KBytes       
[  4]  21.00-22.00  sec  1.25 MBytes  10.5 Mbits/sec    0    670 KBytes       
[  4]  22.00-23.00  sec   947 KBytes  7.76 Mbits/sec    0    707 KBytes       
[  4]  23.00-24.00  sec   700 KBytes  5.73 Mbits/sec    0    744 KBytes       
[  4]  24.00-25.00  sec   764 KBytes  6.25 Mbits/sec    0    771 KBytes       
[  4]  25.00-26.00  sec   700 KBytes  5.74 Mbits/sec    0    786 KBytes       
[  4]  26.00-27.00  sec   509 KBytes  4.17 Mbits/sec    0    793 KBytes       
