Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.49 MBytes  12.4 Mbits/sec    0   87.7 KBytes       
[  4]   1.00-2.01   sec   954 KBytes  7.80 Mbits/sec    0    124 KBytes       
[  4]   2.01-3.00   sec   827 KBytes  6.80 Mbits/sec    0    158 KBytes       
[  4]   3.00-4.00   sec   700 KBytes  5.75 Mbits/sec    0    187 KBytes       
[  4]   4.00-5.00   sec   636 KBytes  5.21 Mbits/sec    0    211 KBytes       
[  4]   5.00-6.00   sec   700 KBytes  5.73 Mbits/sec    0    239 KBytes       
[  4]   6.00-7.00   sec   636 KBytes  5.21 Mbits/sec    0    263 KBytes       
[  4]   7.00-8.00   sec   700 KBytes  5.73 Mbits/sec    0    293 KBytes       
[  4]   8.00-9.00   sec   827 KBytes  6.78 Mbits/sec    0    370 KBytes       
[  4]   9.00-10.00  sec  1.12 MBytes  9.39 Mbits/sec    0    489 KBytes       
[  4]  10.00-11.00  sec  1018 KBytes  8.34 Mbits/sec    0    609 KBytes       
[  4]  11.00-12.00  sec   954 KBytes  7.81 Mbits/sec    0    718 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec  108    505 KBytes       
[  4]  13.00-14.00  sec   573 KBytes  4.69 Mbits/sec    3    505 KBytes       
[  4]  14.00-15.00  sec   573 KBytes  4.70 Mbits/sec    0    510 KBytes       
[  4]  15.00-16.00  sec   509 KBytes  4.17 Mbits/sec    0    532 KBytes       
[  4]  16.00-17.00  sec   445 KBytes  3.65 Mbits/sec    1    576 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec   13    428 KBytes       
[  4]  18.00-19.00  sec  1018 KBytes  8.34 Mbits/sec  291    287 KBytes       
[  4]  19.00-20.00  sec  1.18 MBytes  9.90 Mbits/sec    0    305 KBytes       
[  4]  20.00-21.00  sec  1.12 MBytes  9.38 Mbits/sec    0    329 KBytes       
[  4]  21.00-22.00  sec  1.06 MBytes  8.86 Mbits/sec    0    342 KBytes       
[  4]  22.00-23.00  sec   827 KBytes  6.78 Mbits/sec    0    349 KBytes       
[  4]  23.00-24.00  sec  1.12 MBytes  9.38 Mbits/sec    0    349 KBytes       
[  4]  24.00-25.00  sec  1.06 MBytes  8.86 Mbits/sec    0    349 KBytes       
[  4]  25.00-26.00  sec  1.06 MBytes  8.86 Mbits/sec    5    352 KBytes       
[  4]  26.00-27.00  sec  1.06 MBytes  8.86 Mbits/sec    0    354 KBytes       
[  4]  27.00-28.00  sec  1.12 MBytes  9.38 Mbits/sec    0    356 KBytes       
[  4]  28.00-29.00  sec  1.06 MBytes  8.86 Mbits/sec    0    365 KBytes       
[  4]  29.00-30.00  sec  1.06 MBytes  8.87 Mbits/sec    0    382 KBytes       
[  4]  30.00-31.00  sec  1.12 MBytes  9.39 Mbits/sec    0    411 KBytes       
[  4]  31.00-32.00  sec  1.06 MBytes  8.86 Mbits/sec    0    455 KBytes       
[  4]  32.00-33.00  sec  1.06 MBytes  8.86 Mbits/sec    0    516 KBytes       
[  4]  33.00-34.00  sec  1018 KBytes  8.34 Mbits/sec    0    597 KBytes       
[  4]  34.00-35.00  sec  1018 KBytes  8.34 Mbits/sec    0    700 KBytes       
[  4]  35.00-36.00  sec  1.25 MBytes  10.5 Mbits/sec    0    826 KBytes       
[  4]  36.00-37.00  sec  2.29 MBytes  19.3 Mbits/sec    0    984 KBytes       
[  4]  37.00-38.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.14 MBytes       
[  4]  38.00-39.00  sec  2.50 MBytes  20.9 Mbits/sec    0   1.31 MBytes       
[  4]  39.00-40.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.52 MBytes       
[  4]  40.00-41.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.77 MBytes       
[  4]  41.00-42.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.04 MBytes       
[  4]  42.00-43.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.35 MBytes       
[  4]  43.00-44.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.68 MBytes       
[  4]  44.00-45.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.08 MBytes       
[  4]  45.00-46.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.47 MBytes       
[  4]  46.00-47.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.93 MBytes       
[  4]  47.00-48.02  sec  1.25 MBytes  10.3 Mbits/sec    0   4.38 MBytes       
[  4]  48.02-49.00  sec  1.25 MBytes  10.7 Mbits/sec    0   4.61 MBytes       
[  4]  49.00-50.00  sec  1.25 MBytes  10.5 Mbits/sec    0   4
