Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.01   sec  84.8 KBytes   691 Kbits/sec    1   14.1 KBytes       
[  4]   1.01-2.00   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]   2.00-3.02   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]   3.02-4.25   sec  70.7 KBytes   471 Kbits/sec    0   28.3 KBytes       
[  4]   4.25-5.00   sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[  4]   5.00-6.87   sec  1.41 KBytes  6.19 Kbits/sec    0   29.7 KBytes       
[  4]   6.87-7.51   sec  0.00 Bytes  0.00 bits/sec    0   29.7 KBytes       
[  4]   7.51-8.13   sec  0.00 Bytes  0.00 bits/sec    0   29.7 KBytes       
[  4]   8.13-9.00   sec   140 KBytes  1.31 Mbits/sec    0   43.8 KBytes       
[  4]   9.00-10.10  sec  0.00 Bytes  0.00 bits/sec    0   43.8 KBytes       
[  4]  10.10-11.00  sec  62.2 KBytes   569 Kbits/sec    0   46.7 KBytes       
[  4]  11.00-12.10  sec   132 KBytes   977 Kbits/sec    0   69.3 KBytes       
[  4]  12.10-13.00  sec  0.00 Bytes  0.00 bits/sec    0   69.3 KBytes       
[  4]  13.00-14.00  sec   191 KBytes  1.56 Mbits/sec    0   93.3 KBytes       
[  4]  14.00-15.07  sec  63.6 KBytes   489 Kbits/sec    0   99.0 KBytes       
[  4]  15.07-16.00  sec   191 KBytes  1.68 Mbits/sec    0    120 KBytes       
[  4]  16.00-17.00  sec   255 KBytes  2.08 Mbits/sec    0    148 KBytes       
[  4]  17.00-18.00  sec   191 KBytes  1.57 Mbits/sec    0    182 KBytes       
[  4]  18.00-19.00  sec   509 KBytes  4.18 Mbits/sec    0    235 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0    236 KBytes       
[  4]  20.00-21.00  sec   318 KBytes  2.61 Mbits/sec   23    218 KBytes       
[  4]  21.00-22.00  sec   127 KBytes  1.04 Mbits/sec    9    198 KBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0    198 KBytes       
[  4]  23.00-24.00  sec   382 KBytes  3.13 Mbits/sec    0    225 KBytes       
[  4]  24.00-25.00  sec  63.6 KBytes   521 Kbits/sec    0    238 KBytes       
[  4]  25.00-26.00  sec   127 KBytes  1.04 Mbits/sec    0    257 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec   35    184 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec   13    180 KBytes       
[  4]  28.00-29.00  sec   382 KBytes  3.12 Mbits/sec    0    181 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0    185 KBytes       
[  4]  30.00-31.00  sec   191 KBytes  1.57 Mbits/sec    0    204 KBytes       
[  4]  31.00-32.00  sec   255 KBytes  2.08 Mbits/sec    0    212 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0    214 KBytes       
[  4]  33.00-34.00  sec   191 KBytes  1.56 Mbits/sec    0    216 KBytes       
[  4]  34.00-35.00  sec   191 KBytes  1.56 Mbits/sec    0    222 KBytes       
[  4]  35.00-36.00  sec   255 KBytes  2.08 Mbits/sec    0    243 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0    243 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    4    228 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec   32    177 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    4    177 KBytes       
[  4]  40.00-41.00  sec   382 KBytes  3.13 Mbits/sec    0    163 KBytes       
[  4]  41.00-42.00  sec  63.6 KBytes   522 Kbits/sec    3    133 KBytes       
[  4]  42.00-43.00  sec   191 KBytes  1.56 Mbits/sec    0    126 KBytes       
[  4]  43.00-44.00  sec   191 KBytes  1.57 Mbits/sec    0    139 KBytes       
[  4]  44.00-45.00  sec   191 KBytes  1.56 Mbits/sec    0    147 KBytes       
[  4]  45.00-46.01  sec  63.6 KBytes   519 Kbits/sec    0    148 KBytes       
[  4]  46.01-47.00  sec   127 KBytes  1.04 Mbits/sec    0    150 KBytes       
[  4]  47.00-48.00  sec   191 KBytes  1.56 Mbits/sec    0    153 KBytes       
[  4]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec    0    154 KBytes       
[  4]  49.00-50.00  sec   127 KBytes  1.04 Mbits/sec    0    171 KBytes       
[  4]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec    1    146 KBytes       
[  4]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec    0    119 KBytes       
[  4]  52.00-53.00  sec   318 KBytes  2.60 Mbits/sec    0    136 KBytes       
[  4]  53.00-54.00  sec  0.00 Bytes  0.00 bits/sec    0    136 KBytes       
[  4]  54.00-55.00  sec  0.00 Bytes  0.00 bits/sec    4    110 KBytes       
[  4]  55.00-56.00  sec   191 KBytes  1.56 Mbits/sec    0    102 KBytes       
[  4]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec    0    102 KBytes       
[  4]  57.00-58.15  sec   127 KBytes   911 Kbits/sec    0    115 KBytes       
[  4]  58.15-59.13  sec  0.00 Bytes  0.00 bits/sec    0    115 KBytes       
[  4]  59.13-60.07  sec  0.00 Bytes  0.00 bits/sec    0    115 KBytes       
[  4]  60.07-61.36  sec  0.00 Bytes  0.00 bits/sec    0    115 KBytes       
[  4]  61.36-62.01  sec  0.00 Bytes  0.00 bits/sec    0    115 KBytes       
[  4]  62.01-63.00  sec   127 KBytes  1.05 Mbits/sec    0    140 KBytes       
[  4]  63.00-64.02  sec  0.00 Bytes  0.00 bits/sec    0    141 KBytes       
[  4]  64.02-65.01  sec  0.00 Bytes  0.00 bits/sec    0    141 KBytes       
[  4]  65.01-66.01  sec   127 KBytes  1.04 Mbits/sec    0    208 KBytes       
[  4]  66.01-67.02  sec  0.00 Bytes  0.00 bits/sec    0    211 KBytes       
[  4]  67.02-68.01  sec  0.00 Bytes  0.00 bits/sec    0    226 KBytes       
[  4]  68.01-69.11  sec   127 KBytes   943 Kbits/sec    0    296 KBytes       
[  4]  69.11-70.01  sec  0.00 Bytes  0.00 bits/sec    0    303 KBytes       
[  4]  70.01-71.00  sec  0.00 Bytes  0.00 bits/sec    0    303 KBytes       
[  4]  71.00-72.00  sec   318 KBytes  2.60 Mbits/sec    0    392 KBytes       
[  4]  72.00-73.15  sec  0.00 Bytes  0.00 bits/sec    0    392 KBytes       
[  4]  73.15-74.19  sec  0.00 Bytes  0.00 bits/sec    0    392 KBytes       
[  4]  74.19-75.00  sec  0.00 Bytes  0.00 bits/sec   24    273 KBytes       
[  4]  75.00-76.00  sec  0.00 Bytes  0.00 bits/sec   20    273 KBytes       
[  4]  76.00-77.00  sec  0.00 Bytes  0.00 bits/sec   35    273 KBytes       
[  4]  77.00-78.00  sec  0.00 Bytes  0.00 bits/sec   16    263 KBytes       
[  4]  78.00-79.00  sec   382 KBytes  3.12 Mbits/sec   29    191 KBytes       
[  4]  79.00-80.00  sec  0.00 Bytes  0.00 bits/sec    0    191 KBytes       
[  4]  80.00-81.00  sec   573 KBytes  4.69 Mbits/sec    0    202 KBytes       
[  4]  81.00-82.00  sec  0.00 Bytes  0.00 bits/sec   12    153 KBytes       
[  4]  82.00-83.01  sec  0.00 Bytes  0.00 bits/sec    4    141 KBytes       
