Connecting to host 10.0.0.2, port 5205
[  4] local 10.0.0.1 port 46118 connected to 10.0.0.2 port 5205
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.01   sec  82.0 KBytes   667 Kbits/sec    1   14.1 KBytes       
[  4]   1.01-2.00   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]   2.00-3.00   sec  94.7 KBytes   777 Kbits/sec    0   28.3 KBytes       
[  4]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[  4]   4.00-5.00   sec   116 KBytes   949 Kbits/sec    0   42.4 KBytes       
[  4]   5.00-6.00   sec  0.00 Bytes  0.00 bits/sec    0   42.4 KBytes       
[  4]   6.00-7.00   sec   134 KBytes  1.10 Mbits/sec    0   56.6 KBytes       
[  4]   7.00-8.00   sec  63.6 KBytes   521 Kbits/sec    0   62.2 KBytes       
[  4]   8.00-9.00   sec   127 KBytes  1.04 Mbits/sec    0   86.3 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0   86.3 KBytes       
[  4]  10.00-11.00  sec   191 KBytes  1.56 Mbits/sec    0    107 KBytes       
[  4]  11.00-12.02  sec   127 KBytes  1.03 Mbits/sec    0    129 KBytes       
[  4]  12.02-13.00  sec  0.00 Bytes  0.00 bits/sec    0    129 KBytes       
[  4]  13.00-14.00  sec   509 KBytes  4.17 Mbits/sec    0    194 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0    194 KBytes       
[  4]  15.00-16.00  sec   636 KBytes  5.22 Mbits/sec    0    280 KBytes       
[  4]  16.00-17.00  sec  63.6 KBytes   521 Kbits/sec    0    287 KBytes       
[  4]  17.00-18.01  sec  0.00 Bytes  0.00 bits/sec    0    287 KBytes       
[  4]  18.01-19.00  sec  0.00 Bytes  0.00 bits/sec    0    287 KBytes       
[  4]  19.00-20.00  sec   255 KBytes  2.09 Mbits/sec   10    276 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0    245 KBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0    245 KBytes       
[  4]  22.00-23.01  sec  0.00 Bytes  0.00 bits/sec    0    245 KBytes       
[  4]  23.01-24.00  sec  0.00 Bytes  0.00 bits/sec   88    223 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0    223 KBytes       
[  4]  25.00-26.01  sec  0.00 Bytes  0.00 bits/sec    0    223 KBytes       
[  4]  26.01-27.00  sec   191 KBytes  1.57 Mbits/sec    0    223 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    0    223 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0    223 KBytes       
[  4]  29.00-30.04  sec  0.00 Bytes  0.00 bits/sec    2    221 KBytes       
[  4]  30.04-31.02  sec  0.00 Bytes  0.00 bits/sec    0    223 KBytes       
[  4]  31.02-32.00  sec  0.00 Bytes  0.00 bits/sec    0    223 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  33.00-34.00  sec   191 KBytes  1.56 Mbits/sec    0   1.41 KBytes       
[  4]  34.00-35.01  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4]  35.01-36.00  sec   764 KBytes  6.29 Mbits/sec    0    277 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0    281 KBytes       
[  4]  37.00-38.00  sec   127 KBytes  1.04 Mbits/sec    0    290 KBytes       
[  4]  38.00-39.00  sec   318 KBytes  2.60 Mbits/sec    0    305 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    0    305 KBytes       
[  4]  40.00-41.00  sec   255 KBytes  2.09 Mbits/sec    0    320 KBytes       
[  4]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec    0    320 KBytes       
[  4]  42.00-43.00  sec   509 KBytes  4.18 Mbits/sec    0    352 KBytes       
[  4]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    0    354 KBytes       
[  4]  44.00-45.00  sec   127 KBytes  1.04 Mbits/sec    0    372 KBytes       
[  4]  45.00-46.00  sec   127 KBytes  1.04 Mbits/sec    0    393 KBytes       
