Connecting to host 10.0.0.2, port 5205
[  4] local 10.0.0.1 port 46118 connected to 10.0.0.2 port 5205
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   230 KBytes  1.89 Mbits/sec    0   35.4 KBytes       
[  4]   1.00-2.00   sec   410 KBytes  3.35 Mbits/sec    0   76.4 KBytes       
[  4]   2.00-3.00   sec   127 KBytes  1.04 Mbits/sec    0   82.0 KBytes       
[  4]   3.00-4.01   sec   127 KBytes  1.04 Mbits/sec    0   87.7 KBytes       
[  4]   4.01-5.00   sec   127 KBytes  1.04 Mbits/sec    0   93.3 KBytes       
[  4]   5.00-6.00   sec   191 KBytes  1.57 Mbits/sec    0    113 KBytes       
[  4]   6.00-7.01   sec   191 KBytes  1.55 Mbits/sec    0    132 KBytes       
[  4]   7.01-8.00   sec   255 KBytes  2.10 Mbits/sec    0    167 KBytes       
[  4]   8.00-9.00   sec   127 KBytes  1.04 Mbits/sec    9    163 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec   17    127 KBytes       
[  4]  10.00-11.01  sec  63.6 KBytes   517 Kbits/sec    0    127 KBytes       
[  4]  11.01-12.00  sec   127 KBytes  1.05 Mbits/sec    0    129 KBytes       
[  4]  12.00-13.00  sec   127 KBytes  1.04 Mbits/sec    0    151 KBytes       
[  4]  13.00-14.00  sec  63.6 KBytes   521 Kbits/sec    0    164 KBytes       
[  4]  14.00-15.01  sec   127 KBytes  1.04 Mbits/sec    0    171 KBytes       
[  4]  15.01-16.00  sec   127 KBytes  1.05 Mbits/sec    0    178 KBytes       
[  4]  16.00-17.02  sec  0.00 Bytes  0.00 bits/sec    0    178 KBytes       
[  4]  17.02-18.00  sec   191 KBytes  1.60 Mbits/sec    0    182 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0    184 KBytes       
[  4]  19.00-20.00  sec   318 KBytes  2.61 Mbits/sec    0    202 KBytes       
[  4]  20.00-21.00  sec   318 KBytes  2.61 Mbits/sec    0    235 KBytes       
[  4]  21.00-22.00  sec   127 KBytes  1.04 Mbits/sec    0    247 KBytes       
[  4]  22.00-23.00  sec   573 KBytes  4.70 Mbits/sec    0    320 KBytes       
[  4]  23.00-24.00  sec   191 KBytes  1.56 Mbits/sec    0    342 KBytes       
[  4]  24.00-25.01  sec   636 KBytes  5.20 Mbits/sec   20    386 KBytes       
[  4]  25.01-26.00  sec  0.00 Bytes  0.00 bits/sec    9    351 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec   51    300 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec   15    300 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0    300 KBytes       
[  4]  29.00-30.00  sec   636 KBytes  5.22 Mbits/sec    0    308 KBytes       
[  4]  30.00-31.00  sec  63.6 KBytes   521 Kbits/sec    2    240 KBytes       
[  4]  31.00-32.01  sec  0.00 Bytes  0.00 bits/sec    0    215 KBytes       
[  4]  32.01-33.06  sec   573 KBytes  4.50 Mbits/sec    0    228 KBytes       
[  4]  33.06-34.00  sec  0.00 Bytes  0.00 bits/sec    0    232 KBytes       
[  4]  34.00-35.00  sec   191 KBytes  1.57 Mbits/sec    0    247 KBytes       
[  4]  35.00-36.01  sec  63.6 KBytes   519 Kbits/sec    0    250 KBytes       
[  4]  36.01-37.00  sec   191 KBytes  1.57 Mbits/sec    0    256 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    1    245 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    7    178 KBytes       
[  4]  39.00-40.00  sec   127 KBytes  1.04 Mbits/sec    3    178 KBytes       
[  4]  40.00-41.00  sec   318 KBytes  2.61 Mbits/sec    1    181 KBytes       
