Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   411 KBytes  3.37 Mbits/sec    0   48.1 KBytes       
[  4]   1.00-2.00   sec   255 KBytes  2.09 Mbits/sec    0   55.1 KBytes       
[  4]   2.00-3.00   sec   191 KBytes  1.56 Mbits/sec    0   65.0 KBytes       
[  4]   3.00-4.00   sec   255 KBytes  2.08 Mbits/sec    0   73.5 KBytes       
[  4]   4.00-5.00   sec   191 KBytes  1.57 Mbits/sec    0   90.5 KBytes       
[  4]   5.00-6.00   sec   509 KBytes  4.16 Mbits/sec    0    132 KBytes       
[  4]   6.00-7.00   sec   573 KBytes  4.70 Mbits/sec    0    187 KBytes       
[  4]   7.00-8.00   sec   573 KBytes  4.69 Mbits/sec    0    240 KBytes       
[  4]   8.00-9.00   sec   445 KBytes  3.65 Mbits/sec    3    293 KBytes       
[  4]   9.00-10.00  sec   318 KBytes  2.61 Mbits/sec    0    293 KBytes       
[  4]  10.00-11.00  sec   382 KBytes  3.13 Mbits/sec    0    296 KBytes       
[  4]  11.00-12.00  sec   318 KBytes  2.61 Mbits/sec    0    304 KBytes       
[  4]  12.00-13.00  sec   255 KBytes  2.09 Mbits/sec    0    320 KBytes       
[  4]  13.00-14.00  sec   191 KBytes  1.56 Mbits/sec    0    331 KBytes       
[  4]  14.00-15.00  sec   255 KBytes  2.09 Mbits/sec    0    383 KBytes       
[  4]  15.00-16.00  sec  63.6 KBytes   521 Kbits/sec    0    392 KBytes       
[  4]  16.00-17.00  sec   318 KBytes  2.61 Mbits/sec    0    510 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0    510 KBytes       
[  4]  18.00-19.00  sec   255 KBytes  2.08 Mbits/sec    0    638 KBytes       
[  4]  19.00-20.00  sec   127 KBytes  1.04 Mbits/sec    0    737 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0    737 KBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec  281    512 KBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0    508 KBytes       
[  4]  23.00-24.00  sec   191 KBytes  1.56 Mbits/sec    0    515 KBytes       
[  4]  24.00-25.00  sec   127 KBytes  1.04 Mbits/sec    0    515 KBytes       
[  4]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    0    515 KBytes       
[  4]  26.00-27.00  sec  63.6 KBytes   521 Kbits/sec    0    332 KBytes       
[  4]  27.00-28.00  sec   191 KBytes  1.56 Mbits/sec    0    318 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4]  30.00-31.00  sec  63.6 KBytes   521 Kbits/sec    4   5.66 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec   12   17.0 KBytes       
[  4]  33.00-34.00  sec  63.6 KBytes   522 Kbits/sec   19   41.0 KBytes       
[  4]  34.00-35.00  sec  1.18 MBytes  9.90 Mbits/sec    0    553 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0    553 KBytes       
[  4]  36.00-37.00  sec   509 KBytes  4.17 Mbits/sec    0    591 KBytes       
[  4]  37.00-38.00  sec   573 KBytes  4.68 Mbits/sec    0    622 KBytes       
[  4]  38.00-39.00  sec   445 KBytes  3.66 Mbits/sec    0    645 KBytes       
[  4]  39.00-40.00  sec  63.6 KBytes   521 Kbits/sec   28    566 KBytes       
[  4]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec   60    455 KBytes       
[  4]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec   13    455 KBytes       
[  4]  42.00-43.00  sec   266 KBytes  2.18 Mbits/sec   30    455 KBytes       
[  4]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    3   1.41 KBytes       
[  4]  44.00-45.00  sec   191 KBytes  1.56 Mbits/sec    6   8.48 KBytes       
[  4]  45.00-46.00  sec   329 KBytes  2.70 Mbits/sec    8    411 KBytes       
[  4]  46.00-47.00  sec  1.24 MBytes  10.4 Mbits/sec    0    467 KBytes       
[  4]  47.00-48.00  sec   445 KBytes  3.65 Mbits/sec    0    489 KBytes       
[  4]  48.00-49.00  sec   318 KBytes  2.61 Mbits/sec    0    506 KBytes       
[  4]  49.00-50.00  sec   318 KBytes  2.61 Mbits/sec    0    522 KBytes       
[  4]  50.00-51.00  sec   382 KBytes  3.13 Mbits/sec    0    540 KBytes       
[  4]  51.00-52.00  sec   445 KBytes  3.65 Mbits/sec    0    585 KBytes       
[  4]  52.00-53.00  sec   318 KBytes  2.61 Mbits/sec    0    635 KBytes       
[  4]  53.00-54.00  sec   255 KBytes  2.08 Mbits/sec    0    694 KBytes       
[  4]  54.00-55.00  sec  0.00 Bytes  0.00 bits/sec   20    574 KBytes       
[  4]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec   23    492 KBytes       
[  4]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec   40    492 KBytes       
[  4]  57.00-58.00  sec   318 KBytes  2.61 Mbits/sec    1   1.41 KBytes       
[  4]  58.00-59.00  sec  1.30 MBytes  10.9 Mbits/sec    0    542 KBytes       
[  4]  59.00-60.00  sec   445 KBytes  3.65 Mbits/sec    0    578 KBytes       
[  4]  60.00-61.00  sec   318 KBytes  2.61 Mbits/sec    0    594 KBytes       
[  4]  61.00-62.00  sec   255 KBytes  2.08 Mbits/sec    0    608 KBytes       
[  4]  62.00-63.00  sec   573 KBytes  4.69 Mbits/sec    0    638 KBytes       
[  4]  63.00-64.00  sec   445 KBytes  3.65 Mbits/sec    0    659 KBytes       
[  4]  64.00-65.00  sec   191 KBytes  1.56 Mbits/sec    0    670 KBytes       
[  4]  65.00-66.00  sec  0.00 Bytes  0.00 bits/sec   12    513 KBytes       
[  4]  66.00-67.00  sec   376 KBytes  3.08 Mbits/sec    0    469 KBytes       
[  4]  67.00-68.00  sec  74.9 KBytes   614 Kbits/sec    9    469 KBytes       
[  4]  68.00-69.00  sec   202 KBytes  1.66 Mbits/sec    0    469 KBytes       
[  4]  69.00-70.00  sec  63.6 KBytes   521 Kbits/sec    1   1.41 KBytes       
[  4]  70.00-71.00  sec  1.51 MBytes  12.6 Mbits/sec    0    530 KBytes       
[  4]  71.00-72.00  sec   509 KBytes  4.17 Mbits/sec    0    556 KBytes       
[  4]  72.00-73.00  sec  0.00 Bytes  0.00 bits/sec   15    475 KBytes       
[  4]  73.00-74.00  sec  0.00 Bytes  0.00 bits/sec    0    389 KBytes       
[  4]  74.00-75.00  sec   891 KBytes  7.29 Mbits/sec    0    413 KBytes       
[  4]  75.00-76.00  sec   509 KBytes  4.16 Mbits/sec    0    469 KBytes       
[  4]  76.00-77.00  sec   445 KBytes  3.66 Mbits/sec    0    512 KBytes       
