Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.23 MBytes  10.3 Mbits/sec    0   58.0 KBytes       
[  4]   1.00-2.00   sec  1.06 MBytes  8.86 Mbits/sec    0    100 KBytes       
[  4]   2.00-3.00   sec  1.06 MBytes  8.86 Mbits/sec    0    144 KBytes       
[  4]   3.00-4.00   sec  1018 KBytes  8.34 Mbits/sec    3    167 KBytes       
[  4]   4.00-5.00   sec   827 KBytes  6.77 Mbits/sec    0    171 KBytes       
[  4]   5.00-6.00   sec   764 KBytes  6.26 Mbits/sec    0    174 KBytes       
[  4]   6.00-7.00   sec   764 KBytes  6.24 Mbits/sec    0    184 KBytes       
[  4]   7.00-8.00   sec   636 KBytes  5.22 Mbits/sec    0    205 KBytes       
[  4]   8.00-9.00   sec   636 KBytes  5.21 Mbits/sec    0    236 KBytes       
[  4]   9.00-10.00  sec   700 KBytes  5.73 Mbits/sec    0    280 KBytes       
[  4]  10.00-11.00  sec   891 KBytes  7.30 Mbits/sec    0    349 KBytes       
[  4]  11.00-12.00  sec   764 KBytes  6.25 Mbits/sec    0    419 KBytes       
[  4]  12.00-13.00  sec   954 KBytes  7.82 Mbits/sec    0    512 KBytes       
[  4]  13.00-14.00  sec  1.18 MBytes  9.89 Mbits/sec    0    645 KBytes       
[  4]  14.00-15.00  sec   891 KBytes  7.30 Mbits/sec   15    714 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec   85    527 KBytes       
[  4]  16.00-17.00  sec   445 KBytes  3.65 Mbits/sec   31    527 KBytes       
[  4]  17.00-18.00  sec   891 KBytes  7.30 Mbits/sec    0    540 KBytes       
[  4]  18.00-19.00  sec   382 KBytes  3.13 Mbits/sec    0    581 KBytes       
[  4]  19.00-20.00  sec   509 KBytes  4.17 Mbits/sec    0    641 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec   36    477 KBytes       
[  4]  21.00-22.00  sec   318 KBytes  2.61 Mbits/sec   17    448 KBytes       
[  4]  22.00-23.00  sec   891 KBytes  7.29 Mbits/sec    0    454 KBytes       
[  4]  23.00-24.00  sec   509 KBytes  4.17 Mbits/sec    0    474 KBytes       
[  4]  24.00-25.00  sec   382 KBytes  3.13 Mbits/sec    0    499 KBytes       
[  4]  25.00-26.00  sec   445 KBytes  3.65 Mbits/sec    0    519 KBytes       
[  4]  26.00-27.00  sec   509 KBytes  4.17 Mbits/sec    0    535 KBytes       
[  4]  27.00-28.00  sec   509 KBytes  4.17 Mbits/sec    0    540 KBytes       
[  4]  28.00-29.00  sec   382 KBytes  3.13 Mbits/sec    0    543 KBytes       
[  4]  29.00-30.00  sec   445 KBytes  3.65 Mbits/sec    0    544 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    7    444 KBytes       
[  4]  31.00-32.00  sec   191 KBytes  1.56 Mbits/sec    2    380 KBytes       
[  4]  32.00-33.00  sec  1.06 MBytes  8.86 Mbits/sec    0    402 KBytes       
[  4]  33.00-34.00  sec   509 KBytes  4.17 Mbits/sec    0    447 KBytes       
[  4]  34.00-35.00  sec   382 KBytes  3.13 Mbits/sec    0    484 KBytes       
[  4]  35.00-36.00  sec   445 KBytes  3.65 Mbits/sec    0    509 KBytes       
[  4]  36.00-37.00  sec   318 KBytes  2.61 Mbits/sec    0    523 KBytes       
[  4]  37.00-38.00  sec   509 KBytes  4.17 Mbits/sec    0    536 KBytes       
[  4]  38.00-39.00  sec   445 KBytes  3.65 Mbits/sec    0    542 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    7    395 KBytes       
[  4]  40.00-41.00  sec   764 KBytes  6.26 Mbits/sec    0    382 KBytes       
[  4]  41.00-42.00  sec   636 KBytes  5.21 Mbits/sec    0    406 KBytes       
[  4]  42.00-43.00  sec   382 KBytes  3.13 Mbits/sec    0    428 KBytes       
[  4]  43.00-44.00  sec   445 KBytes  3.65 Mbits/sec    0    444 KBytes       
[  4]  44.00-45.00  sec   445 KBytes  3.65 Mbits/sec    0    454 KBytes       
[  4]  45.00-46.00  sec   445 KBytes  3.65 Mbits/sec    0    457 KBytes       
[  4]  46.00-47.00  sec   445 KBytes  3.65 Mbits/sec    0    458 KBytes       
[  4]  47.00-48.00  sec   445 KBytes  3.65 Mbits/sec    0    461 KBytes       
[  4]  48.00-49.00  sec   382 KBytes  3.13 Mbits/sec    0    468 KBytes       
[  4]  49.00-50.00  sec   445 KBytes  3.65 Mbits/sec    0    481 KBytes       
[  4]  50.00-51.00  sec   382 KBytes  3.13 Mbits/sec    0    503 KBytes       
[  4]  51.00-52.00  sec   445 KBytes  3.65 Mbits/sec    0    539 KBytes       
[  4]  52.00-53.00  sec   445 KBytes  3.65 Mbits/sec    0    588 KBytes       
[  4]  53.00-54.00  sec   445 KBytes  3.65 Mbits/sec    0    652 KBytes       
[  4]  54.00-55.00  sec  63.6 KBytes   521 Kbits/sec   33    540 KBytes       
[  4]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec   48    475 KBytes       
[  4]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  57.00-58.00  sec  1.86 MBytes  15.6 Mbits/sec    0    539 KBytes       
[  4]  58.00-59.00  sec   318 KBytes  2.61 Mbits/sec    0    560 KBytes       
[  4]  59.00-60.00  sec   445 KBytes  3.65 Mbits/sec    0    584 KBytes       
[  4]  60.00-61.00  sec   445 KBytes  3.65 Mbits/sec    0    605 KBytes       
[  4]  61.00-62.00  sec   382 KBytes  3.13 Mbits/sec    0    626 KBytes       
[  4]  62.00-63.00  sec  0.00 Bytes  0.00 bits/sec   24    438 KBytes       
[  4]  63.00-64.00  sec   509 KBytes  4.17 Mbits/sec   13    438 KBytes       
[  4]  64.00-65.00  sec  1018 KBytes  8.34 Mbits/sec    0    489 KBytes       
[  4]  65.00-66.00  sec   573 KBytes  4.69 Mbits/sec    0    542 KBytes       
[  4]  66.00-67.00  sec   445 KBytes  3.65 Mbits/sec    0    576 KBytes       
[  4]  67.00-68.00  sec   509 KBytes  4.17 Mbits/sec    0    598 KBytes       
[  4]  68.00-69.00  sec   573 KBytes  4.69 Mbits/sec    0    615 KBytes       
[  4]  69.00-70.00  sec   636 KBytes  5.21 Mbits/sec    0    622 KBytes       
[  4]  70.00-71.00  sec   573 KBytes  4.70 Mbits/sec    0    625 KBytes       
[  4]  71.00-72.00  sec   509 KBytes  4.16 Mbits/sec    0    628 KBytes       
