Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.01   sec   365 KBytes  2.97 Mbits/sec    0   43.8 KBytes       
[  4]   1.01-2.01   sec   191 KBytes  1.56 Mbits/sec    0   50.9 KBytes       
[  4]   2.01-3.00   sec   127 KBytes  1.05 Mbits/sec    0   56.6 KBytes       
[  4]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   62.2 KBytes       
[  4]   4.00-5.00   sec   255 KBytes  2.09 Mbits/sec    0   80.6 KBytes       
[  4]   5.00-6.00   sec   191 KBytes  1.56 Mbits/sec    0    103 KBytes       
[  4]   6.00-7.00   sec   255 KBytes  2.08 Mbits/sec    0    134 KBytes       
[  4]   7.00-8.00   sec   382 KBytes  3.13 Mbits/sec    0    185 KBytes       
[  4]   8.00-9.00   sec   700 KBytes  5.74 Mbits/sec    0    269 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec   53    188 KBytes       
[  4]  10.00-11.00  sec   127 KBytes  1.04 Mbits/sec    8    188 KBytes       
[  4]  11.00-12.00  sec   255 KBytes  2.09 Mbits/sec    0    198 KBytes       
[  4]  12.00-13.00  sec   191 KBytes  1.56 Mbits/sec    0    214 KBytes       
[  4]  13.00-14.00  sec   191 KBytes  1.56 Mbits/sec    0    238 KBytes       
[  4]  14.00-15.00  sec   127 KBytes  1.04 Mbits/sec    0    253 KBytes       
[  4]  15.00-16.00  sec   255 KBytes  2.08 Mbits/sec    0    262 KBytes       
[  4]  16.00-17.00  sec   191 KBytes  1.56 Mbits/sec    0    266 KBytes       
[  4]  17.00-18.00  sec   255 KBytes  2.09 Mbits/sec    0    267 KBytes       
[  4]  18.00-19.00  sec   191 KBytes  1.56 Mbits/sec    0    270 KBytes       
[  4]  19.00-20.00  sec   318 KBytes  2.61 Mbits/sec    0    279 KBytes       
[  4]  20.00-21.00  sec   382 KBytes  3.13 Mbits/sec    0    297 KBytes       
[  4]  21.00-22.00  sec   445 KBytes  3.65 Mbits/sec    0    328 KBytes       
[  4]  22.00-23.00  sec  63.6 KBytes   521 Kbits/sec   13    272 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    7    233 KBytes       
[  4]  24.00-25.00  sec   318 KBytes  2.61 Mbits/sec    1    233 KBytes       
[  4]  25.00-26.00  sec   509 KBytes  4.17 Mbits/sec    0    250 KBytes       
[  4]  26.00-27.00  sec   255 KBytes  2.09 Mbits/sec    0    280 KBytes       
[  4]  27.00-28.00  sec   191 KBytes  1.56 Mbits/sec    0    303 KBytes       
[  4]  28.00-29.00  sec   191 KBytes  1.56 Mbits/sec    0    318 KBytes       
[  4]  29.00-30.00  sec   255 KBytes  2.09 Mbits/sec    0    327 KBytes       
[  4]  30.00-31.00  sec   255 KBytes  2.08 Mbits/sec    0    331 KBytes       
[  4]  31.00-32.00  sec   318 KBytes  2.61 Mbits/sec    0    334 KBytes       
[  4]  32.00-33.00  sec   318 KBytes  2.61 Mbits/sec    0    338 KBytes       
[  4]  33.00-34.00  sec   382 KBytes  3.13 Mbits/sec    0    345 KBytes       
[  4]  34.00-35.00  sec   318 KBytes  2.61 Mbits/sec    0    361 KBytes       
[  4]  35.00-36.00  sec   191 KBytes  1.56 Mbits/sec    2    370 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec   22    260 KBytes       
[  4]  37.00-38.00  sec   509 KBytes  4.17 Mbits/sec    0    262 KBytes       
[  4]  38.00-39.00  sec   382 KBytes  3.13 Mbits/sec    0    291 KBytes       
[  4]  39.00-40.00  sec   191 KBytes  1.56 Mbits/sec    0    321 KBytes       
[  4]  40.00-41.00  sec   191 KBytes  1.56 Mbits/sec    0    338 KBytes       
[  4]  41.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0    338 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-41.00  sec  10.1 MBytes  2.07 Mbits/sec  106             sender
[  4]   0.00-41.00  sec  8.38 MBytes  1.72 Mbits/sec                  receiver

iperf Done.
