Connecting to host 10.0.0.2, port 5207
[  4] local 10.0.0.1 port 46122 connected to 10.0.0.2 port 5207
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  96.2 KBytes   787 Kbits/sec    0   28.3 KBytes       
[  4]   1.00-2.00   sec   420 KBytes  3.44 Mbits/sec    0   72.1 KBytes       
[  4]   2.00-3.00   sec   191 KBytes  1.56 Mbits/sec    0   79.2 KBytes       
[  4]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   83.4 KBytes       
[  4]   4.00-5.00   sec  63.6 KBytes   521 Kbits/sec    0   87.7 KBytes       
[  4]   5.00-6.00   sec   191 KBytes  1.57 Mbits/sec    0    100 KBytes       
[  4]   6.00-7.00   sec   127 KBytes  1.04 Mbits/sec    6    100 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec   14   83.4 KBytes       
[  4]   8.00-9.00   sec  63.6 KBytes   522 Kbits/sec    0   83.4 KBytes       
[  4]   9.00-10.00  sec   127 KBytes  1.04 Mbits/sec    0   89.1 KBytes       
[  4]  10.00-11.00  sec   127 KBytes  1.04 Mbits/sec    0    105 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec   10   73.5 KBytes       
[  4]  12.00-13.00  sec   127 KBytes  1.04 Mbits/sec    0   74.9 KBytes       
[  4]  13.00-14.00  sec   127 KBytes  1.04 Mbits/sec    0   83.4 KBytes       
[  4]  14.00-15.00  sec  63.6 KBytes   521 Kbits/sec    0   87.7 KBytes       
[  4]  15.00-16.00  sec  63.6 KBytes   521 Kbits/sec    0   89.1 KBytes       
[  4]  16.00-17.00  sec   127 KBytes  1.04 Mbits/sec    0   90.5 KBytes       
[  4]  17.00-18.00  sec  63.6 KBytes   521 Kbits/sec    0   96.2 KBytes       
[  4]  18.00-19.00  sec  63.6 KBytes   522 Kbits/sec    0    105 KBytes       
[  4]  19.00-20.00  sec  63.6 KBytes   521 Kbits/sec    0    117 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec   14   86.3 KBytes       
[  4]  21.00-22.00  sec   191 KBytes  1.56 Mbits/sec    0   87.7 KBytes       
[  4]  22.00-23.00  sec  63.6 KBytes   522 Kbits/sec    0    102 KBytes       
[  4]  23.00-24.00  sec   127 KBytes  1.04 Mbits/sec    0    115 KBytes       
[  4]  24.00-25.00  sec   127 KBytes  1.04 Mbits/sec    0    120 KBytes       
[  4]  25.00-26.00  sec   127 KBytes  1.04 Mbits/sec    0    123 KBytes       
[  4]  26.00-27.00  sec   127 KBytes  1.04 Mbits/sec    0    124 KBytes       
[  4]  27.00-28.00  sec   127 KBytes  1.04 Mbits/sec    0    127 KBytes       
[  4]  28.00-29.00  sec   191 KBytes  1.56 Mbits/sec    0    136 KBytes       
[  4]  29.00-30.00  sec   191 KBytes  1.56 Mbits/sec    0    151 KBytes       
[  4]  30.00-31.00  sec   318 KBytes  2.60 Mbits/sec    0    181 KBytes       
[  4]  31.00-32.00  sec   382 KBytes  3.13 Mbits/sec    0    225 KBytes       
[  4]  32.00-33.00  sec  63.6 KBytes   522 Kbits/sec   25    170 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    9    167 KBytes       
[  4]  34.00-35.00  sec   255 KBytes  2.09 Mbits/sec    1    167 KBytes       
[  4]  35.00-36.00  sec   318 KBytes  2.61 Mbits/sec    0    185 KBytes       
[  4]  36.00-37.00  sec   127 KBytes  1.04 Mbits/sec    0    205 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    1    164 KBytes       
[  4]  38.00-39.00  sec   318 KBytes  2.61 Mbits/sec    0    153 KBytes       
[  4]  39.00-40.00  sec   191 KBytes  1.56 Mbits/sec    0    164 KBytes       
[  4]  40.00-41.00  sec   127 KBytes  1.04 Mbits/sec    0    171 KBytes       
[  4]  41.00-42.00  sec   191 KBytes  1.56 Mbits/sec    0    174 KBytes       
[  4]  42.00-43.00  sec   191 KBytes  1.56 Mbits/sec    0    175 KBytes       
[  4]  43.00-44.00  sec   191 KBytes  1.56 Mbits/sec    0    178 KBytes       
[  4]  44.00-45.00  sec   127 KBytes  1.04 Mbits/sec    0    185 KBytes       
[  4]  45.00-46.00  sec   255 KBytes  2.09 Mbits/sec    0    202 KBytes       
[  4]  46.00-47.00  sec   255 KBytes  2.08 Mbits/sec    0    228 KBytes       
[  4]  47.00-48.00  sec   318 KBytes  2.61 Mbits/sec    0    266 KBytes       
[  4]  48.00-49.00  sec   573 KBytes  4.69 Mbits/sec    0    318 KBytes       
[  4]  49.00-50.00  sec   636 KBytes  5.21 Mbits/sec    0    387 KBytes       
[  4]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec   34    274 KBytes       
[  4]  51.00-52.00  sec   764 KBytes  6.25 Mbits/sec    0    298 KBytes       
[  4]  52.00-53.00  sec   382 KBytes  3.13 Mbits/sec    0    331 KBytes       
[  4]  53.00-54.00  sec   445 KBytes  3.65 Mbits/sec    0    362 KBytes       
[  4]  54.00-55.00  sec   382 KBytes  3.13 Mbits/sec    0    378 KBytes       
[  4]  55.00-55.00  sec  0.00 Bytes  0.00 bits/sec    0    378 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-55.00  sec  10.1 MBytes  1.54 Mbits/sec  114             sender
[  4]   0.00-55.00  sec  8.31 MBytes  1.27 Mbits/sec                  receiver

iperf Done.
