Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.23 MBytes  10.3 Mbits/sec    0   59.4 KBytes       
[  4]   1.00-2.00   sec  1.12 MBytes  9.38 Mbits/sec    0    103 KBytes       
[  4]   2.00-3.00   sec  1.12 MBytes  9.38 Mbits/sec    0    148 KBytes       
[  4]   3.00-4.00   sec  1018 KBytes  8.33 Mbits/sec    0    188 KBytes       
[  4]   4.00-5.00   sec   509 KBytes  4.17 Mbits/sec    0    211 KBytes       
[  4]   5.00-6.00   sec   382 KBytes  3.12 Mbits/sec    0    226 KBytes       
[  4]   6.00-7.00   sec   318 KBytes  2.61 Mbits/sec    0    238 KBytes       
[  4]   7.00-8.00   sec   255 KBytes  2.09 Mbits/sec    0    255 KBytes       
[  4]   8.00-9.00   sec   127 KBytes  1.04 Mbits/sec   13    214 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec   15    188 KBytes       
[  4]  10.00-11.00  sec   127 KBytes  1.04 Mbits/sec   22    188 KBytes       
[  4]  11.00-12.00  sec  63.6 KBytes   522 Kbits/sec   10    185 KBytes       
[  4]  12.00-13.00  sec   255 KBytes  2.08 Mbits/sec    1   17.0 KBytes       
[  4]  13.00-14.00  sec   509 KBytes  4.17 Mbits/sec    1    209 KBytes       
[  4]  14.00-15.00  sec   827 KBytes  6.78 Mbits/sec    0    249 KBytes       
[  4]  15.00-16.00  sec   954 KBytes  7.82 Mbits/sec    0    291 KBytes       
[  4]  16.00-17.00  sec  1.12 MBytes  9.38 Mbits/sec    0    335 KBytes       
[  4]  17.00-18.00  sec  1.12 MBytes  9.37 Mbits/sec    0    379 KBytes       
[  4]  18.00-19.00  sec  1.12 MBytes  9.40 Mbits/sec    0    424 KBytes       
[  4]  19.00-20.00  sec  1.12 MBytes  9.38 Mbits/sec    0    469 KBytes       
[  4]  20.00-21.00  sec  1.12 MBytes  9.38 Mbits/sec    0    515 KBytes       
[  4]  21.00-22.00  sec  1.06 MBytes  8.86 Mbits/sec    0    557 KBytes       
[  4]  22.00-23.00  sec  1.12 MBytes  9.39 Mbits/sec    0    615 KBytes       
[  4]  23.00-24.00  sec  1.25 MBytes  10.5 Mbits/sec    0    735 KBytes       
[  4]  24.00-25.00  sec  1.25 MBytes  10.5 Mbits/sec    0    887 KBytes       
[  4]  25.00-26.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.02 MBytes       
[  4]  26.00-27.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.25 MBytes       
[  4]  27.00-28.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.47 MBytes       
[  4]  28.00-29.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.72 MBytes       
[  4]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec   43   1.57 MBytes       
[  4]  30.00-31.00  sec   705 KBytes  5.77 Mbits/sec   78   1.25 MBytes       
