Connecting to host 10.0.0.2, port 5203
[  4] local 10.0.0.1 port 46114 connected to 10.0.0.2 port 5203
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.01   sec   595 KBytes  4.85 Mbits/sec    0   76.4 KBytes       
[  4]   1.01-2.00   sec   318 KBytes  2.62 Mbits/sec    0   87.7 KBytes       
[  4]   2.00-3.01   sec   318 KBytes  2.59 Mbits/sec    0    100 KBytes       
[  4]   3.01-4.00   sec   318 KBytes  2.62 Mbits/sec    0    112 KBytes       
[  4]   4.00-5.00   sec   255 KBytes  2.08 Mbits/sec    0    123 KBytes       
[  4]   5.00-6.00   sec   382 KBytes  3.13 Mbits/sec    0    147 KBytes       
[  4]   6.00-7.00   sec   382 KBytes  3.12 Mbits/sec    0    182 KBytes       
[  4]   7.00-8.00   sec   445 KBytes  3.65 Mbits/sec    0    229 KBytes       
[  4]   8.00-9.00   sec   636 KBytes  5.21 Mbits/sec    0    308 KBytes       
[  4]   9.00-10.00  sec   954 KBytes  7.83 Mbits/sec    0    427 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec   25    356 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec   50    303 KBytes       
[  4]  12.00-13.00  sec   573 KBytes  4.69 Mbits/sec    2    297 KBytes       
[  4]  13.00-14.00  sec  63.6 KBytes   522 Kbits/sec    0    214 KBytes       
[  4]  14.00-15.00  sec   573 KBytes  4.69 Mbits/sec    0    223 KBytes       
[  4]  15.00-16.00  sec   127 KBytes  1.04 Mbits/sec    0    235 KBytes       
[  4]  16.00-17.00  sec   191 KBytes  1.57 Mbits/sec    0    243 KBytes       
[  4]  17.00-18.00  sec   191 KBytes  1.56 Mbits/sec    0    250 KBytes       
[  4]  18.00-19.00  sec   191 KBytes  1.56 Mbits/sec    2    249 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0    191 KBytes       
[  4]  20.00-21.00  sec   382 KBytes  3.13 Mbits/sec    0    184 KBytes       
[  4]  21.00-22.00  sec   191 KBytes  1.56 Mbits/sec    0    197 KBytes       
[  4]  22.00-23.00  sec   127 KBytes  1.04 Mbits/sec    0    206 KBytes       
[  4]  23.00-24.00  sec   255 KBytes  2.08 Mbits/sec    0    212 KBytes       
[  4]  24.00-25.00  sec   127 KBytes  1.04 Mbits/sec    0    214 KBytes       
[  4]  25.00-26.00  sec   191 KBytes  1.56 Mbits/sec    0    216 KBytes       
[  4]  26.00-27.01  sec   127 KBytes  1.03 Mbits/sec    0    221 KBytes       
[  4]  27.01-28.00  sec  63.6 KBytes   525 Kbits/sec    5    197 KBytes       
[  4]  28.00-29.00  sec   191 KBytes  1.56 Mbits/sec    0    156 KBytes       
[  4]  29.00-30.00  sec   255 KBytes  2.09 Mbits/sec    0    175 KBytes       
[  4]  30.00-31.00  sec   127 KBytes  1.04 Mbits/sec    0    195 KBytes       
[  4]  31.00-32.00  sec   191 KBytes  1.56 Mbits/sec    0    209 KBytes       
[  4]  32.00-33.00  sec   191 KBytes  1.56 Mbits/sec    0    216 KBytes       
[  4]  33.00-34.00  sec   191 KBytes  1.56 Mbits/sec    0    221 KBytes       
[  4]  34.00-35.00  sec   255 KBytes  2.09 Mbits/sec    0    222 KBytes       
[  4]  35.00-36.00  sec   127 KBytes  1.04 Mbits/sec    0    226 KBytes       
[  4]  36.00-37.00  sec   191 KBytes  1.56 Mbits/sec    0    235 KBytes       
[  4]  37.00-38.00  sec   191 KBytes  1.56 Mbits/sec    0    249 KBytes       
[  4]  38.00-39.00  sec   191 KBytes  1.56 Mbits/sec    0    270 KBytes       
[  4]  39.00-40.00  sec   255 KBytes  2.08 Mbits/sec    0    314 KBytes       
[  4]  40.00-40.00  sec  0.00 Bytes  0.00 bits/sec    0    314 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-40.00  sec  10.1 MBytes  2.12 Mbits/sec   84             sender
[  4]   0.00-40.00  sec  7.93 MBytes  1.66 Mbits/sec                  receiver

iperf Done.
