Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  82.0 KBytes   671 Kbits/sec    1   14.1 KBytes       
[  4]   1.00-2.01   sec  87.7 KBytes   714 Kbits/sec    0   28.3 KBytes       
[  4]   2.01-3.00   sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[  4]   3.00-4.02   sec   119 KBytes   955 Kbits/sec    0   42.4 KBytes       
[  4]   4.02-5.00   sec  0.00 Bytes  0.00 bits/sec    0   42.4 KBytes       
[  4]   5.00-6.00   sec  70.7 KBytes   579 Kbits/sec    4   35.4 KBytes       
[  4]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec    0   35.4 KBytes       
[  4]   7.00-8.02   sec  63.6 KBytes   513 Kbits/sec    0   38.2 KBytes       
[  4]   8.02-9.00   sec  0.00 Bytes  0.00 bits/sec    0   38.2 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0   43.8 KBytes       
[  4]  10.00-11.00  sec  63.6 KBytes   523 Kbits/sec    0   48.1 KBytes       
[  4]  11.00-12.08  sec  0.00 Bytes  0.00 bits/sec    0   48.1 KBytes       
[  4]  12.08-13.03  sec   127 KBytes  1.10 Mbits/sec    0   59.4 KBytes       
[  4]  13.03-14.04  sec  0.00 Bytes  0.00 bits/sec    0   59.4 KBytes       
[  4]  14.04-15.00  sec   191 KBytes  1.62 Mbits/sec    0   89.1 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    0   90.5 KBytes       
[  4]  16.00-17.00  sec   191 KBytes  1.57 Mbits/sec    0    112 KBytes       
[  4]  17.00-18.00  sec   191 KBytes  1.56 Mbits/sec    0    136 KBytes       
[  4]  18.00-19.01  sec  0.00 Bytes  0.00 bits/sec    0    136 KBytes       
[  4]  19.01-20.02  sec   445 KBytes  3.61 Mbits/sec    0    201 KBytes       
[  4]  20.02-21.00  sec  0.00 Bytes  0.00 bits/sec    0    201 KBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    5    140 KBytes       
[  4]  22.00-23.01  sec  0.00 Bytes  0.00 bits/sec    0    140 KBytes       
[  4]  23.01-24.00  sec   382 KBytes  3.15 Mbits/sec    0    167 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0    167 KBytes       
[  4]  25.00-26.00  sec   127 KBytes  1.04 Mbits/sec    0    188 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0    188 KBytes       
[  4]  27.00-28.00  sec   191 KBytes  1.56 Mbits/sec    0    195 KBytes       
