Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.01   sec  96.2 KBytes   783 Kbits/sec    0   28.3 KBytes       
[  4]   1.01-2.01   sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[  4]   2.01-3.00   sec  46.7 KBytes   384 Kbits/sec    0   43.8 KBytes       
[  4]   3.00-4.00   sec  52.3 KBytes   429 Kbits/sec    0   45.2 KBytes       
[  4]   4.00-5.00   sec  49.5 KBytes   406 Kbits/sec    0   49.5 KBytes       
[  4]   5.00-6.00   sec  59.4 KBytes   487 Kbits/sec    0   59.4 KBytes       
[  4]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec    0   59.4 KBytes       
[  4]   7.00-8.01   sec  74.9 KBytes   610 Kbits/sec    0   96.2 KBytes       
[  4]   8.01-9.00   sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  4]   9.00-10.03  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  4]  10.03-11.00  sec   136 KBytes  1.15 Mbits/sec    0    103 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0    103 KBytes       
[  4]  12.00-13.00  sec  31.1 KBytes   255 Kbits/sec    0    103 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0    154 KBytes       
[  4]  14.00-15.00  sec  77.8 KBytes   639 Kbits/sec    0    168 KBytes       
[  4]  15.00-16.31  sec  74.9 KBytes   468 Kbits/sec    0    168 KBytes       
[  4]  16.31-17.00  sec  0.00 Bytes  0.00 bits/sec    0    168 KBytes       
[  4]  17.00-18.00  sec   150 KBytes  1.23 Mbits/sec    0    168 KBytes       
[  4]  18.00-19.00  sec  74.9 KBytes   614 Kbits/sec    0    168 KBytes       
[  4]  19.00-20.00  sec   153 KBytes  1.25 Mbits/sec    0    168 KBytes       
[  4]  20.00-21.00  sec  74.9 KBytes   615 Kbits/sec    0    168 KBytes       
[  4]  21.00-22.00  sec   150 KBytes  1.23 Mbits/sec    0    168 KBytes       
[  4]  22.00-23.00  sec  74.9 KBytes   614 Kbits/sec    0    168 KBytes       
[  4]  23.00-24.00  sec   150 KBytes  1.23 Mbits/sec    0    168 KBytes       
[  4]  24.00-25.00  sec  77.8 KBytes   637 Kbits/sec    0    168 KBytes       
[  4]  25.00-26.00  sec   150 KBytes  1.23 Mbits/sec    0    168 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0    168 KBytes       
[  4]  27.00-28.00  sec   150 KBytes  1.23 Mbits/sec    0    168 KBytes       
[  4]  28.00-29.00  sec  74.9 KBytes   614 Kbits/sec    0    168 KBytes       
[  4]  29.00-30.00  sec  74.9 KBytes   614 Kbits/sec    0    168 KBytes       
[  4]  30.00-31.00  sec  74.9 KBytes   614 Kbits/sec    0    168 KBytes       
[  4]  31.00-32.00  sec  77.8 KBytes   637 Kbits/sec    0    168 KBytes       
[  4]  32.00-33.00  sec   150 KBytes  1.23 Mbits/sec    0    168 KBytes       
[  4]  33.00-34.00  sec  74.9 KBytes   612 Kbits/sec    0    168 KBytes       
[  4]  34.00-35.00  sec   150 KBytes  1.23 Mbits/sec    0    168 KBytes       
[  4]  35.00-36.00  sec  74.9 KBytes   612 Kbits/sec    0    168 KBytes       
[  4]  36.00-37.00  sec  74.9 KBytes   615 Kbits/sec    0    168 KBytes       
[  4]  37.00-38.00  sec   150 KBytes  1.23 Mbits/sec    0    168 KBytes       
[  4]  38.00-39.00  sec  74.9 KBytes   615 Kbits/sec    0    168 KBytes       
[  4]  39.00-40.01  sec  74.9 KBytes   606 Kbits/sec    0    168 KBytes       
[  4]  40.01-41.00  sec   216 KBytes  1.79 Mbits/sec    0    168 KBytes       
[  4]  41.00-42.00  sec  74.9 KBytes   616 Kbits/sec    0    168 KBytes       
[  4]  42.00-43.00  sec  74.9 KBytes   614 Kbits/sec    0    168 KBytes       
[  4]  43.00-44.00  sec   158 KBytes  1.30 Mbits/sec    0    168 KBytes       
[  4]  44.00-45.08  sec   139 KBytes  1.05 Mbits/sec    1    168 KBytes       
[  4]  45.08-46.00  sec  0.00 Bytes  0.00 bits/sec    0    168 KBytes       
[  4]  46.00-47.00  sec  74.9 KBytes   614 Kbits/sec    0    168 KBytes       
[  4]  47.00-48.00  sec  0.00 Bytes  0.00 bits/sec    0    168 KBytes       
[  4]  48.00-49.01  sec  74.9 KBytes   609 Kbits/sec    0    168 KBytes       
[  4]  49.01-50.00  sec  74.9 KBytes   619 Kbits/sec    0    168 KBytes       
[  4]  50.00-51.00  sec   150 KBytes  1.23 Mbits/sec    0    168 KBytes       
[  4]  51.00-52.00  sec  74.9 KBytes   614 Kbits/sec    0    168 KBytes       
[  4]  52.00-53.00  sec  74.9 KBytes   614 Kbits/sec    0    168 KBytes       
[  4]  53.00-54.00  sec  77.8 KBytes   637 Kbits/sec    0    168 KBytes       
[  4]  54.00-55.00  sec  74.9 KBytes   614 Kbits/sec    0    168 KBytes       
[  4]  55.00-56.00  sec   150 KBytes  1.23 Mbits/sec    0    168 KBytes       
[  4]  56.00-57.03  sec  74.9 KBytes   599 Kbits/sec    0    168 KBytes       
[  4]  57.03-58.00  sec  80.6 KBytes   676 Kbits/sec    0    168 KBytes       
[  4]  58.00-59.02  sec   150 KBytes  1.21 Mbits/sec    0    168 KBytes       
[  4]  59.02-60.03  sec  74.9 KBytes   608 Kbits/sec    0    168 KBytes       
[  4]  60.03-61.00  sec  74.9 KBytes   632 Kbits/sec    0    168 KBytes       
[  4]  61.00-62.00  sec   153 KBytes  1.25 Mbits/sec    0    168 KBytes       
[  4]  62.00-63.03  sec  74.9 KBytes   600 Kbits/sec    0    168 KBytes       
[  4]  63.03-64.03  sec   150 KBytes  1.22 Mbits/sec    0    168 KBytes       
[  4]  64.03-65.00  sec   139 KBytes  1.17 Mbits/sec    0    168 KBytes       
[  4]  65.00-66.00  sec  74.9 KBytes   615 Kbits/sec    0    168 KBytes       
[  4]  66.00-67.00  sec   150 KBytes  1.23 Mbits/sec    0    168 KBytes       
[  4]  67.00-68.02  sec  74.9 KBytes   605 Kbits/sec    0    168 KBytes       
[  4]  68.02-69.00  sec  74.9 KBytes   624 Kbits/sec    0    168 KBytes       
[  4]  69.00-70.03  sec   150 KBytes  1.20 Mbits/sec    0    168 KBytes       
[  4]  70.03-71.00  sec  83.4 KBytes   701 Kbits/sec    0    168 KBytes       
[  4]  71.00-72.00  sec   150 KBytes  1.23 Mbits/sec    0    168 KBytes       
[  4]  72.00-73.01  sec  74.9 KBytes   610 Kbits/sec    0    168 KBytes       
[  4]  73.01-74.00  sec  74.9 KBytes   618 Kbits/sec    0    168 KBytes       
[  4]  74.00-75.03  sec   150 KBytes  1.20 Mbits/sec    0    168 KBytes       
[  4]  75.03-76.00  sec  74.9 KBytes   629 Kbits/sec    0    168 KBytes       
[  4]  76.00-77.00  sec  74.9 KBytes   613 Kbits/sec    1    168 KBytes       
[  4]  77.00-78.00  sec   156 KBytes  1.28 Mbits/sec    0    168 KBytes       
[  4]  78.00-79.00  sec  74.9 KBytes   614 Kbits/sec    0    168 KBytes       
[  4]  79.00-80.00  sec   150 KBytes  1.23 Mbits/sec    0    168 KBytes       
[  4]  80.00-81.00  sec  74.9 KBytes   613 Kbits/sec    0    168 KBytes       
[  4]  81.00-82.00  sec   150 KBytes  1.23 Mbits/sec    0    168 KBytes       
[  4]  82.00-83.00  sec  77.8 KBytes   638 Kbits/sec    0    168 KBytes       
[  4]  83.00-84.00  sec   153 KBytes  1.25 Mbits/sec    0    168 KBytes       
[  4]  84.00-85.00  sec  74.9 KBytes   613 Kbits/sec    0    168 KBytes       
[  4]  85.00-86.03  sec  74.9 KBytes   598 Kbits/sec    0    168 KBytes       
[  4]  86.03-87.02  sec  74.9 KBytes   620 Kbits/sec    1    168 KBytes       
[  4]  87.02-88.00  sec   153 KBytes  1.27 Mbits/sec    0    168 KBytes       
[  4]  88.00-89.02  sec   150 KBytes  1.21 Mbits/sec    0    168 KBytes       
[  4]  89.02-90.02  sec  74.9 KBytes   611 Kbits/sec    0    168 KBytes       
[  4]  90.02-91.00  sec   150 KBytes  1.25 Mbits/sec    0    168 KBytes       
[  4]  91.00-92.00  sec  74.9 KBytes   614 Kbits/sec    0    168 KBytes       
[  4]  92.00-93.00  sec  74.9 KBytes   614 Kbits/sec    0    168 KBytes       
[  4]  93.00-94.02  sec   150 KBytes  1.21 Mbits/sec    0    168 KBytes       
[  4]  94.02-95.03  sec   150 KBytes  1.22 Mbits/sec    0    168 KBytes       
[  4]  95.03-96.00  sec  74.9 KBytes   628 Kbits/sec    0    168 KBytes       
[  4]  96.00-97.01  sec   153 KBytes  1.25 Mbits/sec    0    168 KBytes       
[  4]  97.01-98.00  sec   141 KBytes  1.16 Mbits/sec    0    168 KBytes       
[  4]  98.00-99.00  sec  74.9 KBytes   613 Kbits/sec    0    168 KBytes       
[  4]  99.00-100.00 sec  74.9 KBytes   614 Kbits/sec    0    168 KBytes       
[  4] 100.00-101.01 sec  74.9 KBytes   608 Kbits/sec    0    168 KBytes       
[  4] 101.01-102.00 sec   150 KBytes  1.24 Mbits/sec    0    168 KBytes       
[  4] 102.00-103.01 sec   141 KBytes  1.16 Mbits/sec    0    168 KBytes       
[  4] 103.01-104.02 sec   150 KBytes  1.21 Mbits/sec    0    168 KBytes       
[  4] 104.02-105.03 sec  74.9 KBytes   605 Kbits/sec    0    168 KBytes       
[  4] 105.03-106.00 sec   150 KBytes  1.27 Mbits/sec    0    168 KBytes       
[  4] 106.00-107.00 sec  74.9 KBytes   614 Kbits/sec    0    168 KBytes       
[  4] 107.00-108.00 sec  83.4 KBytes   684 Kbits/sec    0    168 KBytes       
[  4] 108.00-109.00 sec   150 KBytes  1.23 Mbits/sec    0    168 KBytes       
