Connecting to host 10.0.0.2, port 5207
[  4] local 10.0.0.1 port 46122 connected to 10.0.0.2 port 5207
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   221 KBytes  1.81 Mbits/sec    0   49.5 KBytes       
[  4]   1.00-2.01   sec   157 KBytes  1.28 Mbits/sec    0   56.6 KBytes       
[  4]   2.01-3.00   sec   150 KBytes  1.23 Mbits/sec    0   65.0 KBytes       
[  4]   3.00-4.00   sec   182 KBytes  1.49 Mbits/sec    0   73.5 KBytes       
[  4]   4.00-5.00   sec  74.9 KBytes   614 Kbits/sec    0   77.8 KBytes       
[  4]   5.00-6.04   sec   156 KBytes  1.22 Mbits/sec    0    109 KBytes       
[  4]   6.04-7.00   sec   150 KBytes  1.28 Mbits/sec    0    109 KBytes       
[  4]   7.00-8.00   sec  77.8 KBytes   637 Kbits/sec    0    109 KBytes       
[  4]   8.00-9.00   sec   150 KBytes  1.23 Mbits/sec    0    109 KBytes       
[  4]   9.00-10.00  sec  74.9 KBytes   613 Kbits/sec    0    109 KBytes       
[  4]  10.00-11.00  sec   150 KBytes  1.23 Mbits/sec    0    109 KBytes       
[  4]  11.00-12.01  sec   150 KBytes  1.22 Mbits/sec    0    109 KBytes       
[  4]  12.01-13.00  sec   150 KBytes  1.24 Mbits/sec    0    110 KBytes       
[  4]  13.00-14.03  sec  74.9 KBytes   596 Kbits/sec    0    110 KBytes       
[  4]  14.03-15.00  sec   153 KBytes  1.29 Mbits/sec    0    110 KBytes       
[  4]  15.00-16.00  sec  77.8 KBytes   637 Kbits/sec    0    110 KBytes       
[  4]  16.00-17.02  sec   150 KBytes  1.21 Mbits/sec    0    110 KBytes       
[  4]  17.02-18.00  sec   150 KBytes  1.25 Mbits/sec    0    110 KBytes       
[  4]  18.00-19.00  sec  74.9 KBytes   615 Kbits/sec    0    110 KBytes       
[  4]  19.00-20.00  sec   150 KBytes  1.23 Mbits/sec    0    167 KBytes       
[  4]  20.00-21.00  sec  74.9 KBytes   615 Kbits/sec    0    188 KBytes       
[  4]  21.00-22.01  sec   153 KBytes  1.23 Mbits/sec    0    188 KBytes       
[  4]  22.01-23.00  sec  74.9 KBytes   623 Kbits/sec    0    188 KBytes       
[  4]  23.00-24.00  sec   150 KBytes  1.22 Mbits/sec    0    188 KBytes       
[  4]  24.00-25.02  sec  74.9 KBytes   604 Kbits/sec    0    188 KBytes       
[  4]  25.02-26.00  sec  74.9 KBytes   625 Kbits/sec    0    188 KBytes       
[  4]  26.00-27.00  sec   150 KBytes  1.23 Mbits/sec    0    188 KBytes       
[  4]  27.00-28.01  sec  74.9 KBytes   611 Kbits/sec    0    188 KBytes       
[  4]  28.01-29.02  sec   216 KBytes  1.75 Mbits/sec    0    188 KBytes       
[  4]  29.02-30.02  sec  74.9 KBytes   614 Kbits/sec    0    188 KBytes       
[  4]  30.02-31.01  sec  74.9 KBytes   622 Kbits/sec    0    188 KBytes       
[  4]  31.01-32.01  sec   150 KBytes  1.23 Mbits/sec    0    188 KBytes       
[  4]  32.01-33.01  sec  74.9 KBytes   613 Kbits/sec    0    188 KBytes       
[  4]  33.01-34.01  sec   153 KBytes  1.25 Mbits/sec    0    188 KBytes       
[  4]  34.01-35.01  sec  74.9 KBytes   616 Kbits/sec    0    188 KBytes       
[  4]  35.01-36.01  sec  74.9 KBytes   609 Kbits/sec    0    188 KBytes       
[  4]  36.01-37.01  sec   150 KBytes  1.24 Mbits/sec    0    188 KBytes       
[  4]  37.01-38.01  sec  74.9 KBytes   608 Kbits/sec    0    188 KBytes       
[  4]  38.01-39.01  sec  74.9 KBytes   619 Kbits/sec    0    188 KBytes       
[  4]  39.01-40.02  sec  74.9 KBytes   608 Kbits/sec    0    188 KBytes       
[  4]  40.02-41.01  sec  74.9 KBytes   620 Kbits/sec    0    188 KBytes       
[  4]  41.01-42.01  sec   150 KBytes  1.23 Mbits/sec    0    188 KBytes       
[  4]  42.01-43.01  sec  74.9 KBytes   615 Kbits/sec    0    188 KBytes       
[  4]  43.01-44.01  sec   150 KBytes  1.23 Mbits/sec    0    188 KBytes       
[  4]  44.01-45.01  sec  74.9 KBytes   612 Kbits/sec    0    188 KBytes       
[  4]  45.01-46.02  sec  74.9 KBytes   608 Kbits/sec    0    188 KBytes       
[  4]  46.02-47.02  sec  74.9 KBytes   616 Kbits/sec    0    188 KBytes       
[  4]  47.02-48.02  sec  74.9 KBytes   612 Kbits/sec    0    188 KBytes       
[  4]  48.02-49.02  sec  74.9 KBytes   612 Kbits/sec    0    188 KBytes       
[  4]  49.02-50.02  sec  74.9 KBytes   615 Kbits/sec    0    188 KBytes       
[  4]  50.02-51.02  sec  74.9 KBytes   612 Kbits/sec    0    188 KBytes       
[  4]  51.02-52.02  sec  74.9 KBytes   613 Kbits/sec    0    188 KBytes       
[  4]  52.02-53.03  sec  77.8 KBytes   635 Kbits/sec    0    188 KBytes       
[  4]  53.03-54.02  sec  74.9 KBytes   616 Kbits/sec    0    188 KBytes       
[  4]  54.02-55.03  sec  74.9 KBytes   609 Kbits/sec    0    188 KBytes       
[  4]  55.03-56.03  sec  0.00 Bytes  0.00 bits/sec    0    188 KBytes       
