Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   693 KBytes  5.68 Mbits/sec    0   59.4 KBytes       
[  4]   1.00-2.00   sec   573 KBytes  4.69 Mbits/sec    0   79.2 KBytes       
[  4]   2.00-3.00   sec   445 KBytes  3.65 Mbits/sec    0   96.2 KBytes       
[  4]   3.00-4.00   sec   573 KBytes  4.69 Mbits/sec    0    119 KBytes       
[  4]   4.00-5.00   sec   573 KBytes  4.69 Mbits/sec    0    141 KBytes       
[  4]   5.00-6.00   sec   700 KBytes  5.73 Mbits/sec    0    171 KBytes       
[  4]   6.00-7.00   sec   764 KBytes  6.25 Mbits/sec    0    204 KBytes       
[  4]   7.00-8.00   sec  1.06 MBytes  8.86 Mbits/sec    0    286 KBytes       
[  4]   8.00-9.00   sec  1.12 MBytes  9.39 Mbits/sec    0    382 KBytes       
[  4]   9.00-10.00  sec  1.37 MBytes  11.5 Mbits/sec    0    506 KBytes       
[  4]  10.00-11.00  sec  1.37 MBytes  11.5 Mbits/sec    0    634 KBytes       
[  4]  11.00-12.00  sec  1.25 MBytes  10.5 Mbits/sec    0    789 KBytes       
[  4]  12.00-13.00  sec  1.98 MBytes  16.6 Mbits/sec    0    983 KBytes       
[  4]  13.00-14.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.19 MBytes       
[  4]  14.00-15.00  sec  1.25 MBytes  10.5 Mbits/sec  101   1007 KBytes       
[  4]  15.00-16.00  sec   176 KBytes  1.44 Mbits/sec  101    909 KBytes       
[  4]  16.00-17.00  sec  1.12 MBytes  9.38 Mbits/sec    0    909 KBytes       
[  4]  17.00-18.00  sec  1.25 MBytes  10.5 Mbits/sec    0    945 KBytes       
[  4]  18.00-19.00  sec  1.25 MBytes  10.5 Mbits/sec    3    998 KBytes       
[  4]  19.00-20.00  sec   749 KBytes  6.13 Mbits/sec    0    998 KBytes       
[  4]  20.00-21.00  sec   573 KBytes  4.69 Mbits/sec    0   1001 KBytes       
[  4]  21.00-22.00  sec   827 KBytes  6.78 Mbits/sec    0   1007 KBytes       
[  4]  22.00-23.00  sec   764 KBytes  6.25 Mbits/sec    0   1022 KBytes       
[  4]  23.00-24.00  sec   445 KBytes  3.65 Mbits/sec    0   1.01 MBytes       
[  4]  24.00-25.00  sec   764 KBytes  6.26 Mbits/sec    0   1.05 MBytes       
[  4]  25.00-26.00  sec   764 KBytes  6.25 Mbits/sec    0   1.11 MBytes       
[  4]  26.00-27.00  sec   509 KBytes  4.17 Mbits/sec    0   1.16 MBytes       
[  4]  27.00-28.00  sec   827 KBytes  6.78 Mbits/sec    0   1.27 MBytes       
[  4]  28.00-29.00  sec  1.12 MBytes  9.39 Mbits/sec    0   1.37 MBytes       
[  4]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.50 MBytes       
[  4]  30.00-31.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.69 MBytes       
[  4]  31.00-32.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.84 MBytes       
[  4]  32.00-33.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.09 MBytes       
[  4]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.35 MBytes       
[  4]  34.00-35.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.53 MBytes       
[  4]  35.00-36.00  sec  1.25 MBytes  10.5 Mbits/sec  173   2.13 MBytes       
[  4]  36.00-37.00  sec  1.25 MBytes  10.5 Mbits/sec  124   1.83 MBytes       
[  4]  37.00-38.00  sec  1023 KBytes  8.38 Mbits/sec  180   1.83 MBytes       
[  4]  38.00-39.00  sec   382 KBytes  3.13 Mbits/sec  287   1.58 MBytes       
[  4]  39.00-40.00  sec   764 KBytes  6.25 Mbits/sec   27   1.53 MBytes       
[  4]  40.00-41.00  sec   127 KBytes  1.04 Mbits/sec    1   1.41 KBytes       
[  4]  41.00-42.00  sec   255 KBytes  2.08 Mbits/sec  176    233 KBytes       
[  4]  42.00-43.00  sec  1.25 MBytes  10.5 Mbits/sec    9   1.96 MBytes       
[  4]  43.00-44.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.01 MBytes       
[  4]  44.00-45.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.07 MBytes       
[  4]  45.00-46.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.12 MBytes       
[  4]  46.00-47.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.16 MBytes       
[  4]  47.00-48.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.21 MBytes       
[  4]  48.00-49.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.27 MBytes       
[  4]  49.00-50.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.31 MBytes       
[  4]  50.00-51.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.36 MBytes       
[  4]  51.00-52.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.40 MBytes       
[  4]  52.00-52.00  sec  0.00 Bytes  0.00 bits/sec    0   2.40 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-52.00  sec  50.8 MBytes  8.20 Mbits/sec  1182             sender
[  4]   0.00-52.00  sec  38.5 MBytes  6.21 Mbits/sec                  receiver

iperf Done.
