Connecting to host 10.0.0.2, port 5208
[  4] local 10.0.0.1 port 46124 connected to 10.0.0.2 port 5208
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  82.0 KBytes   672 Kbits/sec    0   14.1 KBytes       
[  4]   1.00-2.00   sec  14.1 KBytes   116 Kbits/sec    0   28.3 KBytes       
[  4]   2.00-3.00   sec   215 KBytes  1.76 Mbits/sec    0   43.8 KBytes       
[  4]   3.00-4.00   sec  63.6 KBytes   521 Kbits/sec    0   45.2 KBytes       
[  4]   4.00-5.00   sec  63.6 KBytes   521 Kbits/sec    0   49.5 KBytes       
[  4]   5.00-6.00   sec  0.00 Bytes  0.00 bits/sec    2   33.9 KBytes       
[  4]   6.00-7.00   sec  63.6 KBytes   522 Kbits/sec    0   38.2 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    0   38.2 KBytes       
[  4]   8.00-9.00   sec  63.6 KBytes   521 Kbits/sec    0   45.2 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0   48.1 KBytes       
[  4]  10.00-11.00  sec  63.6 KBytes   521 Kbits/sec    0   50.9 KBytes       
[  4]  11.00-12.00  sec   127 KBytes  1.04 Mbits/sec    0   58.0 KBytes       
[  4]  12.00-13.00  sec   127 KBytes  1.04 Mbits/sec    0   70.7 KBytes       
[  4]  13.00-14.01  sec   191 KBytes  1.55 Mbits/sec    0   96.2 KBytes       
[  4]  14.01-15.00  sec  0.00 Bytes  0.00 bits/sec    0   97.6 KBytes       
[  4]  15.00-16.00  sec   318 KBytes  2.61 Mbits/sec    0    144 KBytes       
[  4]  16.00-17.00  sec   573 KBytes  4.69 Mbits/sec    0    212 KBytes       
[  4]  17.00-18.00  sec   764 KBytes  6.26 Mbits/sec    0    311 KBytes       
[  4]  18.00-19.00  sec  1.06 MBytes  8.86 Mbits/sec    2    447 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec   34    366 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec   62    315 KBytes       
[  4]  21.00-22.00  sec   382 KBytes  3.13 Mbits/sec    1    315 KBytes       
[  4]  22.00-23.00  sec   573 KBytes  4.69 Mbits/sec    0    345 KBytes       
[  4]  23.00-24.00  sec   318 KBytes  2.60 Mbits/sec    0    386 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec   25    270 KBytes       
[  4]  25.00-26.01  sec  0.00 Bytes  0.00 bits/sec    5    270 KBytes       
[  4]  26.01-27.00  sec   573 KBytes  4.73 Mbits/sec    0    272 KBytes       
[  4]  27.00-28.00  sec   445 KBytes  3.65 Mbits/sec    0    300 KBytes       
[  4]  28.00-29.00  sec   382 KBytes  3.13 Mbits/sec    0    318 KBytes       
[  4]  29.00-30.00  sec   318 KBytes  2.61 Mbits/sec    0    324 KBytes       
[  4]  30.00-31.00  sec   382 KBytes  3.13 Mbits/sec    0    327 KBytes       
[  4]  31.00-32.00  sec   255 KBytes  2.09 Mbits/sec    0    328 KBytes       
[  4]  32.00-33.00  sec   318 KBytes  2.61 Mbits/sec    0    332 KBytes       
[  4]  33.00-34.00  sec   445 KBytes  3.65 Mbits/sec    0    344 KBytes       
[  4]  34.00-35.00  sec   382 KBytes  3.13 Mbits/sec    0    362 KBytes       
[  4]  35.00-36.00  sec   382 KBytes  3.13 Mbits/sec    0    392 KBytes       
[  4]  36.00-37.00  sec   318 KBytes  2.61 Mbits/sec    0    438 KBytes       
[  4]  37.00-38.00  sec   191 KBytes  1.56 Mbits/sec    0    464 KBytes       
[  4]  38.00-39.00  sec   700 KBytes  5.73 Mbits/sec    3    519 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec   68    369 KBytes       
[  4]  40.00-41.00  sec   382 KBytes  3.13 Mbits/sec    0    369 KBytes       
[  4]  41.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0    369 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-41.00  sec  10.3 MBytes  2.11 Mbits/sec  202             sender
[  4]   0.00-41.00  sec  8.17 MBytes  1.67 Mbits/sec                  receiver

iperf Done.
