Connecting to host 10.0.0.2, port 5203
[  4] local 10.0.0.1 port 46114 connected to 10.0.0.2 port 5203
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   215 KBytes  1.76 Mbits/sec    0   18.4 KBytes       
[  4]   1.00-2.00   sec   214 KBytes  1.75 Mbits/sec    0   25.5 KBytes       
[  4]   2.00-3.00   sec   127 KBytes  1.04 Mbits/sec    0   31.1 KBytes       
[  4]   3.00-4.00   sec   191 KBytes  1.56 Mbits/sec    0   41.0 KBytes       
[  4]   4.00-5.00   sec   255 KBytes  2.08 Mbits/sec    0   67.9 KBytes       
[  4]   5.00-6.00   sec   382 KBytes  3.13 Mbits/sec    0    107 KBytes       
[  4]   6.00-7.00   sec   382 KBytes  3.13 Mbits/sec    0    154 KBytes       
[  4]   7.00-8.00   sec   445 KBytes  3.65 Mbits/sec    0    211 KBytes       
[  4]   8.00-9.00   sec   636 KBytes  5.22 Mbits/sec    0    296 KBytes       
[  4]   9.00-10.00  sec   318 KBytes  2.60 Mbits/sec    0    335 KBytes       
[  4]  10.00-11.00  sec   764 KBytes  6.26 Mbits/sec    0    438 KBytes       
[  4]  11.00-12.00  sec   445 KBytes  3.65 Mbits/sec    0    502 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   32    430 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec   65    351 KBytes       
[  4]  14.00-15.00  sec   127 KBytes  1.04 Mbits/sec   19    351 KBytes       
[  4]  15.00-16.00  sec  63.6 KBytes   522 Kbits/sec   74    270 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec   63    351 KBytes       
[  4]  17.00-18.00  sec   255 KBytes  2.09 Mbits/sec   26    167 KBytes       
[  4]  18.00-19.00  sec   827 KBytes  6.77 Mbits/sec    0    245 KBytes       
[  4]  19.00-20.00  sec  63.6 KBytes   521 Kbits/sec    0    247 KBytes       
[  4]  20.00-21.00  sec   191 KBytes  1.56 Mbits/sec    0    257 KBytes       
[  4]  21.00-22.00  sec   191 KBytes  1.56 Mbits/sec    0    277 KBytes       
[  4]  22.00-23.00  sec   127 KBytes  1.04 Mbits/sec    0    283 KBytes       
[  4]  23.00-24.00  sec   191 KBytes  1.56 Mbits/sec    0    290 KBytes       
[  4]  24.00-25.00  sec  63.6 KBytes   521 Kbits/sec    0    291 KBytes       
[  4]  25.00-26.00  sec   191 KBytes  1.56 Mbits/sec    0    296 KBytes       
[  4]  26.00-27.00  sec   127 KBytes  1.04 Mbits/sec    0    300 KBytes       
[  4]  27.00-28.00  sec   191 KBytes  1.57 Mbits/sec    0    313 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0    313 KBytes       
[  4]  29.00-30.00  sec   191 KBytes  1.56 Mbits/sec    0    358 KBytes       
[  4]  30.00-31.00  sec  63.6 KBytes   521 Kbits/sec    0    370 KBytes       
[  4]  31.00-32.00  sec   127 KBytes  1.04 Mbits/sec    0    419 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec   19    329 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec   29    294 KBytes       
[  4]  34.00-35.00  sec   191 KBytes  1.56 Mbits/sec   10    294 KBytes       
[  4]  35.00-36.00  sec   255 KBytes  2.09 Mbits/sec   45    259 KBytes       
[  4]  36.00-37.00  sec  63.6 KBytes   521 Kbits/sec   41    205 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    2    205 KBytes       
[  4]  38.00-39.00  sec  63.6 KBytes   522 Kbits/sec   24    205 KBytes       
[  4]  39.00-40.00  sec  63.6 KBytes   521 Kbits/sec   11    197 KBytes       
[  4]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec   11    205 KBytes       
[  4]  41.00-42.00  sec   382 KBytes  3.12 Mbits/sec   12    154 KBytes       
[  4]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec    0    143 KBytes       
[  4]  43.00-44.00  sec   700 KBytes  5.73 Mbits/sec    0    151 KBytes       
[  4]  44.00-45.00  sec   127 KBytes  1.04 Mbits/sec    0    160 KBytes       
[  4]  45.00-46.00  sec   127 KBytes  1.04 Mbits/sec    0    168 KBytes       
[  4]  46.00-47.00  sec   191 KBytes  1.56 Mbits/sec    0    173 KBytes       
[  4]  47.00-48.00  sec   191 KBytes  1.56 Mbits/sec    0    174 KBytes       
[  4]  48.00-49.00  sec  63.6 KBytes   522 Kbits/sec    0    175 KBytes       
[  4]  49.00-50.00  sec   127 KBytes  1.04 Mbits/sec    0    182 KBytes       
[  4]  50.00-51.00  sec   191 KBytes  1.56 Mbits/sec    0    198 KBytes       
[  4]  51.00-52.00  sec   318 KBytes  2.61 Mbits/sec    0    235 KBytes       
[  4]  52.00-52.00  sec  0.00 Bytes  0.00 bits/sec    0    235 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-52.00  sec  10.2 MBytes  1.64 Mbits/sec  483             sender
[  4]   0.00-52.00  sec  7.55 MBytes  1.22 Mbits/sec                  receiver

iperf Done.
