Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  2.39 MBytes  20.1 Mbits/sec    0    229 KBytes       
[  4]   1.00-2.00   sec  1.30 MBytes  10.9 Mbits/sec    0    283 KBytes       
[  4]   2.00-3.00   sec  1.24 MBytes  10.4 Mbits/sec    0    334 KBytes       
[  4]   3.00-4.00   sec  1.24 MBytes  10.4 Mbits/sec    0    383 KBytes       
[  4]   4.00-5.00   sec  1.18 MBytes  9.90 Mbits/sec    0    430 KBytes       
[  4]   5.00-6.00   sec  1.24 MBytes  10.4 Mbits/sec    0    481 KBytes       
[  4]   6.00-7.00   sec  1.24 MBytes  10.4 Mbits/sec    0    529 KBytes       
[  4]   7.00-8.00   sec  1.12 MBytes  9.38 Mbits/sec    0    576 KBytes       
[  4]   8.00-9.00   sec  1.30 MBytes  10.9 Mbits/sec    0    626 KBytes       
[  4]   9.00-10.00  sec   954 KBytes  7.82 Mbits/sec    0    666 KBytes       
[  4]  10.00-11.00  sec  1.25 MBytes  10.5 Mbits/sec    0    778 KBytes       
[  4]  11.00-12.00  sec  1.25 MBytes  10.5 Mbits/sec    0    936 KBytes       
[  4]  12.00-13.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.07 MBytes       
[  4]  13.00-14.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.29 MBytes       
[  4]  14.00-15.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.55 MBytes       
[  4]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.73 MBytes       
[  4]  16.00-17.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.12 MBytes       
[  4]  17.00-18.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.42 MBytes       
[  4]  18.00-19.00  sec  1.25 MBytes  10.5 Mbits/sec  142   2.10 MBytes       
[  4]  19.00-20.00  sec  1.25 MBytes  10.5 Mbits/sec  287   1.69 MBytes       
[  4]  20.00-21.00  sec   675 KBytes  5.53 Mbits/sec  122   1.69 MBytes       
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec  387   1.60 MBytes       
[  4]  22.00-23.00  sec   891 KBytes  7.30 Mbits/sec  293    830 KBytes       
[  4]  23.00-24.00  sec  1.24 MBytes  10.4 Mbits/sec  101    594 KBytes       
[  4]  24.00-25.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.12 MBytes       
[  4]  25.00-26.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.21 MBytes       
[  4]  26.00-27.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.25 MBytes       
[  4]  27.00-28.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.30 MBytes       
[  4]  28.00-29.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.33 MBytes       
[  4]  29.00-30.00  sec  1.02 MBytes  8.56 Mbits/sec    0   1.38 MBytes       
[  4]  30.00-31.00  sec   382 KBytes  3.13 Mbits/sec    0   1.39 MBytes       
[  4]  31.00-32.00  sec  1.06 MBytes  8.86 Mbits/sec    0   1.42 MBytes       
[  4]  32.00-33.00  sec   318 KBytes  2.61 Mbits/sec    0   1.42 MBytes       
[  4]  33.00-34.00  sec  1.18 MBytes  9.90 Mbits/sec    0   1.43 MBytes       
[  4]  34.00-35.00  sec   255 KBytes  2.09 Mbits/sec    0   1.43 MBytes       
[  4]  35.00-36.00  sec  1.12 MBytes  9.37 Mbits/sec    0   1.44 MBytes       
[  4]  36.00-37.00  sec   318 KBytes  2.61 Mbits/sec    0   1.45 MBytes       
[  4]  37.00-38.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.48 MBytes       
[  4]  38.00-39.00  sec   318 KBytes  2.61 Mbits/sec    0   1.49 MBytes       
[  4]  39.00-40.00  sec  1.06 MBytes  8.87 Mbits/sec    0   1.55 MBytes       
[  4]  40.00-41.00  sec   382 KBytes  3.13 Mbits/sec    0   1.58 MBytes       
[  4]  41.00-42.00  sec   891 KBytes  7.30 Mbits/sec    0   1.69 MBytes       
[  4]  42.00-43.00  sec   636 KBytes  5.20 Mbits/sec    0   1.77 MBytes       
[  4]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec   37   1.59 MBytes       
[  4]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec   88   1.24 MBytes       
[  4]  45.00-46.00  sec   127 KBytes  1.04 Mbits/sec    7   1.24 MBytes       
[  4]  46.00-47.00  sec  63.6 KBytes   521 Kbits/sec   78   1.24 MBytes       
[  4]  47.00-48.00  sec  1.25 MBytes  10.5 Mbits/sec   58   1.07 MBytes       
[  4]  48.00-49.00  sec   756 KBytes  6.20 Mbits/sec   90    889 KBytes       
[  4]  49.00-50.00  sec  1.25 MBytes  10.5 Mbits/sec    0    891 KBytes       
[  4]  50.00-51.00  sec  1.25 MBytes  10.5 Mbits/sec    1    766 KBytes       
[  4]  51.00-52.00  sec  1.25 MBytes  10.5 Mbits/sec    0    636 KBytes       
[  4]  52.00-53.00  sec   805 KBytes  6.60 Mbits/sec    0    646 KBytes       
[  4]  53.00-54.00  sec   636 KBytes  5.20 Mbits/sec    0    682 KBytes       
[  4]  54.00-55.00  sec   636 KBytes  5.23 Mbits/sec    0    718 KBytes       
