Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  2.88 MBytes  24.1 Mbits/sec    0    328 KBytes       
[  4]   1.00-2.00   sec  1.24 MBytes  10.4 Mbits/sec    0    378 KBytes       
[  4]   2.00-3.00   sec  1.30 MBytes  10.9 Mbits/sec    0    430 KBytes       
[  4]   3.00-4.00   sec  1.24 MBytes  10.4 Mbits/sec    0    481 KBytes       
[  4]   4.00-5.00   sec  1.24 MBytes  10.4 Mbits/sec    0    530 KBytes       
[  4]   5.00-6.00   sec  1.24 MBytes  10.4 Mbits/sec    0    580 KBytes       
[  4]   6.00-7.00   sec  1.18 MBytes  9.89 Mbits/sec    0    628 KBytes       
[  4]   7.00-8.00   sec  1.24 MBytes  10.4 Mbits/sec    0    676 KBytes       
[  4]   8.00-9.00   sec  1018 KBytes  8.34 Mbits/sec    0    717 KBytes       
[  4]   9.00-10.00  sec  1.06 MBytes  8.86 Mbits/sec    0    761 KBytes       
[  4]  10.00-11.00  sec  1.25 MBytes  10.5 Mbits/sec    0    857 KBytes       
[  4]  11.00-12.00  sec  1.25 MBytes  10.5 Mbits/sec    0    986 KBytes       
[  4]  12.00-13.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.13 MBytes       
[  4]  13.00-14.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.38 MBytes       
[  4]  14.00-15.00  sec  1.14 MBytes  9.61 Mbits/sec    0   1.48 MBytes       
[  4]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.88 MBytes       
[  4]  16.00-17.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.00 MBytes       
[  4]  17.00-18.00  sec  1.25 MBytes  10.5 Mbits/sec  188   1.54 MBytes       
[  4]  18.00-19.00  sec   360 KBytes  2.95 Mbits/sec  176   1.41 MBytes       
[  4]  19.00-20.00  sec  63.6 KBytes   522 Kbits/sec   62   1.41 MBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec  288   1.34 MBytes       
[  4]  21.00-22.00  sec  1.24 MBytes  10.4 Mbits/sec  324   1.24 MBytes       
[  4]  22.00-23.00  sec   445 KBytes  3.65 Mbits/sec   48    629 KBytes       
[  4]  23.00-24.00  sec  2.50 MBytes  21.0 Mbits/sec   46   1011 KBytes       
[  4]  24.00-25.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.02 MBytes       
