Connecting to host 10.0.0.2, port 5205
[  4] local 10.0.0.1 port 46118 connected to 10.0.0.2 port 5205
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   204 KBytes  1.67 Mbits/sec    0   17.0 KBytes       
[  4]   1.00-2.00   sec  73.5 KBytes   603 Kbits/sec    0   19.8 KBytes       
[  4]   2.00-3.00   sec  67.9 KBytes   556 Kbits/sec    0   24.0 KBytes       
[  4]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   36.8 KBytes       
[  4]   4.00-5.00   sec   255 KBytes  2.08 Mbits/sec    0   59.4 KBytes       
[  4]   5.00-6.00   sec   318 KBytes  2.61 Mbits/sec    0    100 KBytes       
[  4]   6.00-7.00   sec   318 KBytes  2.61 Mbits/sec    0    140 KBytes       
[  4]   7.00-8.00   sec   509 KBytes  4.17 Mbits/sec    0    206 KBytes       
[  4]   8.00-9.00   sec   127 KBytes  1.04 Mbits/sec    0    226 KBytes       
[  4]   9.00-10.00  sec   636 KBytes  5.21 Mbits/sec    0    310 KBytes       
[  4]  10.00-11.00  sec   255 KBytes  2.08 Mbits/sec    0    339 KBytes       
[  4]  11.00-12.00  sec   891 KBytes  7.29 Mbits/sec    0    464 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   18    426 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec   37    342 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec   57    324 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec   94    219 KBytes       
[  4]  16.00-17.00  sec   255 KBytes  2.09 Mbits/sec    7    164 KBytes       
[  4]  17.00-18.00  sec  63.6 KBytes   521 Kbits/sec   24    130 KBytes       
[  4]  18.00-19.00  sec   127 KBytes  1.04 Mbits/sec    0    130 KBytes       
[  4]  19.00-20.00  sec   445 KBytes  3.65 Mbits/sec    0    226 KBytes       
[  4]  20.00-21.00  sec   255 KBytes  2.09 Mbits/sec    0    238 KBytes       
[  4]  21.00-22.00  sec  63.6 KBytes   521 Kbits/sec    0    243 KBytes       
[  4]  22.00-23.00  sec   191 KBytes  1.56 Mbits/sec    0    259 KBytes       
[  4]  23.00-24.00  sec   255 KBytes  2.09 Mbits/sec    0    267 KBytes       
[  4]  24.00-25.00  sec   255 KBytes  2.08 Mbits/sec    0    272 KBytes       
[  4]  25.00-26.00  sec   255 KBytes  2.09 Mbits/sec    0    274 KBytes       
[  4]  26.00-27.00  sec   191 KBytes  1.56 Mbits/sec    0    279 KBytes       
[  4]  27.00-28.00  sec  63.6 KBytes   521 Kbits/sec    0    281 KBytes       
[  4]  28.00-29.00  sec   318 KBytes  2.61 Mbits/sec    0    298 KBytes       
[  4]  29.00-30.00  sec   255 KBytes  2.08 Mbits/sec    0    335 KBytes       
[  4]  30.00-31.00  sec  63.6 KBytes   521 Kbits/sec    0    349 KBytes       
[  4]  31.00-32.00  sec   255 KBytes  2.09 Mbits/sec    0    417 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0    417 KBytes       
[  4]  33.00-34.00  sec  1.06 MBytes  8.85 Mbits/sec    0    592 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0    592 KBytes       
[  4]  35.00-36.00  sec  1.25 MBytes  10.5 Mbits/sec   28    713 KBytes       
[  4]  36.00-37.00  sec   120 KBytes   982 Kbits/sec   13    679 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec   51    564 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec  100    547 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec  155    471 KBytes       
[  4]  40.00-41.00  sec   509 KBytes  4.17 Mbits/sec   18    547 KBytes       
[  4]  41.00-42.00  sec   127 KBytes  1.04 Mbits/sec   60    530 KBytes       
[  4]  42.00-43.00  sec   318 KBytes  2.61 Mbits/sec    1    543 KBytes       
[  4]  43.00-43.00  sec  0.00 Bytes  0.00 bits/sec    0    543 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-43.00  sec  10.3 MBytes  2.01 Mbits/sec  663             sender
[  4]   0.00-43.00  sec  6.10 MBytes  1.19 Mbits/sec                  receiver

iperf Done.
