Connecting to host 10.0.0.2, port 5207
[  4] local 10.0.0.1 port 46122 connected to 10.0.0.2 port 5207
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   110 KBytes   903 Kbits/sec    0   15.6 KBytes       
[  4]   1.00-2.00   sec  90.5 KBytes   741 Kbits/sec    0   17.0 KBytes       
[  4]   2.00-3.00   sec  73.5 KBytes   602 Kbits/sec    0   22.6 KBytes       
[  4]   3.00-4.00   sec  63.6 KBytes   521 Kbits/sec    0   22.6 KBytes       
[  4]   4.00-5.00   sec   191 KBytes  1.56 Mbits/sec    0   50.9 KBytes       
[  4]   5.00-6.00   sec   191 KBytes  1.56 Mbits/sec    0   76.4 KBytes       
[  4]   6.00-7.00   sec   127 KBytes  1.04 Mbits/sec    0   96.2 KBytes       
[  4]   7.00-8.00   sec   127 KBytes  1.04 Mbits/sec    0    115 KBytes       
[  4]   8.00-9.00   sec   382 KBytes  3.13 Mbits/sec    0    163 KBytes       
[  4]   9.00-10.00  sec  63.6 KBytes   521 Kbits/sec    0    173 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    0    173 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec   38    122 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    0    122 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    9    122 KBytes       
[  4]  14.00-15.00  sec  63.6 KBytes   521 Kbits/sec   30    115 KBytes       
[  4]  15.00-16.00  sec   127 KBytes  1.04 Mbits/sec    0    109 KBytes       
[  4]  16.00-17.00  sec   191 KBytes  1.56 Mbits/sec    0   87.7 KBytes       
[  4]  17.00-18.00  sec   127 KBytes  1.04 Mbits/sec    0   96.2 KBytes       
[  4]  18.00-19.00  sec  63.6 KBytes   521 Kbits/sec    0    100 KBytes       
[  4]  19.00-20.00  sec   127 KBytes  1.04 Mbits/sec    0    102 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0    102 KBytes       
[  4]  21.00-22.00  sec   127 KBytes  1.04 Mbits/sec    0    106 KBytes       
[  4]  22.00-23.00  sec  63.6 KBytes   521 Kbits/sec    0    122 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0    123 KBytes       
[  4]  24.00-25.00  sec   127 KBytes  1.04 Mbits/sec    0    163 KBytes       
[  4]  25.00-26.00  sec   382 KBytes  3.13 Mbits/sec    0    223 KBytes       
[  4]  26.00-27.00  sec   191 KBytes  1.56 Mbits/sec    0    249 KBytes       
[  4]  27.00-28.00  sec   573 KBytes  4.69 Mbits/sec    0    318 KBytes       
[  4]  28.00-29.00  sec  1.12 MBytes  9.39 Mbits/sec    0    471 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0    471 KBytes       
[  4]  30.00-31.00  sec  1.74 MBytes  14.6 Mbits/sec    0    707 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0    707 KBytes       
[  4]  32.00-33.00  sec  2.49 MBytes  20.9 Mbits/sec    0   1.01 MBytes       
[  4]  33.00-34.00  sec   127 KBytes  1.04 Mbits/sec    0   1.04 MBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec   96    837 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec  141    744 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0    744 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec  215    635 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec  121    717 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec   12    690 KBytes       
[  4]  40.00-41.00  sec   827 KBytes  6.78 Mbits/sec   49    595 KBytes       
[  4]  41.00-42.00  sec   255 KBytes  2.09 Mbits/sec    8    157 KBytes       
[  4]  42.00-42.00  sec  0.00 Bytes  0.00 bits/sec    0    157 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-42.00  sec  10.0 MBytes  2.00 Mbits/sec  719             sender
[  4]   0.00-42.00  sec  5.95 MBytes  1.19 Mbits/sec                  receiver

iperf Done.
