Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.13 MBytes  9.45 Mbits/sec    0   65.0 KBytes       
[  4]   1.00-2.00   sec   827 KBytes  6.78 Mbits/sec    0   96.2 KBytes       
[  4]   2.00-3.00   sec   636 KBytes  5.21 Mbits/sec    0    122 KBytes       
[  4]   3.00-4.00   sec   764 KBytes  6.25 Mbits/sec    0    151 KBytes       
[  4]   4.00-5.00   sec   700 KBytes  5.73 Mbits/sec    0    180 KBytes       
[  4]   5.00-6.00   sec   764 KBytes  6.26 Mbits/sec    0    208 KBytes       
[  4]   6.00-7.00   sec   764 KBytes  6.25 Mbits/sec    0    239 KBytes       
[  4]   7.00-8.00   sec   700 KBytes  5.74 Mbits/sec    0    277 KBytes       
[  4]   8.00-9.00   sec  1.12 MBytes  9.38 Mbits/sec    0    372 KBytes       
[  4]   9.00-10.00  sec  1.30 MBytes  10.9 Mbits/sec    0    499 KBytes       
[  4]  10.00-11.00  sec  1.49 MBytes  12.5 Mbits/sec    0    656 KBytes       
[  4]  11.00-12.00  sec  1.25 MBytes  10.5 Mbits/sec    0    824 KBytes       
[  4]  12.00-13.00  sec  1.25 MBytes  10.5 Mbits/sec    0    993 KBytes       
[  4]  13.00-14.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.11 MBytes       
[  4]  14.00-15.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.45 MBytes       
[  4]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.54 MBytes       
[  4]  16.00-17.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.95 MBytes       
[  4]  17.00-18.00  sec  1.25 MBytes  10.5 Mbits/sec   52   2.02 MBytes       
[  4]  18.00-19.00  sec  1.25 MBytes  10.5 Mbits/sec  160   1.67 MBytes       
[  4]  19.00-20.00  sec   634 KBytes  5.20 Mbits/sec  311   1.51 MBytes       
[  4]  20.00-21.00  sec   127 KBytes  1.04 Mbits/sec  263   1.34 MBytes       
[  4]  21.00-22.00  sec   255 KBytes  2.09 Mbits/sec  262    969 KBytes       
[  4]  22.00-23.00  sec   764 KBytes  6.25 Mbits/sec   40    672 KBytes       
[  4]  23.00-24.00  sec  1018 KBytes  8.34 Mbits/sec  181    417 KBytes       
