Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  2.10 MBytes  17.6 Mbits/sec    0    187 KBytes       
[  4]   1.00-2.00   sec  1.24 MBytes  10.4 Mbits/sec    0    238 KBytes       
[  4]   2.00-3.00   sec  1018 KBytes  8.34 Mbits/sec    0    276 KBytes       
[  4]   3.00-4.00   sec   891 KBytes  7.29 Mbits/sec    0    311 KBytes       
[  4]   4.00-5.00   sec   700 KBytes  5.74 Mbits/sec    0    338 KBytes       
[  4]   5.00-6.00   sec   700 KBytes  5.74 Mbits/sec    0    366 KBytes       
[  4]   6.00-7.00   sec   764 KBytes  6.25 Mbits/sec    0    396 KBytes       
[  4]   7.00-8.00   sec   573 KBytes  4.69 Mbits/sec    0    419 KBytes       
[  4]   8.00-9.00   sec   700 KBytes  5.74 Mbits/sec    0    460 KBytes       
[  4]   9.00-10.00  sec   827 KBytes  6.77 Mbits/sec    0    540 KBytes       
[  4]  10.00-11.00  sec  1.25 MBytes  10.5 Mbits/sec    0    694 KBytes       
[  4]  11.00-12.00  sec  1.11 MBytes  9.32 Mbits/sec    0    822 KBytes       
[  4]  12.00-13.00  sec  1.12 MBytes  9.38 Mbits/sec    0    967 KBytes       
[  4]  13.00-14.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.14 MBytes       
[  4]  14.00-15.00  sec  1.05 MBytes  8.81 Mbits/sec   54   1.13 MBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec   84    956 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec  146    901 KBytes       
[  4]  17.00-18.00  sec   318 KBytes  2.61 Mbits/sec  103    824 KBytes       
[  4]  18.00-19.00  sec   127 KBytes  1.04 Mbits/sec  229    600 KBytes       
[  4]  19.00-20.00  sec   191 KBytes  1.56 Mbits/sec   38    362 KBytes       
[  4]  20.00-21.00  sec   636 KBytes  5.21 Mbits/sec  103    226 KBytes       
[  4]  21.00-22.10  sec  1.24 MBytes  9.48 Mbits/sec    0    413 KBytes       
[  4]  22.10-23.00  sec   127 KBytes  1.16 Mbits/sec    0    634 KBytes       
[  4]  23.00-24.00  sec   255 KBytes  2.08 Mbits/sec    0    639 KBytes       
[  4]  24.00-25.00  sec   318 KBytes  2.61 Mbits/sec    0    676 KBytes       
[  4]  25.00-26.00  sec   255 KBytes  2.09 Mbits/sec    0    696 KBytes       
[  4]  26.00-27.02  sec  0.00 Bytes  0.00 bits/sec    0    696 KBytes       
[  4]  27.02-28.00  sec   700 KBytes  5.85 Mbits/sec    0    740 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0    740 KBytes       
[  4]  29.00-30.00  sec   700 KBytes  5.72 Mbits/sec    0    755 KBytes       
[  4]  30.00-31.00  sec  63.6 KBytes   523 Kbits/sec    0    755 KBytes       
[  4]  31.00-32.00  sec   573 KBytes  4.69 Mbits/sec    0    766 KBytes       
[  4]  32.00-33.00  sec   127 KBytes  1.04 Mbits/sec    0    771 KBytes       
[  4]  33.00-34.00  sec   191 KBytes  1.56 Mbits/sec    0    783 KBytes       
[  4]  34.00-35.00  sec   445 KBytes  3.65 Mbits/sec    2    769 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0    769 KBytes       
[  4]  36.00-37.00  sec   191 KBytes  1.56 Mbits/sec   23    567 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    0    567 KBytes       
[  4]  38.00-39.00  sec   764 KBytes  6.26 Mbits/sec   14    529 KBytes       
[  4]  39.00-40.00  sec   382 KBytes  3.13 Mbits/sec   18    396 KBytes       
[  4]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec    1    396 KBytes       
[  4]  41.00-42.00  sec  1018 KBytes  8.34 Mbits/sec    0    397 KBytes       
[  4]  42.00-43.00  sec   445 KBytes  3.65 Mbits/sec    1    390 KBytes       
[  4]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    0    315 KBytes       
[  4]  44.00-45.00  sec   445 KBytes  3.65 Mbits/sec    0    296 KBytes       
[  4]  45.00-46.00  sec   382 KBytes  3.13 Mbits/sec    0    318 KBytes       
[  4]  46.00-47.00  sec   318 KBytes  2.61 Mbits/sec    0    338 KBytes       
[  4]  47.00-48.00  sec   318 KBytes  2.60 Mbits/sec    0    349 KBytes       
[  4]  48.00-49.00  sec   318 KBytes  2.61 Mbits/sec    0    354 KBytes       
[  4]  49.00-50.00  sec   191 KBytes  1.57 Mbits/sec    0    355 KBytes       
[  4]  50.00-51.00  sec   191 KBytes  1.56 Mbits/sec    0    356 KBytes       
[  4]  51.00-52.00  sec   318 KBytes  2.61 Mbits/sec    0    362 KBytes       
[  4]  52.00-53.00  sec   318 KBytes  2.61 Mbits/sec    0    378 KBytes       
[  4]  53.00-54.00  sec  63.6 KBytes   521 Kbits/sec    0    383 KBytes       
[  4]  54.00-55.00  sec   382 KBytes  3.13 Mbits/sec    0    421 KBytes       
[  4]  55.00-56.00  sec   255 KBytes  2.09 Mbits/sec    0    488 KBytes       
[  4]  56.00-57.00  sec   127 KBytes  1.04 Mbits/sec    0    516 KBytes       
[  4]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec    0    516 KBytes       
