Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   991 KBytes  8.12 Mbits/sec    0   79.2 KBytes       
[  4]   1.00-2.00   sec   700 KBytes  5.74 Mbits/sec    0    107 KBytes       
[  4]   2.00-3.00   sec   764 KBytes  6.25 Mbits/sec    0    137 KBytes       
[  4]   3.00-4.00   sec   764 KBytes  6.26 Mbits/sec    0    167 KBytes       
[  4]   4.00-5.00   sec   827 KBytes  6.78 Mbits/sec    0    199 KBytes       
[  4]   5.00-6.00   sec   764 KBytes  6.25 Mbits/sec    0    228 KBytes       
[  4]   6.00-7.00   sec   764 KBytes  6.26 Mbits/sec    0    257 KBytes       
[  4]   7.00-8.00   sec   700 KBytes  5.73 Mbits/sec    0    290 KBytes       
[  4]   8.00-9.00   sec  1.06 MBytes  8.86 Mbits/sec    0    380 KBytes       
[  4]   9.00-10.00  sec  1.24 MBytes  10.4 Mbits/sec    0    501 KBytes       
[  4]  10.00-11.00  sec  1.43 MBytes  12.0 Mbits/sec    0    652 KBytes       
[  4]  11.00-12.00  sec  1.25 MBytes  10.5 Mbits/sec    0    803 KBytes       
[  4]  12.00-13.00  sec  1.05 MBytes  8.81 Mbits/sec    0    919 KBytes       
[  4]  13.00-14.00  sec  2.49 MBytes  20.8 Mbits/sec    0   1.20 MBytes       
[  4]  14.00-15.00  sec   636 KBytes  5.21 Mbits/sec    0   1.29 MBytes       
[  4]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.71 MBytes       
[  4]  16.00-17.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.75 MBytes       
[  4]  17.00-18.00  sec  1.25 MBytes  10.5 Mbits/sec  241   1.24 MBytes       
[  4]  18.00-19.00  sec  41.6 KBytes   341 Kbits/sec   87   1.24 MBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec  156   1.23 MBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec  249   1.15 MBytes       
[  4]  21.00-22.00  sec   318 KBytes  2.61 Mbits/sec  211    884 KBytes       
[  4]  22.00-23.00  sec  1.25 MBytes  10.5 Mbits/sec   41    501 KBytes       
[  4]  23.00-24.00  sec  1.25 MBytes  10.5 Mbits/sec    0    906 KBytes       
[  4]  24.00-25.00  sec  1.25 MBytes  10.5 Mbits/sec    0    952 KBytes       
[  4]  25.00-26.00  sec  1.25 MBytes  10.5 Mbits/sec    0    987 KBytes       
[  4]  26.00-27.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1008 KBytes       
[  4]  27.00-28.00  sec  1.21 MBytes  10.1 Mbits/sec    0   1.02 MBytes       
[  4]  28.00-29.00  sec   255 KBytes  2.09 Mbits/sec    0   1.02 MBytes       
[  4]  29.00-30.00  sec   891 KBytes  7.30 Mbits/sec    0   1.04 MBytes       
[  4]  30.00-31.00  sec   127 KBytes  1.04 Mbits/sec    0   1.05 MBytes       
[  4]  31.00-32.00  sec   954 KBytes  7.82 Mbits/sec    0   1.05 MBytes       
[  4]  32.00-33.00  sec   127 KBytes  1.04 Mbits/sec    0   1.05 MBytes       
[  4]  33.00-34.00  sec   954 KBytes  7.83 Mbits/sec    0   1.07 MBytes       
[  4]  34.00-35.00  sec   127 KBytes  1.04 Mbits/sec    0   1.07 MBytes       
[  4]  35.00-36.00  sec   891 KBytes  7.30 Mbits/sec    0   1.11 MBytes       
[  4]  36.00-37.00  sec   191 KBytes  1.56 Mbits/sec    0   1.12 MBytes       
[  4]  37.00-38.00  sec   764 KBytes  6.25 Mbits/sec    0   1.20 MBytes       
[  4]  38.00-39.00  sec   318 KBytes  2.61 Mbits/sec    0   1.23 MBytes       
[  4]  39.00-40.00  sec   636 KBytes  5.22 Mbits/sec    0   1.35 MBytes       
[  4]  40.00-41.00  sec   509 KBytes  4.17 Mbits/sec    0   1.43 MBytes       
[  4]  41.00-42.00  sec   318 KBytes  2.61 Mbits/sec    0   1.55 MBytes       
[  4]  42.00-43.00  sec   191 KBytes  1.56 Mbits/sec   79   1.28 MBytes       
[  4]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    1   1.27 MBytes       
[  4]  44.00-45.00  sec  63.6 KBytes   522 Kbits/sec  154   1.13 MBytes       
[  4]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec   17   1.13 MBytes       
[  4]  46.00-47.00  sec   700 KBytes  5.73 Mbits/sec  195   1.13 MBytes       
[  4]  47.00-48.00  sec   318 KBytes  2.61 Mbits/sec  236   1.13 MBytes       
[  4]  48.00-49.00  sec  63.6 KBytes   521 Kbits/sec   36   1.12 MBytes       
[  4]  49.00-50.00  sec   127 KBytes  1.04 Mbits/sec  165   1.13 MBytes       
[  4]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec  157   1.13 MBytes       
[  4]  51.00-52.00  sec   700 KBytes  5.73 Mbits/sec   68   1.07 MBytes       
