Connecting to host 10.0.0.2, port 5208
[  4] local 10.0.0.1 port 46124 connected to 10.0.0.2 port 5208
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  96.2 KBytes   787 Kbits/sec    0   28.3 KBytes       
[  4]   1.00-2.00   sec   284 KBytes  2.33 Mbits/sec    0   55.1 KBytes       
[  4]   2.00-3.00   sec   134 KBytes  1.10 Mbits/sec    0   58.0 KBytes       
[  4]   3.00-4.00   sec  63.6 KBytes   522 Kbits/sec    0   62.2 KBytes       
[  4]   4.00-5.00   sec   127 KBytes  1.04 Mbits/sec    0   72.1 KBytes       
[  4]   5.00-6.00   sec   191 KBytes  1.56 Mbits/sec    0   99.0 KBytes       
[  4]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec    0   99.0 KBytes       
[  4]   7.00-8.00   sec   382 KBytes  3.13 Mbits/sec    0    148 KBytes       
[  4]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0    148 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec   30    105 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    4    105 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0    105 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   25    102 KBytes       
[  4]  13.00-14.00  sec  63.6 KBytes   521 Kbits/sec   13   87.7 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    9   82.0 KBytes       
[  4]  15.00-16.00  sec   318 KBytes  2.61 Mbits/sec    0   45.2 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0   74.9 KBytes       
[  4]  17.00-18.00  sec   127 KBytes  1.04 Mbits/sec    0   82.0 KBytes       
[  4]  18.00-19.00  sec  63.6 KBytes   520 Kbits/sec    0   86.3 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0   86.3 KBytes       
[  4]  20.00-21.00  sec  63.6 KBytes   521 Kbits/sec    0   87.7 KBytes       
[  4]  21.00-22.00  sec   127 KBytes  1.04 Mbits/sec    0   93.3 KBytes       
[  4]  22.00-23.00  sec  63.6 KBytes   521 Kbits/sec    0    109 KBytes       
[  4]  23.00-24.00  sec  63.6 KBytes   521 Kbits/sec    0    137 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0    139 KBytes       
[  4]  25.00-26.00  sec   382 KBytes  3.13 Mbits/sec    0    189 KBytes       
[  4]  26.00-27.00  sec   636 KBytes  5.21 Mbits/sec    0    272 KBytes       
[  4]  27.00-28.00  sec   255 KBytes  2.09 Mbits/sec    0    305 KBytes       
[  4]  28.00-29.00  sec   700 KBytes  5.73 Mbits/sec    0    402 KBytes       
[  4]  29.00-30.00  sec   891 KBytes  7.30 Mbits/sec    0    516 KBytes       
[  4]  30.00-31.00  sec   636 KBytes  5.21 Mbits/sec    0    602 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0    602 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec  139    421 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    1    421 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0    421 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec  121    366 KBytes       
[  4]  36.00-37.00  sec   827 KBytes  6.77 Mbits/sec   11    424 KBytes       
[  4]  37.00-38.00  sec   573 KBytes  4.69 Mbits/sec    0    325 KBytes       
[  4]  38.00-39.00  sec   127 KBytes  1.04 Mbits/sec    0    298 KBytes       
[  4]  39.00-40.00  sec   318 KBytes  2.61 Mbits/sec    0    324 KBytes       
[  4]  40.00-41.00  sec   318 KBytes  2.61 Mbits/sec    0    344 KBytes       
[  4]  41.00-42.00  sec   382 KBytes  3.12 Mbits/sec    0    355 KBytes       
[  4]  42.00-43.00  sec   318 KBytes  2.61 Mbits/sec    0    358 KBytes       
[  4]  43.00-44.00  sec   127 KBytes  1.04 Mbits/sec    0    359 KBytes       
[  4]  44.00-45.00  sec   382 KBytes  3.13 Mbits/sec    0    363 KBytes       
[  4]  45.00-46.00  sec   573 KBytes  4.69 Mbits/sec    0    372 KBytes       
[  4]  46.00-47.00  sec   700 KBytes  5.73 Mbits/sec    0    393 KBytes       
[  4]  47.00-47.00  sec  0.00 Bytes  0.00 bits/sec    0    393 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-47.00  sec  10.1 MBytes  1.80 Mbits/sec  353             sender
[  4]   0.00-47.00  sec  7.08 MBytes  1.26 Mbits/sec                  receiver

iperf Done.
