Connecting to host 10.0.0.2, port 5208
[  4] local 10.0.0.1 port 46124 connected to 10.0.0.2 port 5208
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   110 KBytes   903 Kbits/sec    0   15.6 KBytes       
[  4]   1.00-2.00   sec  90.5 KBytes   741 Kbits/sec    0   17.0 KBytes       
[  4]   2.00-3.00   sec  76.4 KBytes   626 Kbits/sec    0   21.2 KBytes       
[  4]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   33.9 KBytes       
[  4]   4.00-5.00   sec  63.6 KBytes   521 Kbits/sec    0   48.1 KBytes       
[  4]   5.00-6.00   sec   191 KBytes  1.56 Mbits/sec    0   72.1 KBytes       
[  4]   6.00-7.00   sec   318 KBytes  2.61 Mbits/sec    0    107 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    0    107 KBytes       
[  4]   8.00-9.00   sec   382 KBytes  3.13 Mbits/sec    0    161 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0    161 KBytes       
[  4]  10.00-11.00  sec   509 KBytes  4.16 Mbits/sec    4    218 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    2    214 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    0    214 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec   45    157 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    1    158 KBytes       
[  4]  15.00-16.00  sec   127 KBytes  1.04 Mbits/sec   45    134 KBytes       
[  4]  16.00-17.00  sec   191 KBytes  1.56 Mbits/sec    3    146 KBytes       
[  4]  17.00-18.00  sec   255 KBytes  2.09 Mbits/sec    0    112 KBytes       
[  4]  18.00-19.00  sec   127 KBytes  1.04 Mbits/sec    0    122 KBytes       
[  4]  19.00-20.00  sec  63.6 KBytes   521 Kbits/sec    0    129 KBytes       
[  4]  20.00-21.00  sec   127 KBytes  1.04 Mbits/sec    0    133 KBytes       
[  4]  21.00-22.00  sec  63.6 KBytes   521 Kbits/sec    0    133 KBytes       
[  4]  22.00-23.00  sec   127 KBytes  1.04 Mbits/sec    0    136 KBytes       
[  4]  23.00-24.00  sec  63.6 KBytes   521 Kbits/sec    0    144 KBytes       
[  4]  24.00-25.00  sec  63.6 KBytes   521 Kbits/sec    0    147 KBytes       
[  4]  25.00-26.00  sec  63.6 KBytes   521 Kbits/sec    0    177 KBytes       
[  4]  26.00-27.00  sec  63.6 KBytes   522 Kbits/sec    0    187 KBytes       
[  4]  27.00-28.00  sec   318 KBytes  2.61 Mbits/sec    0    259 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0    266 KBytes       
[  4]  29.00-30.00  sec  1018 KBytes  8.34 Mbits/sec    0    399 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0    399 KBytes       
[  4]  31.00-32.00  sec  1.18 MBytes  9.89 Mbits/sec    0    553 KBytes       
[  4]  32.00-33.00  sec   191 KBytes  1.57 Mbits/sec    6    571 KBytes       
[  4]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    5    560 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec  121    407 KBytes       
[  4]  35.00-36.00  sec   509 KBytes  4.17 Mbits/sec    2    409 KBytes       
[  4]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    9    409 KBytes       
[  4]  37.00-38.01  sec  63.6 KBytes   519 Kbits/sec    8    409 KBytes       
[  4]  38.01-39.00  sec   255 KBytes  2.10 Mbits/sec    0    317 KBytes       
[  4]  39.00-40.00  sec   827 KBytes  6.78 Mbits/sec    0    286 KBytes       
[  4]  40.00-41.00  sec   318 KBytes  2.60 Mbits/sec    0    298 KBytes       
[  4]  41.00-42.00  sec   318 KBytes  2.61 Mbits/sec    0    318 KBytes       
[  4]  42.00-43.00  sec   318 KBytes  2.61 Mbits/sec    0    332 KBytes       
[  4]  43.00-44.00  sec   255 KBytes  2.09 Mbits/sec    0    341 KBytes       
[  4]  44.00-45.00  sec   191 KBytes  1.56 Mbits/sec    0    344 KBytes       
[  4]  45.00-46.00  sec   255 KBytes  2.08 Mbits/sec    0    345 KBytes       
[  4]  46.00-47.00  sec   318 KBytes  2.61 Mbits/sec    0    348 KBytes       
[  4]  47.00-48.00  sec   318 KBytes  2.60 Mbits/sec    0    356 KBytes       
[  4]  48.00-49.00  sec   382 KBytes  3.13 Mbits/sec    0    370 KBytes       
[  4]  49.00-49.00  sec  0.00 Bytes  0.00 bits/sec    0    370 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-49.00  sec  10.0 MBytes  1.72 Mbits/sec  251             sender
[  4]   0.00-49.00  sec  7.11 MBytes  1.22 Mbits/sec                  receiver

iperf Done.
