Connecting to host 10.0.0.2, port 5207
[  4] local 10.0.0.1 port 46122 connected to 10.0.0.2 port 5207
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   181 KBytes  1.48 Mbits/sec    0   28.3 KBytes       
[  4]   1.00-2.00   sec   124 KBytes  1.02 Mbits/sec    0   42.4 KBytes       
[  4]   2.00-3.00   sec  70.7 KBytes   579 Kbits/sec    0   45.2 KBytes       
[  4]   3.00-4.00   sec  63.6 KBytes   521 Kbits/sec    0   49.5 KBytes       
[  4]   4.00-5.00   sec  63.6 KBytes   521 Kbits/sec    0   53.7 KBytes       
[  4]   5.00-6.00   sec   191 KBytes  1.56 Mbits/sec    0   73.5 KBytes       
[  4]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec   12   53.7 KBytes       
[  4]   7.00-8.00   sec  63.6 KBytes   522 Kbits/sec    1   53.7 KBytes       
[  4]   8.00-9.01   sec  0.00 Bytes  0.00 bits/sec    0   53.7 KBytes       
[  4]   9.01-10.00  sec   127 KBytes  1.05 Mbits/sec    0   60.8 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    2   46.7 KBytes       
[  4]  11.00-12.00  sec  63.6 KBytes   521 Kbits/sec    0   46.7 KBytes       
[  4]  12.00-13.00  sec  63.6 KBytes   521 Kbits/sec    0   50.9 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0   50.9 KBytes       
[  4]  14.00-15.00  sec  63.6 KBytes   520 Kbits/sec    0   52.3 KBytes       
[  4]  15.00-16.00  sec  63.6 KBytes   521 Kbits/sec    0   53.7 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0   62.2 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0   62.2 KBytes       
[  4]  18.00-19.00  sec   127 KBytes  1.04 Mbits/sec    0   83.4 KBytes       
[  4]  19.00-20.01  sec   255 KBytes  2.07 Mbits/sec    0    122 KBytes       
[  4]  20.01-21.00  sec   382 KBytes  3.15 Mbits/sec    0    170 KBytes       
[  4]  21.00-22.00  sec   127 KBytes  1.04 Mbits/sec    0    184 KBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec   29    134 KBytes       
[  4]  23.00-24.01  sec  0.00 Bytes  0.00 bits/sec    0    134 KBytes       
[  4]  24.01-25.00  sec   318 KBytes  2.61 Mbits/sec    0    140 KBytes       
[  4]  25.00-26.00  sec   127 KBytes  1.04 Mbits/sec    0    165 KBytes       
[  4]  26.00-27.01  sec   191 KBytes  1.56 Mbits/sec    0    182 KBytes       
[  4]  27.01-28.00  sec  0.00 Bytes  0.00 bits/sec    0    182 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec   16    129 KBytes       
[  4]  29.00-30.00  sec   255 KBytes  2.09 Mbits/sec    0    132 KBytes       
[  4]  30.00-31.03  sec   191 KBytes  1.52 Mbits/sec    0    144 KBytes       
[  4]  31.03-32.00  sec  0.00 Bytes  0.00 bits/sec    0    148 KBytes       
[  4]  32.00-33.00  sec   127 KBytes  1.04 Mbits/sec    0    151 KBytes       
[  4]  33.00-34.00  sec   127 KBytes  1.04 Mbits/sec    0    154 KBytes       
[  4]  34.00-35.00  sec   191 KBytes  1.56 Mbits/sec    0    158 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0    158 KBytes       
[  4]  36.00-37.00  sec   127 KBytes  1.05 Mbits/sec    0    173 KBytes       
[  4]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec   10    141 KBytes       
[  4]  38.00-39.00  sec   127 KBytes  1.04 Mbits/sec    0    129 KBytes       
[  4]  39.00-40.00  sec   191 KBytes  1.56 Mbits/sec    0    137 KBytes       
[  4]  40.00-41.00  sec   127 KBytes  1.04 Mbits/sec    0    154 KBytes       
[  4]  41.00-42.00  sec   127 KBytes  1.04 Mbits/sec    0    171 KBytes       
[  4]  42.00-43.00  sec   191 KBytes  1.56 Mbits/sec    0    180 KBytes       
[  4]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    0    180 KBytes       
[  4]  44.00-45.00  sec   191 KBytes  1.56 Mbits/sec    0    184 KBytes       
[  4]  45.00-46.00  sec   127 KBytes  1.04 Mbits/sec    0    189 KBytes       
[  4]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec    0    191 KBytes       
[  4]  47.00-48.00  sec   318 KBytes  2.60 Mbits/sec    0    211 KBytes       
