Connecting to host 10.0.0.2, port 5208
[  4] local 10.0.0.1 port 46124 connected to 10.0.0.2 port 5208
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.08   sec  82.0 KBytes   620 Kbits/sec    0   14.1 KBytes       
[  4]   1.08-2.00   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]   2.00-3.01   sec  14.1 KBytes   115 Kbits/sec    0   28.3 KBytes       
[  4]   3.01-4.00   sec   208 KBytes  1.72 Mbits/sec    0   42.4 KBytes       
[  4]   4.00-5.00   sec  70.7 KBytes   579 Kbits/sec    0   46.7 KBytes       
[  4]   5.00-6.00   sec  0.00 Bytes  0.00 bits/sec    0   46.7 KBytes       
[  4]   6.00-7.00   sec   127 KBytes  1.04 Mbits/sec    0   63.6 KBytes       
[  4]   7.00-8.00   sec   255 KBytes  2.09 Mbits/sec    0   96.2 KBytes       
[  4]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0   96.2 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec   18   66.5 KBytes       
[  4]  10.00-11.00  sec  63.6 KBytes   521 Kbits/sec    2   66.5 KBytes       
[  4]  11.00-12.00  sec   127 KBytes  1.04 Mbits/sec    0   79.2 KBytes       
[  4]  12.00-13.00  sec  63.6 KBytes   521 Kbits/sec    0   84.8 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0   89.1 KBytes       
[  4]  14.00-15.00  sec   127 KBytes  1.04 Mbits/sec    0   93.3 KBytes       
[  4]  15.00-16.00  sec  63.6 KBytes   522 Kbits/sec    0   96.2 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0   96.2 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    4   67.9 KBytes       
[  4]  18.00-19.00  sec  63.6 KBytes   521 Kbits/sec    1   67.9 KBytes       
[  4]  19.00-20.00  sec   191 KBytes  1.56 Mbits/sec    0   79.2 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0   80.6 KBytes       
[  4]  21.00-22.00  sec   127 KBytes  1.04 Mbits/sec    0   94.7 KBytes       
[  4]  22.00-23.00  sec  63.6 KBytes   520 Kbits/sec    0   96.2 KBytes       
[  4]  23.00-24.00  sec  63.6 KBytes   522 Kbits/sec    0   96.2 KBytes       
[  4]  24.00-25.00  sec   127 KBytes  1.04 Mbits/sec    0    100 KBytes       
[  4]  25.00-26.01  sec   127 KBytes  1.04 Mbits/sec    0    107 KBytes       
[  4]  26.01-27.00  sec   191 KBytes  1.58 Mbits/sec    0    124 KBytes       
[  4]  27.00-28.00  sec  63.6 KBytes   521 Kbits/sec    0    133 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec   15   96.2 KBytes       
[  4]  29.00-30.00  sec  63.6 KBytes   521 Kbits/sec    7   96.2 KBytes       
[  4]  30.00-31.00  sec  63.6 KBytes   522 Kbits/sec    0   96.2 KBytes       
[  4]  31.00-32.00  sec   191 KBytes  1.56 Mbits/sec    0    112 KBytes       
[  4]  32.00-33.01  sec  0.00 Bytes  0.00 bits/sec    1    103 KBytes       
[  4]  33.01-34.00  sec  0.00 Bytes  0.00 bits/sec    0   93.3 KBytes       
[  4]  34.00-35.00  sec   700 KBytes  5.72 Mbits/sec    0    100 KBytes       
[  4]  35.00-36.00  sec  1.12 MBytes  9.41 Mbits/sec    0    102 KBytes       
[  4]  36.00-37.00  sec  1.06 MBytes  8.87 Mbits/sec    0    105 KBytes       
[  4]  37.00-38.00  sec  1.06 MBytes  8.85 Mbits/sec    0    112 KBytes       
[  4]  38.00-39.00  sec  1018 KBytes  8.34 Mbits/sec    0    119 KBytes       
[  4]  39.00-40.00  sec  1.06 MBytes  8.84 Mbits/sec    0    126 KBytes       
[  4]  40.00-41.00  sec  1.06 MBytes  8.86 Mbits/sec    0    132 KBytes       
[  4]  41.00-41.57  sec   636 KBytes  9.22 Mbits/sec    0    139 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-41.57  sec  10.1 MBytes  2.04 Mbits/sec   48             sender
[  4]   0.00-41.57  sec  9.47 MBytes  1.91 Mbits/sec                  receiver

iperf Done.
