Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  2.94 MBytes  24.6 Mbits/sec    0    329 KBytes       
[  4]   1.00-2.00   sec  1.43 MBytes  12.0 Mbits/sec    0    387 KBytes       
[  4]   2.00-3.00   sec  1.49 MBytes  12.5 Mbits/sec    0    445 KBytes       
[  4]   3.00-4.00   sec  1.43 MBytes  12.0 Mbits/sec    0    505 KBytes       
[  4]   4.00-5.00   sec  1.43 MBytes  12.0 Mbits/sec    0    563 KBytes       
[  4]   5.00-6.00   sec  1.49 MBytes  12.5 Mbits/sec    0    621 KBytes       
[  4]   6.00-7.00   sec  1.43 MBytes  12.0 Mbits/sec    0    679 KBytes       
[  4]   7.00-8.00   sec  1.25 MBytes  10.5 Mbits/sec    0    735 KBytes       
[  4]   8.00-9.00   sec  1.25 MBytes  10.5 Mbits/sec    0    789 KBytes       
[  4]   9.00-10.00  sec  1.25 MBytes  10.5 Mbits/sec    0    846 KBytes       
[  4]  10.00-11.00  sec  1.90 MBytes  16.0 Mbits/sec    0    912 KBytes       
[  4]  11.00-12.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.03 MBytes       
[  4]  12.00-13.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.21 MBytes       
[  4]  13.00-14.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.44 MBytes       
[  4]  14.00-15.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.70 MBytes       
[  4]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.96 MBytes       
[  4]  16.00-17.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.31 MBytes       
[  4]  17.00-18.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.62 MBytes       
[  4]  18.00-19.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.00 MBytes       
[  4]  19.00-20.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.38 MBytes       
[  4]  20.00-21.00  sec  1.25 MBytes  10.5 Mbits/sec  253   2.75 MBytes       
[  4]  21.00-22.00  sec  1.02 MBytes  8.55 Mbits/sec  232   2.39 MBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec  258   2.39 MBytes       
[  4]  23.00-24.00  sec   700 KBytes  5.74 Mbits/sec  606   2.20 MBytes       
[  4]  24.00-25.00  sec  1.25 MBytes  10.5 Mbits/sec  309   1.81 MBytes       
[  4]  25.00-26.00  sec  1.25 MBytes  10.5 Mbits/sec  218   1.37 MBytes       
[  4]  26.00-27.00  sec  1.17 MBytes  9.78 Mbits/sec    0   1.13 MBytes       
[  4]  27.00-28.00  sec  1.25 MBytes  10.5 Mbits/sec   64   1.49 MBytes       
[  4]  28.00-29.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.68 MBytes       
[  4]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.73 MBytes       
[  4]  30.00-31.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.78 MBytes       
[  4]  31.00-32.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.85 MBytes       
[  4]  32.00-33.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.89 MBytes       
[  4]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.94 MBytes       
[  4]  34.00-35.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.97 MBytes       
[  4]  35.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0   1.97 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-35.00  sec  50.2 MBytes  12.0 Mbits/sec  1940             sender
[  4]   0.00-35.00  sec  38.5 MBytes  9.22 Mbits/sec                  receiver

iperf Done.
