Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   693 KBytes  5.68 Mbits/sec    0   56.6 KBytes       
[  4]   1.00-2.00   sec   509 KBytes  4.17 Mbits/sec    0   77.8 KBytes       
[  4]   2.00-3.00   sec   445 KBytes  3.65 Mbits/sec    0   96.2 KBytes       
[  4]   3.00-4.00   sec   382 KBytes  3.13 Mbits/sec    0    110 KBytes       
[  4]   4.00-5.00   sec   255 KBytes  2.09 Mbits/sec    0    120 KBytes       
[  4]   5.00-6.00   sec   255 KBytes  2.08 Mbits/sec    0    136 KBytes       
[  4]   6.00-7.00   sec   382 KBytes  3.13 Mbits/sec    0    181 KBytes       
[  4]   7.00-8.00   sec   191 KBytes  1.56 Mbits/sec    0    209 KBytes       
[  4]   8.00-9.00   sec   509 KBytes  4.17 Mbits/sec    3    269 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec   62    187 KBytes       
[  4]  10.00-11.00  sec   127 KBytes  1.04 Mbits/sec    8    174 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    4    168 KBytes       
[  4]  12.00-13.00  sec   127 KBytes  1.04 Mbits/sec    0    168 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec   42    115 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec   26    100 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec   16    112 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec   11   15.6 KBytes       
[  4]  19.00-20.00  sec   636 KBytes  5.22 Mbits/sec   63    211 KBytes       
[  4]  20.00-21.00  sec   891 KBytes  7.29 Mbits/sec    0    259 KBytes       
