Connecting to host 10.0.0.2, port 5205
[  4] local 10.0.0.1 port 46118 connected to 10.0.0.2 port 5205
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   304 KBytes  2.49 Mbits/sec    0   42.4 KBytes       
[  4]   1.00-2.00   sec   198 KBytes  1.62 Mbits/sec    0   49.5 KBytes       
[  4]   2.00-3.00   sec   127 KBytes  1.04 Mbits/sec    0   53.7 KBytes       
[  4]   3.00-4.00   sec   191 KBytes  1.57 Mbits/sec    0   62.2 KBytes       
[  4]   4.00-5.00   sec   127 KBytes  1.04 Mbits/sec    0   73.5 KBytes       
[  4]   5.00-6.00   sec   318 KBytes  2.61 Mbits/sec    0    109 KBytes       
[  4]   6.00-7.00   sec   318 KBytes  2.61 Mbits/sec    0    146 KBytes       
[  4]   7.00-8.01   sec   445 KBytes  3.61 Mbits/sec    0    198 KBytes       
[  4]   8.01-9.00   sec  63.6 KBytes   525 Kbits/sec   16    175 KBytes       
[  4]   9.00-10.01  sec  0.00 Bytes  0.00 bits/sec   26    148 KBytes       
[  4]  10.01-11.00  sec   191 KBytes  1.58 Mbits/sec    2    148 KBytes       
[  4]  11.00-12.00  sec   255 KBytes  2.08 Mbits/sec    0    160 KBytes       
[  4]  12.00-13.00  sec   127 KBytes  1.04 Mbits/sec    0    178 KBytes       
[  4]  13.00-14.00  sec  63.6 KBytes   522 Kbits/sec    0    185 KBytes       
[  4]  14.00-15.00  sec   127 KBytes  1.04 Mbits/sec    0    201 KBytes       
[  4]  15.00-16.00  sec   191 KBytes  1.56 Mbits/sec    0    208 KBytes       
[  4]  16.00-17.01  sec  63.6 KBytes   518 Kbits/sec    0    209 KBytes       
[  4]  17.01-18.01  sec   127 KBytes  1.04 Mbits/sec    4    189 KBytes       
[  4]  18.01-19.00  sec  0.00 Bytes  0.00 bits/sec   18    158 KBytes       
[  4]  19.00-20.01  sec  0.00 Bytes  0.00 bits/sec    0    148 KBytes       
[  4]  20.01-21.01  sec   255 KBytes  2.08 Mbits/sec    0    150 KBytes       
[  4]  21.01-22.00  sec   127 KBytes  1.05 Mbits/sec    1    154 KBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec   22    109 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    9    109 KBytes       
[  4]  24.00-25.00  sec   318 KBytes  2.61 Mbits/sec    0   90.5 KBytes       
[  4]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    0   76.4 KBytes       
