Connecting to host 10.0.0.2, port 5206
[  4] local 10.0.0.1 port 46120 connected to 10.0.0.2 port 5206
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  96.2 KBytes   786 Kbits/sec    0   28.3 KBytes       
[  4]   1.00-2.00   sec   260 KBytes  2.14 Mbits/sec    0   43.8 KBytes       
[  4]   2.00-3.00   sec  63.6 KBytes   521 Kbits/sec    0   46.7 KBytes       
[  4]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   50.9 KBytes       
[  4]   4.00-5.00   sec  63.6 KBytes   521 Kbits/sec    0   55.1 KBytes       
[  4]   5.00-6.00   sec   127 KBytes  1.04 Mbits/sec    0   67.9 KBytes       
[  4]   6.00-7.00   sec   191 KBytes  1.56 Mbits/sec    0   97.6 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    0   97.6 KBytes       
[  4]   8.00-9.00   sec   127 KBytes  1.04 Mbits/sec    5   90.5 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0   87.7 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    8   77.8 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0   77.8 KBytes       
[  4]  12.00-13.00  sec   127 KBytes  1.04 Mbits/sec   11   50.9 KBytes       
[  4]  13.00-14.00  sec   127 KBytes  1.04 Mbits/sec    4   50.9 KBytes       
[  4]  14.00-15.00  sec  63.6 KBytes   521 Kbits/sec    1   39.6 KBytes       
[  4]  15.00-16.00  sec  63.6 KBytes   522 Kbits/sec    0   43.8 KBytes       
[  4]  16.00-17.00  sec  63.6 KBytes   521 Kbits/sec    0   45.2 KBytes       
[  4]  17.00-18.00  sec  63.6 KBytes   521 Kbits/sec    0   45.2 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0   48.1 KBytes       
[  4]  19.00-20.00  sec  63.6 KBytes   522 Kbits/sec    0   52.3 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0   60.8 KBytes       
[  4]  21.00-22.00  sec  63.6 KBytes   521 Kbits/sec    0   82.0 KBytes       
[  4]  22.00-23.00  sec  63.6 KBytes   521 Kbits/sec    0    113 KBytes       
[  4]  23.00-24.00  sec   382 KBytes  3.13 Mbits/sec    0    160 KBytes       
[  4]  24.00-25.00  sec   573 KBytes  4.69 Mbits/sec    0    233 KBytes       
[  4]  25.00-26.01  sec  0.00 Bytes  0.00 bits/sec    0    239 KBytes       
[  4]  26.01-27.00  sec  0.00 Bytes  0.00 bits/sec   51    173 KBytes       
[  4]  27.00-28.00  sec   127 KBytes  1.04 Mbits/sec    1    173 KBytes       
[  4]  28.00-29.00  sec   318 KBytes  2.61 Mbits/sec    0    181 KBytes       
[  4]  29.00-30.00  sec   255 KBytes  2.09 Mbits/sec    0    202 KBytes       
