Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.37   sec  82.0 KBytes   490 Kbits/sec    1   14.1 KBytes       
[  4]   1.37-2.00   sec   266 KBytes  3.46 Mbits/sec    0   55.1 KBytes       
[  4]   2.00-3.00   sec   134 KBytes  1.10 Mbits/sec    0   60.8 KBytes       
[  4]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   63.6 KBytes       
[  4]   4.00-5.00   sec  63.6 KBytes   522 Kbits/sec    0   66.5 KBytes       
[  4]   5.00-6.00   sec  63.6 KBytes   521 Kbits/sec    0   82.0 KBytes       
[  4]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec    0   82.0 KBytes       
[  4]   7.00-8.00   sec  63.6 KBytes   521 Kbits/sec    0    124 KBytes       
[  4]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0    124 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec   26   87.7 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    0   87.7 KBytes       
[  4]  11.00-12.00  sec  63.6 KBytes   521 Kbits/sec    9   52.3 KBytes       
[  4]  12.00-13.00  sec  63.6 KBytes   521 Kbits/sec   21   86.3 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0   86.3 KBytes       
[  4]  14.00-15.00  sec   127 KBytes  1.04 Mbits/sec    0   62.2 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    0   62.2 KBytes       
[  4]  16.00-17.00  sec  63.6 KBytes   521 Kbits/sec    0   69.3 KBytes       
[  4]  17.00-18.00  sec  63.6 KBytes   521 Kbits/sec    0   72.1 KBytes       
[  4]  18.00-19.00  sec  63.6 KBytes   521 Kbits/sec    0   74.9 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0   76.4 KBytes       
[  4]  20.00-21.00  sec  63.6 KBytes   521 Kbits/sec    0   96.2 KBytes       
[  4]  21.00-22.00  sec  63.6 KBytes   521 Kbits/sec    0   96.2 KBytes       
[  4]  22.00-23.00  sec  63.6 KBytes   522 Kbits/sec    0    140 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0    146 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0    146 KBytes       
[  4]  25.00-26.00  sec   124 KBytes  1.02 Mbits/sec    0    218 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0    218 KBytes       
[  4]  27.00-28.00  sec   139 KBytes  1.14 Mbits/sec    0    314 KBytes       
[  4]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0    314 KBytes       
[  4]  29.00-30.00  sec  74.9 KBytes   614 Kbits/sec   39    214 KBytes       
[  4]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0    214 KBytes       
[  4]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0    214 KBytes       
[  4]  32.00-33.00  sec  74.9 KBytes   614 Kbits/sec   13    195 KBytes       
[  4]  33.00-34.00  sec   266 KBytes  2.18 Mbits/sec    0    123 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    3    153 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0    153 KBytes       
[  4]  36.00-37.00  sec   239 KBytes  1.96 Mbits/sec    0    157 KBytes       
[  4]  37.00-38.00  sec   164 KBytes  1.34 Mbits/sec    0    173 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0    175 KBytes       
[  4]  39.00-40.00  sec   117 KBytes   962 Kbits/sec    0    181 KBytes       
[  4]  40.00-41.00  sec   198 KBytes  1.62 Mbits/sec    0    184 KBytes       
[  4]  41.00-42.00  sec  63.6 KBytes   521 Kbits/sec    0    185 KBytes       
[  4]  42.00-43.00  sec   112 KBytes   915 Kbits/sec    0    189 KBytes       
[  4]  43.00-44.00  sec   208 KBytes  1.70 Mbits/sec    0    208 KBytes       
[  4]  44.00-45.00  sec  7.07 KBytes  57.9 Kbits/sec    0    222 KBytes       
[  4]  45.00-46.00  sec   151 KBytes  1.24 Mbits/sec    0    222 KBytes       
[  4]  46.00-47.00  sec  70.7 KBytes   579 Kbits/sec    0    222 KBytes       
[  4]  47.00-48.00  sec   151 KBytes  1.24 Mbits/sec    0    222 KBytes       
[  4]  48.00-49.00  sec   208 KBytes  1.70 Mbits/sec    0    253 KBytes       
[  4]  49.00-50.00  sec  45.2 KBytes   370 Kbits/sec    0    253 KBytes       
[  4]  50.00-51.00  sec   214 KBytes  1.75 Mbits/sec    0    253 KBytes       
[  4]  51.00-52.00  sec  43.8 KBytes   359 Kbits/sec    0    257 KBytes       
[  4]  52.00-53.00  sec   214 KBytes  1.75 Mbits/sec    0    257 KBytes       
[  4]  53.00-54.00  sec  42.4 KBytes   347 Kbits/sec    0    257 KBytes       
[  4]  54.00-55.00  sec  74.9 KBytes   614 Kbits/sec    0    291 KBytes       
[  4]  55.00-56.00  sec   139 KBytes  1.14 Mbits/sec    0    301 KBytes       
[  4]  56.00-57.00  sec  74.9 KBytes   614 Kbits/sec    0    301 KBytes       
[  4]  57.00-58.00  sec  86.3 KBytes   704 Kbits/sec   13    211 KBytes       
[  4]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec    0    211 KBytes       
[  4]  59.00-60.00  sec   267 KBytes  2.19 Mbits/sec    5    211 KBytes       
[  4]  60.00-61.00  sec  5.66 KBytes  46.3 Kbits/sec    0    211 KBytes       
[  4]  61.00-62.00  sec   270 KBytes  2.21 Mbits/sec    0    212 KBytes       
[  4]  62.00-63.00  sec  69.3 KBytes   567 Kbits/sec    0    212 KBytes       
[  4]  63.00-64.00  sec   139 KBytes  1.14 Mbits/sec    0    239 KBytes       
[  4]  64.00-65.00  sec   164 KBytes  1.34 Mbits/sec    0    239 KBytes       
[  4]  65.00-66.00  sec   139 KBytes  1.13 Mbits/sec    0    252 KBytes       
[  4]  66.00-67.00  sec   139 KBytes  1.14 Mbits/sec    0    252 KBytes       
[  4]  67.00-68.00  sec   198 KBytes  1.62 Mbits/sec    0    273 KBytes       
[  4]  68.00-69.00  sec  74.9 KBytes   614 Kbits/sec    0    280 KBytes       
[  4]  69.00-70.00  sec   139 KBytes  1.14 Mbits/sec    0    280 KBytes       
[  4]  70.00-71.00  sec   181 KBytes  1.48 Mbits/sec    0    280 KBytes       
[  4]  71.00-72.00  sec   139 KBytes  1.13 Mbits/sec    0    315 KBytes       
[  4]  72.00-73.00  sec   139 KBytes  1.14 Mbits/sec    0    318 KBytes       
[  4]  73.00-74.00  sec   139 KBytes  1.14 Mbits/sec    0    318 KBytes       
[  4]  74.00-75.00  sec   139 KBytes  1.14 Mbits/sec    0    318 KBytes       
[  4]  75.00-76.00  sec   139 KBytes  1.13 Mbits/sec    0    318 KBytes       
[  4]  76.00-77.00  sec   139 KBytes  1.14 Mbits/sec    0    318 KBytes       
[  4]  77.00-78.00  sec   139 KBytes  1.14 Mbits/sec    0    318 KBytes       
[  4]  78.00-79.00  sec   139 KBytes  1.14 Mbits/sec    0    318 KBytes       
[  4]  79.00-80.00  sec   139 KBytes  1.14 Mbits/sec    0    318 KBytes       
[  4]  80.00-81.00  sec   139 KBytes  1.13 Mbits/sec    0    318 KBytes       
[  4]  81.00-82.00  sec  0.00 Bytes  0.00 bits/sec    0    318 KBytes       
[  4]  82.00-83.00  sec   139 KBytes  1.14 Mbits/sec    0    318 KBytes       
[  4]  83.00-84.00  sec   139 KBytes  1.14 Mbits/sec    2    283 KBytes       
[  4]  84.00-85.00  sec   139 KBytes  1.13 Mbits/sec    1    222 KBytes       
[  4]  85.00-86.00  sec   341 KBytes  2.79 Mbits/sec    0    223 KBytes       
[  4]  86.00-87.00  sec  1.06 MBytes  8.86 Mbits/sec    0    242 KBytes       
[  4]  87.00-88.00  sec   127 KBytes  1.04 Mbits/sec    0    263 KBytes       
[  4]  88.00-89.00  sec   255 KBytes  2.09 Mbits/sec    0    291 KBytes       
[  4]  89.00-90.00  sec   191 KBytes  1.56 Mbits/sec    0    304 KBytes       
[  4]  90.00-91.00  sec   127 KBytes  1.04 Mbits/sec    0    308 KBytes       
[  4]  91.00-92.00  sec   255 KBytes  2.09 Mbits/sec    0    314 KBytes       
[  4]  92.00-93.00  sec  0.00 Bytes  0.00 bits/sec    0    314 KBytes       
[  4]  93.00-94.00  sec   255 KBytes  2.09 Mbits/sec    0    320 KBytes       
[  4]  94.00-95.00  sec  63.6 KBytes   521 Kbits/sec    0    324 KBytes       
[  4]  95.00-96.00  sec   191 KBytes  1.56 Mbits/sec    0    345 KBytes       
[  4]  96.00-97.02  sec  0.00 Bytes  0.00 bits/sec    0    349 KBytes       
[  4]  97.02-98.08  sec   127 KBytes   985 Kbits/sec    0    386 KBytes       
[  4]  98.08-99.02  sec  0.00 Bytes  0.00 bits/sec    0    386 KBytes       
[  4]  99.02-100.00 sec   191 KBytes  1.60 Mbits/sec    0    489 KBytes       
[  4] 100.00-101.00 sec   127 KBytes  1.04 Mbits/sec    0    580 KBytes       
[  4] 101.00-102.00 sec   127 KBytes  1.04 Mbits/sec    0    689 KBytes       
[  4] 102.00-103.00 sec   393 KBytes  3.22 Mbits/sec    0    867 KBytes       
[  4] 103.00-104.00 sec  0.00 Bytes  0.00 bits/sec    0    870 KBytes       
[  4] 104.00-105.00 sec  0.00 Bytes  0.00 bits/sec   98    694 KBytes       
[  4] 105.00-106.00 sec  0.00 Bytes  0.00 bits/sec   72    643 KBytes       
[  4] 106.00-107.00 sec   202 KBytes  1.66 Mbits/sec   35    632 KBytes       
[  4] 107.00-108.00 sec  0.00 Bytes  0.00 bits/sec    0    632 KBytes       
[  4] 108.00-109.00 sec   457 KBytes  3.74 Mbits/sec    5    625 KBytes       
[  4] 109.00-110.00 sec  0.00 Bytes  0.00 bits/sec    0    625 KBytes       
[  4] 110.00-111.00 sec  1.12 MBytes  9.40 Mbits/sec    0    450 KBytes       
[  4] 111.00-112.00 sec  0.00 Bytes  0.00 bits/sec    0    450 KBytes       
[  4] 112.00-113.00 sec   445 KBytes  3.64 Mbits/sec    0    465 KBytes       
[  4] 113.00-114.00 sec  0.00 Bytes  0.00 bits/sec    0    465 KBytes       
[  4] 114.00-115.00 sec   445 KBytes  3.64 Mbits/sec    0    509 KBytes       
[  4] 115.00-116.03 sec  0.00 Bytes  0.00 bits/sec    0    509 KBytes       
[  4] 116.03-117.00 sec   509 KBytes  4.28 Mbits/sec    0    532 KBytes       
[  4] 117.00-118.00 sec  0.00 Bytes  0.00 bits/sec    0    532 KBytes       
[  4] 118.00-119.00 sec   573 KBytes  4.69 Mbits/sec    0    542 KBytes       
[  4] 119.00-120.00 sec  0.00 Bytes  0.00 bits/sec    0    542 KBytes       
[  4] 120.00-121.00 sec   509 KBytes  4.17 Mbits/sec    0    554 KBytes       
[  4] 121.00-122.00 sec  0.00 Bytes  0.00 bits/sec    0    554 KBytes       
[  4] 122.00-123.00 sec   535 KBytes  4.38 Mbits/sec    0    598 KBytes       
[  4] 123.00-124.00 sec  0.00 Bytes  0.00 bits/sec    0    598 KBytes       
[  4] 124.00-125.00 sec   584 KBytes  4.79 Mbits/sec    0    677 KBytes       
[  4] 125.00-126.00 sec  0.00 Bytes  0.00 bits/sec    0    677 KBytes       
[  4] 126.00-127.00 sec   648 KBytes  5.31 Mbits/sec    0    759 KBytes       
[  4] 127.00-128.00 sec  0.00 Bytes  0.00 bits/sec    0    759 KBytes       
[  4] 128.00-129.00 sec   457 KBytes  3.75 Mbits/sec    0    998 KBytes       
[  4] 129.00-130.00 sec   139 KBytes  1.13 Mbits/sec   23    812 KBytes       
[  4] 130.00-131.00 sec  0.00 Bytes  0.00 bits/sec   10    783 KBytes       
[  4] 131.00-132.00 sec  74.9 KBytes   614 Kbits/sec  204    526 KBytes       
[  4] 132.00-133.00 sec   393 KBytes  3.22 Mbits/sec    0    526 KBytes       
[  4] 133.00-134.00 sec   445 KBytes  3.65 Mbits/sec   17    437 KBytes       
[  4] 134.00-135.00 sec  0.00 Bytes  0.00 bits/sec   61    559 KBytes       
[  4] 135.00-136.00 sec   132 KBytes  1.08 Mbits/sec    0    515 KBytes       
[  4] 136.00-137.00 sec   954 KBytes  7.82 Mbits/sec    0    494 KBytes       
[  4] 137.00-138.00 sec   445 KBytes  3.65 Mbits/sec    0    508 KBytes       
[  4] 138.00-139.00 sec   127 KBytes  1.04 Mbits/sec    0    509 KBytes       
[  4] 139.00-140.00 sec   445 KBytes  3.65 Mbits/sec    0    550 KBytes       
[  4] 140.00-141.00 sec  0.00 Bytes  0.00 bits/sec    0    550 KBytes       
[  4] 141.00-142.00 sec   573 KBytes  4.69 Mbits/sec    0    580 KBytes       
[  4] 142.00-143.00 sec   191 KBytes  1.56 Mbits/sec    0    585 KBytes       
[  4] 143.00-144.00 sec   382 KBytes  3.13 Mbits/sec    0    592 KBytes       
[  4] 144.00-145.00 sec   382 KBytes  3.13 Mbits/sec    0    597 KBytes       
[  4] 145.00-146.00 sec   191 KBytes  1.56 Mbits/sec    0    600 KBytes       
[  4] 146.00-147.00 sec   498 KBytes  4.08 Mbits/sec    0    615 KBytes       
[  4] 147.00-148.00 sec   127 KBytes  1.04 Mbits/sec    0    618 KBytes       
[  4] 148.00-149.00 sec   457 KBytes  3.74 Mbits/sec    0    665 KBytes       
[  4] 149.00-150.00 sec   127 KBytes  1.04 Mbits/sec    0    675 KBytes       
[  4] 150.00-151.00 sec   457 KBytes  3.75 Mbits/sec    0    766 KBytes       
[  4] 151.00-152.00 sec   127 KBytes  1.04 Mbits/sec    0    795 KBytes       
[  4] 152.00-153.00 sec   329 KBytes  2.70 Mbits/sec    0    904 KBytes       
[  4] 153.00-154.00 sec   462 KBytes  3.79 Mbits/sec    0    932 KBytes       
[  4] 154.00-155.01 sec  0.00 Bytes  0.00 bits/sec    0    932 KBytes       
[  4] 155.01-156.00 sec  0.00 Bytes  0.00 bits/sec   97    652 KBytes       
[  4] 156.00-157.00 sec   202 KBytes  1.66 Mbits/sec    0    652 KBytes       
[  4] 157.00-158.00 sec   966 KBytes  7.91 Mbits/sec    0    652 KBytes       
[  4] 158.00-159.00 sec   127 KBytes  1.04 Mbits/sec    0    653 KBytes       
[  4] 159.00-160.00 sec   457 KBytes  3.74 Mbits/sec    0    704 KBytes       
[  4] 160.00-161.00 sec   127 KBytes  1.04 Mbits/sec    0    738 KBytes       
[  4] 161.00-162.00 sec   457 KBytes  3.74 Mbits/sec    0    800 KBytes       
[  4] 162.00-163.00 sec   127 KBytes  1.04 Mbits/sec    0    817 KBytes       
[  4] 163.00-164.00 sec   202 KBytes  1.66 Mbits/sec   11    751 KBytes       
[  4] 164.00-165.00 sec  0.00 Bytes  0.00 bits/sec   21    655 KBytes       
[  4] 165.00-166.00 sec  74.9 KBytes   614 Kbits/sec    8    584 KBytes       
[  4] 166.00-167.00 sec   584 KBytes  4.78 Mbits/sec    0    584 KBytes       
[  4] 167.00-168.00 sec   525 KBytes  4.30 Mbits/sec    0    585 KBytes       
[  4] 168.00-169.00 sec   506 KBytes  4.15 Mbits/sec    0    615 KBytes       
[  4] 169.00-170.00 sec   191 KBytes  1.56 Mbits/sec    0    615 KBytes       
[  4] 170.00-171.00 sec   445 KBytes  3.66 Mbits/sec    0    618 KBytes       
[  4] 171.00-172.00 sec   255 KBytes  2.09 Mbits/sec    0    652 KBytes       
[  4] 172.00-173.00 sec   318 KBytes  2.61 Mbits/sec    0    676 KBytes       
[  4] 173.00-174.00 sec   255 KBytes  2.08 Mbits/sec    0    686 KBytes       
[  4] 174.00-175.00 sec   393 KBytes  3.22 Mbits/sec    0    697 KBytes       
[  4] 175.00-176.01 sec   127 KBytes  1.03 Mbits/sec    0    700 KBytes       
[  4] 176.01-177.00 sec   523 KBytes  4.33 Mbits/sec    0    713 KBytes       
[  4] 177.00-178.00 sec   127 KBytes  1.04 Mbits/sec    0    720 KBytes       
[  4] 178.00-179.00 sec   584 KBytes  4.79 Mbits/sec    0    757 KBytes       
[  4] 179.00-180.00 sec   127 KBytes  1.04 Mbits/sec    0    772 KBytes       
[  4] 180.00-181.00 sec   587 KBytes  4.81 Mbits/sec    0    810 KBytes       
[  4] 181.00-182.00 sec   150 KBytes  1.23 Mbits/sec    0    810 KBytes       
[  4] 182.00-183.00 sec   457 KBytes  3.75 Mbits/sec    0    810 KBytes       
[  4] 183.00-184.00 sec   266 KBytes  2.18 Mbits/sec    0    892 KBytes       
[  4] 184.00-185.00 sec  49.5 KBytes   405 Kbits/sec    5    902 KBytes       
[  4] 185.00-186.00 sec  74.9 KBytes   613 Kbits/sec   70    645 KBytes       
[  4] 186.00-187.00 sec   520 KBytes  4.27 Mbits/sec    1    645 KBytes       
[  4] 187.00-188.00 sec   584 KBytes  4.79 Mbits/sec    0    646 KBytes       
[  4] 188.00-189.00 sec   318 KBytes  2.60 Mbits/sec   49    551 KBytes       
[  4] 189.00-190.00 sec  24.0 KBytes   197 Kbits/sec    0    461 KBytes       
[  4] 190.00-191.00 sec   758 KBytes  6.21 Mbits/sec    0    467 KBytes       
[  4] 191.00-192.00 sec   382 KBytes  3.13 Mbits/sec    0    492 KBytes       
[  4] 192.00-193.00 sec   445 KBytes  3.65 Mbits/sec    0    520 KBytes       
[  4] 193.00-194.00 sec   127 KBytes  1.04 Mbits/sec    0    532 KBytes       
[  4] 194.00-195.00 sec   382 KBytes  3.13 Mbits/sec    0    544 KBytes       
[  4] 195.00-196.00 sec   318 KBytes  2.60 Mbits/sec    0    551 KBytes       
[  4] 196.00-197.00 sec   318 KBytes  2.61 Mbits/sec    0    556 KBytes       
[  4] 197.00-198.00 sec   445 KBytes  3.64 Mbits/sec    0    560 KBytes       
[  4] 198.00-199.00 sec   191 KBytes  1.57 Mbits/sec    0    564 KBytes       
[  4] 199.00-200.00 sec   382 KBytes  3.13 Mbits/sec    0    576 KBytes       
[  4] 200.00-201.01 sec   547 KBytes  4.44 Mbits/sec    0    608 KBytes       
[  4] 201.01-202.00 sec   410 KBytes  3.39 Mbits/sec    0    643 KBytes       
[  4] 202.00-203.00 sec  3.04 MBytes  25.5 Mbits/sec    0    684 KBytes       
[  4] 203.00-204.00 sec   636 KBytes  5.22 Mbits/sec    0    766 KBytes       
[  4] 204.00-205.00 sec   382 KBytes  3.13 Mbits/sec    0    850 KBytes       
[  4] 205.00-206.00 sec   318 KBytes  2.61 Mbits/sec    0    909 KBytes       
[  4] 206.00-207.00 sec 
